Labour market region (SA4): ASGS (2011),date,percent of parttime workers,sa4_code_2011
407 South Australia - South East,2013-02-01,9.96,407
502 Mandurah,2013-02-01,8.25,502
503 Perth - Inner,2013-02-01,7.14,503
504 Perth - North East,2013-02-01,8.07,504
505 Perth - North West,2013-02-01,9.90,505
506 Perth - South East,2013-02-01,9.58,506
507 Perth - South West,2013-02-01,8.93,507
501 Bunbury,2013-02-01,9.81,501
508 Western Australia - Outback,2013-02-01,9.90,508
509 Western Australia - Wheat Belt,2013-02-01,8.40,509
601 Hobart,2013-02-01,8.45,601
602 Launceston and North East,2013-02-01,10.08,602
603 Tasmania - South East,2013-02-01,8.45,603
604 Tasmania - West and North West,2013-02-01,10.97,604
701 Darwin,2013-02-01,12.70,701
702 Northern Territory - Outback,2013-02-01,9.81,702
801 Australian Capital Territory,2013-02-01,11.67,801
102 Central Coast,2014-02-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2014-02-01,12.18,115
116 Sydney - Blacktown,2014-02-01,8.79,116
117 Sydney - City and Inner South,2014-02-01,8.11,117
118 Sydney - Eastern Suburbs,2014-02-01,7.88,118
119 Sydney - Inner South West,2014-02-01,9.37,119
120 Sydney - Inner West,2014-02-01,11.02,120
121 Sydney - North Sydney and Hornsby,2014-02-01,8.07,121
122 Sydney - Northern Beaches,2014-02-01,7.96,122
123 Sydney - Outer South West,2014-02-01,8.73,123
124 Sydney - Outer West and Blue Mountains,2014-02-01,9.75,124
125 Sydney - Parramatta,2014-02-01,10.75,125
126 Sydney - Ryde,2014-02-01,10.04,126
127 Sydney - South West,2014-02-01,10.62,127
128 Sydney - Sutherland,2014-02-01,8.65,128
101 Capital Region,2014-02-01,10.63,101
103 New South Wales - Central West,2014-02-01,9.18,103
104 Coffs Harbour - Grafton,2014-02-01,11.36,104
105 Far West and Orana,2014-02-01,13.56,105
106 Hunter Valley exc Newcastle,2014-02-01,13.60,106
107 Illawarra,2014-02-01,8.91,107
108 Mid North Coast,2014-02-01,11.09,108
109 Murray,2014-02-01,11.96,109
110 New England and North West,2014-02-01,8.44,110
111 Newcastle and Lake Macquarie,2014-02-01,9.58,111
112 Richmond - Tweed,2014-02-01,9.57,112
113 Riverina,2014-02-01,11.85,113
114 Southern Highlands and Shoalhaven,2014-02-01,8.75,114
206 Melbourne - Inner,2014-02-01,14.34,206
207 Melbourne - Inner East,2014-02-01,9.98,207
208 Melbourne - Inner South,2014-02-01,6.98,208
209 Melbourne - North East,2014-02-01,9.67,209
210 Melbourne - North West,2014-02-01,9.75,210
211 Melbourne - Outer East,2014-02-01,9.32,211
212 Melbourne - South East,2014-02-01,9.88,212
213 Melbourne - West,2014-02-01,9.81,213
214 Mornington Peninsula,2014-02-01,9.81,214
201 Ballarat,2014-02-01,10.75,201
202 Bendigo,2014-02-01,7.40,202
203 Geelong,2014-02-01,10.17,203
204 Hume,2014-02-01,12.38,204
205 Latrobe - Gippsland,2014-02-01,9.12,205
215 Victoria - North West,2014-02-01,10.50,215
216 Shepparton,2014-02-01,9.22,216
217 Warrnambool and South West,2014-02-01,8.11,217
301 Brisbane - East,2014-02-01,6.31,301
302 Brisbane - North,2014-02-01,8.55,302
303 Brisbane - South,2014-02-01,9.72,303
304 Brisbane - West,2014-02-01,10.75,304
305 Brisbane Inner City,2014-02-01,6.89,305
310 Ipswich,2014-02-01,7.47,310
311 Logan - Beaudesert,2014-02-01,11.55,311
313 Moreton Bay - North,2014-02-01,9.26,313
314 Moreton Bay - South,2014-02-01,13.38,314
306 Cairns,2014-02-01,9.82,306
307 Darling Downs - Maranoa,2014-02-01,12.55,307
308 Fitzroy,2014-02-01,7.99,308
309 Gold Coast,2014-02-01,7.77,309
312 Mackay,2014-02-01,10.40,312
315 Queensland - Outback,2014-02-01,7.87,315
316 Sunshine Coast,2014-02-01,8.24,316
317 Toowoomba,2014-02-01,10.41,317
318 Townsville,2014-02-01,10.87,318
319 Wide Bay,2014-02-01,11.44,319
401 Adelaide - Central and Hills,2014-02-01,11.70,401
402 Adelaide - North,2014-02-01,9.67,402
403 Adelaide - South,2014-02-01,11.70,403
404 Adelaide - West,2014-02-01,11.85,404
405 Barossa - Yorke - Mid North,2014-02-01,11.06,405
406 South Australia - Outback,2014-02-01,9.42,406
407 South Australia - South East,2014-02-01,8.56,407
502 Mandurah,2014-02-01,10.56,502
503 Perth - Inner,2014-02-01,11.95,503
504 Perth - North East,2014-02-01,7.28,504
505 Perth - North West,2014-02-01,11.23,505
506 Perth - South East,2014-02-01,10.32,506
507 Perth - South West,2014-02-01,8.79,507
501 Bunbury,2014-02-01,9.88,501
508 Western Australia - Outback,2014-02-01,10.73,508
509 Western Australia - Wheat Belt,2014-02-01,9.16,509
601 Hobart,2014-02-01,11.55,601
602 Launceston and North East,2014-02-01,11.96,602
603 Tasmania - South East,2014-02-01,10.50,603
604 Tasmania - West and North West,2014-02-01,10.09,604
701 Darwin,2014-02-01,10.22,701
702 Northern Territory - Outback,2014-02-01,10.76,702
801 Australian Capital Territory,2014-02-01,16.34,801
102 Central Coast,2015-02-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2015-02-01,11.06,115
116 Sydney - Blacktown,2015-02-01,7.35,116
117 Sydney - City and Inner South,2015-02-01,8.56,117
118 Sydney - Eastern Suburbs,2015-02-01,9.10,118
119 Sydney - Inner South West,2015-02-01,7.19,119
120 Sydney - Inner West,2015-02-01,9.47,120
121 Sydney - North Sydney and Hornsby,2015-02-01,9.80,121
122 Sydney - Northern Beaches,2015-02-01,9.38,122
123 Sydney - Outer South West,2015-02-01,7.75,123
124 Sydney - Outer West and Blue Mountains,2015-02-01,9.30,124
125 Sydney - Parramatta,2015-02-01,9.95,125
126 Sydney - Ryde,2015-02-01,9.10,126
127 Sydney - South West,2015-02-01,6.26,127
128 Sydney - Sutherland,2015-02-01,8.42,128
101 Capital Region,2015-02-01,13.72,101
103 New South Wales - Central West,2015-02-01,13.08,103
104 Coffs Harbour - Grafton,2015-02-01,10.99,104
105 Far West and Orana,2015-02-01,10.61,105
106 Hunter Valley exc Newcastle,2015-02-01,15.20,106
107 Illawarra,2015-02-01,9.14,107
108 Mid North Coast,2015-02-01,11.02,108
109 Murray,2015-02-01,11.97,109
110 New England and North West,2015-02-01,12.23,110
111 Newcastle and Lake Macquarie,2015-02-01,7.74,111
112 Richmond - Tweed,2015-02-01,11.39,112
113 Riverina,2015-02-01,12.35,113
114 Southern Highlands and Shoalhaven,2015-02-01,9.91,114
206 Melbourne - Inner,2015-02-01,12.21,206
207 Melbourne - Inner East,2015-02-01,8.61,207
208 Melbourne - Inner South,2015-02-01,6.76,208
209 Melbourne - North East,2015-02-01,8.85,209
210 Melbourne - North West,2015-02-01,10.84,210
211 Melbourne - Outer East,2015-02-01,10.25,211
212 Melbourne - South East,2015-02-01,9.34,212
213 Melbourne - West,2015-02-01,10.65,213
214 Mornington Peninsula,2015-02-01,8.85,214
201 Ballarat,2015-02-01,10.36,201
202 Bendigo,2015-02-01,3.80,202
203 Geelong,2015-02-01,9.56,203
204 Hume,2015-02-01,12.53,204
205 Latrobe - Gippsland,2015-02-01,7.27,205
215 Victoria - North West,2015-02-01,13.07,215
216 Shepparton,2015-02-01,9.42,216
217 Warrnambool and South West,2015-02-01,5.17,217
301 Brisbane - East,2015-02-01,11.59,301
302 Brisbane - North,2015-02-01,7.92,302
303 Brisbane - South,2015-02-01,11.48,303
304 Brisbane - West,2015-02-01,9.75,304
305 Brisbane Inner City,2015-02-01,6.84,305
310 Ipswich,2015-02-01,9.22,310
311 Logan - Beaudesert,2015-02-01,11.38,311
313 Moreton Bay - North,2015-02-01,9.86,313
314 Moreton Bay - South,2015-02-01,11.56,314
306 Cairns,2015-02-01,9.40,306
307 Darling Downs - Maranoa,2015-02-01,13.58,307
308 Fitzroy,2015-02-01,9.16,308
309 Gold Coast,2015-02-01,9.35,309
312 Mackay,2015-02-01,12.36,312
315 Queensland - Outback,2015-02-01,9.62,315
316 Sunshine Coast,2015-02-01,13.03,316
317 Toowoomba,2015-02-01,11.60,317
318 Townsville,2015-02-01,12.33,318
319 Wide Bay,2015-02-01,12.23,319
401 Adelaide - Central and Hills,2015-02-01,11.52,401
402 Adelaide - North,2015-02-01,9.75,402
403 Adelaide - South,2015-02-01,12.81,403
404 Adelaide - West,2015-02-01,12.20,404
405 Barossa - Yorke - Mid North,2015-02-01,12.55,405
406 South Australia - Outback,2015-02-01,10.97,406
407 South Australia - South East,2015-02-01,8.22,407
502 Mandurah,2015-02-01,10.20,502
503 Perth - Inner,2015-02-01,8.91,503
504 Perth - North East,2015-02-01,8.00,504
505 Perth - North West,2015-02-01,10.91,505
506 Perth - South East,2015-02-01,8.95,506
507 Perth - South West,2015-02-01,9.30,507
501 Bunbury,2015-02-01,9.29,501
508 Western Australia - Outback,2015-02-01,8.84,508
509 Western Australia - Wheat Belt,2015-02-01,7.60,509
601 Hobart,2015-02-01,13.78,601
602 Launceston and North East,2015-02-01,11.82,602
603 Tasmania - South East,2015-02-01,10.37,603
604 Tasmania - West and North West,2015-02-01,9.68,604
701 Darwin,2015-02-01,10.43,701
702 Northern Territory - Outback,2015-02-01,12.01,702
801 Australian Capital Territory,2015-02-01,14.39,801
102 Central Coast,2016-02-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2016-02-01,10.61,115
116 Sydney - Blacktown,2016-02-01,7.54,116
117 Sydney - City and Inner South,2016-02-01,10.00,117
118 Sydney - Eastern Suburbs,2016-02-01,9.52,118
119 Sydney - Inner South West,2016-02-01,6.45,119
120 Sydney - Inner West,2016-02-01,10.02,120
121 Sydney - North Sydney and Hornsby,2016-02-01,8.74,121
122 Sydney - Northern Beaches,2016-02-01,6.80,122
123 Sydney - Outer South West,2016-02-01,10.56,123
124 Sydney - Outer West and Blue Mountains,2016-02-01,9.16,124
125 Sydney - Parramatta,2016-02-01,10.11,125
126 Sydney - Ryde,2016-02-01,8.63,126
127 Sydney - South West,2016-02-01,6.56,127
128 Sydney - Sutherland,2016-02-01,8.27,128
101 Capital Region,2016-02-01,11.47,101
103 New South Wales - Central West,2016-02-01,17.24,103
104 Coffs Harbour - Grafton,2016-02-01,11.96,104
105 Far West and Orana,2016-02-01,12.83,105
106 Hunter Valley exc Newcastle,2016-02-01,16.67,106
107 Illawarra,2016-02-01,12.40,107
108 Mid North Coast,2016-02-01,12.69,108
109 Murray,2016-02-01,13.32,109
110 New England and North West,2016-02-01,11.48,110
111 Newcastle and Lake Macquarie,2016-02-01,9.88,111
112 Richmond - Tweed,2016-02-01,10.66,112
113 Riverina,2016-02-01,14.03,113
114 Southern Highlands and Shoalhaven,2016-02-01,9.34,114
206 Melbourne - Inner,2016-02-01,13.42,206
207 Melbourne - Inner East,2016-02-01,8.94,207
208 Melbourne - Inner South,2016-02-01,9.37,208
209 Melbourne - North East,2016-02-01,6.89,209
210 Melbourne - North West,2016-02-01,10.83,210
211 Melbourne - Outer East,2016-02-01,11.40,211
212 Melbourne - South East,2016-02-01,10.07,212
213 Melbourne - West,2016-02-01,10.87,213
214 Mornington Peninsula,2016-02-01,10.08,214
201 Ballarat,2016-02-01,12.40,201
202 Bendigo,2016-02-01,7.43,202
203 Geelong,2016-02-01,9.62,203
204 Hume,2016-02-01,10.39,204
205 Latrobe - Gippsland,2016-02-01,10.58,205
215 Victoria - North West,2016-02-01,10.92,215
216 Shepparton,2016-02-01,13.82,216
217 Warrnambool and South West,2016-02-01,7.44,217
301 Brisbane - East,2016-02-01,10.05,301
302 Brisbane - North,2016-02-01,8.22,302
303 Brisbane - South,2016-02-01,10.62,303
304 Brisbane - West,2016-02-01,9.33,304
305 Brisbane Inner City,2016-02-01,10.86,305
310 Ipswich,2016-02-01,7.19,310
311 Logan - Beaudesert,2016-02-01,11.65,311
313 Moreton Bay - North,2016-02-01,9.00,313
314 Moreton Bay - South,2016-02-01,10.92,314
306 Cairns,2016-02-01,12.77,306
307 Darling Downs - Maranoa,2016-02-01,11.65,307
308 Fitzroy,2016-02-01,12.16,308
309 Gold Coast,2016-02-01,9.08,309
312 Mackay,2016-02-01,11.85,312
315 Queensland - Outback,2016-02-01,9.44,315
316 Sunshine Coast,2016-02-01,9.90,316
317 Toowoomba,2016-02-01,12.77,317
318 Townsville,2016-02-01,11.48,318
319 Wide Bay,2016-02-01,12.83,319
401 Adelaide - Central and Hills,2016-02-01,13.16,401
402 Adelaide - North,2016-02-01,8.95,402
403 Adelaide - South,2016-02-01,12.40,403
404 Adelaide - West,2016-02-01,12.29,404
405 Barossa - Yorke - Mid North,2016-02-01,10.74,405
406 South Australia - Outback,2016-02-01,8.63,406
407 South Australia - South East,2016-02-01,10.36,407
502 Mandurah,2016-02-01,9.20,502
503 Perth - Inner,2016-02-01,10.05,503
504 Perth - North East,2016-02-01,7.55,504
505 Perth - North West,2016-02-01,9.07,505
506 Perth - South East,2016-02-01,11.46,506
507 Perth - South West,2016-02-01,9.67,507
501 Bunbury,2016-02-01,9.82,501
508 Western Australia - Outback,2016-02-01,9.76,508
509 Western Australia - Wheat Belt,2016-02-01,6.28,509
601 Hobart,2016-02-01,12.70,601
602 Launceston and North East,2016-02-01,12.38,602
603 Tasmania - South East,2016-02-01,11.69,603
604 Tasmania - West and North West,2016-02-01,8.36,604
701 Darwin,2016-02-01,12.25,701
702 Northern Territory - Outback,2016-02-01,10.34,702
801 Australian Capital Territory,2016-02-01,16.63,801
102 Central Coast,2000-05-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2000-05-01,8.83,115
116 Sydney - Blacktown,2000-05-01,6.91,116
117 Sydney - City and Inner South,2000-05-01,8.16,117
118 Sydney - Eastern Suburbs,2000-05-01,10.02,118
119 Sydney - Inner South West,2000-05-01,7.82,119
120 Sydney - Inner West,2000-05-01,7.55,120
121 Sydney - North Sydney and Hornsby,2000-05-01,5.38,121
122 Sydney - Northern Beaches,2000-05-01,5.48,122
123 Sydney - Outer South West,2000-05-01,6.75,123
124 Sydney - Outer West and Blue Mountains,2000-05-01,6.01,124
125 Sydney - Parramatta,2000-05-01,8.46,125
126 Sydney - Ryde,2000-05-01,8.04,126
127 Sydney - South West,2000-05-01,6.36,127
128 Sydney - Sutherland,2000-05-01,5.78,128
101 Capital Region,2000-05-01,9.22,101
103 New South Wales - Central West,2000-05-01,8.03,103
104 Coffs Harbour - Grafton,2000-05-01,7.06,104
105 Far West and Orana,2000-05-01,6.98,105
106 Hunter Valley exc Newcastle,2000-05-01,6.47,106
107 Illawarra,2000-05-01,7.66,107
108 Mid North Coast,2000-05-01,5.98,108
109 Murray,2000-05-01,10.09,109
110 New England and North West,2000-05-01,5.40,110
111 Newcastle and Lake Macquarie,2000-05-01,8.92,111
112 Richmond - Tweed,2000-05-01,8.13,112
113 Riverina,2000-05-01,8.68,113
114 Southern Highlands and Shoalhaven,2000-05-01,5.57,114
206 Melbourne - Inner,2000-05-01,7.05,206
207 Melbourne - Inner East,2000-05-01,7.77,207
208 Melbourne - Inner South,2000-05-01,6.69,208
209 Melbourne - North East,2000-05-01,7.85,209
210 Melbourne - North West,2000-05-01,7.80,210
211 Melbourne - Outer East,2000-05-01,9.38,211
212 Melbourne - South East,2000-05-01,7.06,212
213 Melbourne - West,2000-05-01,5.81,213
214 Mornington Peninsula,2000-05-01,6.39,214
201 Ballarat,2000-05-01,8.25,201
202 Bendigo,2000-05-01,6.95,202
203 Geelong,2000-05-01,9.51,203
204 Hume,2000-05-01,9.32,204
205 Latrobe - Gippsland,2000-05-01,8.10,205
215 Victoria - North West,2000-05-01,9.51,215
216 Shepparton,2000-05-01,5.07,216
217 Warrnambool and South West,2000-05-01,7.88,217
301 Brisbane - East,2000-05-01,7.88,301
302 Brisbane - North,2000-05-01,7.90,302
303 Brisbane - South,2000-05-01,11.03,303
304 Brisbane - West,2000-05-01,8.02,304
305 Brisbane Inner City,2000-05-01,10.28,305
310 Ipswich,2000-05-01,8.61,310
311 Logan - Beaudesert,2000-05-01,9.09,311
313 Moreton Bay - North,2000-05-01,7.85,313
314 Moreton Bay - South,2000-05-01,7.92,314
306 Cairns,2000-05-01,6.55,306
307 Darling Downs - Maranoa,2000-05-01,9.64,307
308 Fitzroy,2000-05-01,4.84,308
309 Gold Coast,2000-05-01,7.13,309
312 Mackay,2000-05-01,9.96,312
315 Queensland - Outback,2000-05-01,7.49,315
316 Sunshine Coast,2000-05-01,5.50,316
317 Toowoomba,2000-05-01,10.63,317
318 Townsville,2000-05-01,9.99,318
319 Wide Bay,2000-05-01,8.42,319
401 Adelaide - Central and Hills,2000-05-01,8.40,401
402 Adelaide - North,2000-05-01,7.71,402
403 Adelaide - South,2000-05-01,8.89,403
404 Adelaide - West,2000-05-01,8.85,404
405 Barossa - Yorke - Mid North,2000-05-01,8.96,405
406 South Australia - Outback,2000-05-01,5.78,406
407 South Australia - South East,2000-05-01,9.65,407
502 Mandurah,2000-05-01,7.76,502
503 Perth - Inner,2000-05-01,11.02,503
504 Perth - North East,2000-05-01,9.24,504
505 Perth - North West,2000-05-01,9.61,505
506 Perth - South East,2000-05-01,8.10,506
507 Perth - South West,2000-05-01,7.90,507
501 Bunbury,2000-05-01,8.22,501
508 Western Australia - Outback,2000-05-01,5.53,508
509 Western Australia - Wheat Belt,2000-05-01,6.95,509
601 Hobart,2000-05-01,6.40,601
602 Launceston and North East,2000-05-01,10.11,602
603 Tasmania - South East,2000-05-01,8.68,603
604 Tasmania - West and North West,2000-05-01,5.90,604
701 Darwin,2000-05-01,8.53,701
702 Northern Territory - Outback,2000-05-01,9.87,702
801 Australian Capital Territory,2000-05-01,11.02,801
102 Central Coast,2001-05-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2001-05-01,8.45,115
116 Sydney - Blacktown,2001-05-01,6.57,116
117 Sydney - City and Inner South,2001-05-01,7.81,117
118 Sydney - Eastern Suburbs,2001-05-01,10.54,118
119 Sydney - Inner South West,2001-05-01,7.43,119
120 Sydney - Inner West,2001-05-01,7.92,120
121 Sydney - North Sydney and Hornsby,2001-05-01,6.41,121
122 Sydney - Northern Beaches,2001-05-01,7.07,122
123 Sydney - Outer South West,2001-05-01,8.23,123
124 Sydney - Outer West and Blue Mountains,2001-05-01,9.56,124
125 Sydney - Parramatta,2001-05-01,8.28,125
126 Sydney - Ryde,2001-05-01,5.46,126
127 Sydney - South West,2001-05-01,5.33,127
128 Sydney - Sutherland,2001-05-01,6.77,128
101 Capital Region,2001-05-01,8.07,101
103 New South Wales - Central West,2001-05-01,8.10,103
104 Coffs Harbour - Grafton,2001-05-01,8.57,104
105 Far West and Orana,2001-05-01,9.78,105
106 Hunter Valley exc Newcastle,2001-05-01,7.69,106
107 Illawarra,2001-05-01,8.10,107
108 Mid North Coast,2001-05-01,6.59,108
109 Murray,2001-05-01,10.08,109
110 New England and North West,2001-05-01,7.69,110
111 Newcastle and Lake Macquarie,2001-05-01,6.85,111
112 Richmond - Tweed,2001-05-01,10.50,112
113 Riverina,2001-05-01,9.18,113
114 Southern Highlands and Shoalhaven,2001-05-01,7.55,114
206 Melbourne - Inner,2001-05-01,5.92,206
207 Melbourne - Inner East,2001-05-01,8.57,207
208 Melbourne - Inner South,2001-05-01,6.25,208
209 Melbourne - North East,2001-05-01,6.40,209
210 Melbourne - North West,2001-05-01,9.04,210
211 Melbourne - Outer East,2001-05-01,6.53,211
212 Melbourne - South East,2001-05-01,7.57,212
213 Melbourne - West,2001-05-01,5.57,213
214 Mornington Peninsula,2001-05-01,7.67,214
201 Ballarat,2001-05-01,8.27,201
202 Bendigo,2001-05-01,7.56,202
203 Geelong,2001-05-01,9.25,203
204 Hume,2001-05-01,6.74,204
205 Latrobe - Gippsland,2001-05-01,10.09,205
215 Victoria - North West,2001-05-01,7.43,215
216 Shepparton,2001-05-01,7.72,216
217 Warrnambool and South West,2001-05-01,6.25,217
301 Brisbane - East,2001-05-01,8.15,301
302 Brisbane - North,2001-05-01,6.90,302
303 Brisbane - South,2001-05-01,8.82,303
304 Brisbane - West,2001-05-01,6.61,304
305 Brisbane Inner City,2001-05-01,8.07,305
310 Ipswich,2001-05-01,8.69,310
311 Logan - Beaudesert,2001-05-01,8.68,311
313 Moreton Bay - North,2001-05-01,7.79,313
314 Moreton Bay - South,2001-05-01,11.00,314
306 Cairns,2001-05-01,9.86,306
307 Darling Downs - Maranoa,2001-05-01,10.10,307
308 Fitzroy,2001-05-01,5.72,308
309 Gold Coast,2001-05-01,7.47,309
312 Mackay,2001-05-01,9.91,312
315 Queensland - Outback,2001-05-01,8.12,315
316 Sunshine Coast,2001-05-01,7.52,316
317 Toowoomba,2001-05-01,10.30,317
318 Townsville,2001-05-01,9.53,318
319 Wide Bay,2001-05-01,10.21,319
401 Adelaide - Central and Hills,2001-05-01,8.78,401
402 Adelaide - North,2001-05-01,6.81,402
403 Adelaide - South,2001-05-01,8.82,403
404 Adelaide - West,2001-05-01,8.40,404
405 Barossa - Yorke - Mid North,2001-05-01,9.40,405
406 South Australia - Outback,2001-05-01,9.45,406
407 South Australia - South East,2001-05-01,7.79,407
502 Mandurah,2001-05-01,7.31,502
503 Perth - Inner,2001-05-01,9.08,503
504 Perth - North East,2001-05-01,8.96,504
505 Perth - North West,2001-05-01,10.85,505
506 Perth - South East,2001-05-01,9.55,506
507 Perth - South West,2001-05-01,8.65,507
501 Bunbury,2001-05-01,9.40,501
508 Western Australia - Outback,2001-05-01,8.07,508
509 Western Australia - Wheat Belt,2001-05-01,7.81,509
601 Hobart,2001-05-01,6.01,601
602 Launceston and North East,2001-05-01,9.56,602
603 Tasmania - South East,2001-05-01,8.38,603
604 Tasmania - West and North West,2001-05-01,5.52,604
701 Darwin,2001-05-01,8.64,701
702 Northern Territory - Outback,2001-05-01,9.89,702
801 Australian Capital Territory,2001-05-01,10.20,801
102 Central Coast,2002-05-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2002-05-01,9.99,115
116 Sydney - Blacktown,2002-05-01,6.63,116
117 Sydney - City and Inner South,2002-05-01,7.43,117
118 Sydney - Eastern Suburbs,2002-05-01,9.68,118
119 Sydney - Inner South West,2002-05-01,8.98,119
120 Sydney - Inner West,2002-05-01,7.70,120
121 Sydney - North Sydney and Hornsby,2002-05-01,7.47,121
122 Sydney - Northern Beaches,2002-05-01,5.72,122
123 Sydney - Outer South West,2002-05-01,7.82,123
124 Sydney - Outer West and Blue Mountains,2002-05-01,9.21,124
125 Sydney - Parramatta,2002-05-01,7.88,125
126 Sydney - Ryde,2002-05-01,5.11,126
127 Sydney - South West,2002-05-01,6.32,127
128 Sydney - Sutherland,2002-05-01,6.97,128
101 Capital Region,2002-05-01,9.87,101
103 New South Wales - Central West,2002-05-01,10.83,103
104 Coffs Harbour - Grafton,2002-05-01,8.07,104
105 Far West and Orana,2002-05-01,7.97,105
106 Hunter Valley exc Newcastle,2002-05-01,7.85,106
107 Illawarra,2002-05-01,8.74,107
108 Mid North Coast,2002-05-01,8.31,108
109 Murray,2002-05-01,9.28,109
110 New England and North West,2002-05-01,9.08,110
111 Newcastle and Lake Macquarie,2002-05-01,8.44,111
112 Richmond - Tweed,2002-05-01,9.62,112
113 Riverina,2002-05-01,10.43,113
114 Southern Highlands and Shoalhaven,2002-05-01,7.73,114
206 Melbourne - Inner,2002-05-01,9.55,206
207 Melbourne - Inner East,2002-05-01,7.50,207
208 Melbourne - Inner South,2002-05-01,7.66,208
209 Melbourne - North East,2002-05-01,6.54,209
210 Melbourne - North West,2002-05-01,7.81,210
211 Melbourne - Outer East,2002-05-01,7.83,211
212 Melbourne - South East,2002-05-01,7.10,212
213 Melbourne - West,2002-05-01,6.62,213
214 Mornington Peninsula,2002-05-01,6.82,214
201 Ballarat,2002-05-01,7.27,201
202 Bendigo,2002-05-01,9.55,202
203 Geelong,2002-05-01,9.06,203
204 Hume,2002-05-01,8.44,204
205 Latrobe - Gippsland,2002-05-01,12.61,205
215 Victoria - North West,2002-05-01,7.22,215
216 Shepparton,2002-05-01,7.11,216
217 Warrnambool and South West,2002-05-01,5.90,217
301 Brisbane - East,2002-05-01,8.37,301
302 Brisbane - North,2002-05-01,8.00,302
303 Brisbane - South,2002-05-01,7.98,303
304 Brisbane - West,2002-05-01,8.96,304
305 Brisbane Inner City,2002-05-01,8.32,305
310 Ipswich,2002-05-01,9.33,310
311 Logan - Beaudesert,2002-05-01,7.83,311
313 Moreton Bay - North,2002-05-01,7.41,313
314 Moreton Bay - South,2002-05-01,11.48,314
306 Cairns,2002-05-01,9.80,306
307 Darling Downs - Maranoa,2002-05-01,10.32,307
308 Fitzroy,2002-05-01,7.46,308
309 Gold Coast,2002-05-01,7.67,309
312 Mackay,2002-05-01,10.33,312
315 Queensland - Outback,2002-05-01,7.51,315
316 Sunshine Coast,2002-05-01,10.35,316
317 Toowoomba,2002-05-01,9.92,317
318 Townsville,2002-05-01,8.76,318
319 Wide Bay,2002-05-01,9.32,319
401 Adelaide - Central and Hills,2002-05-01,8.92,401
402 Adelaide - North,2002-05-01,8.42,402
403 Adelaide - South,2002-05-01,9.11,403
404 Adelaide - West,2002-05-01,10.04,404
405 Barossa - Yorke - Mid North,2002-05-01,9.66,405
406 South Australia - Outback,2002-05-01,7.22,406
407 South Australia - South East,2002-05-01,9.63,407
502 Mandurah,2002-05-01,7.35,502
503 Perth - Inner,2002-05-01,10.22,503
504 Perth - North East,2002-05-01,6.14,504
505 Perth - North West,2002-05-01,10.02,505
506 Perth - South East,2002-05-01,8.44,506
507 Perth - South West,2002-05-01,8.16,507
501 Bunbury,2002-05-01,9.05,501
508 Western Australia - Outback,2002-05-01,7.68,508
509 Western Australia - Wheat Belt,2002-05-01,10.10,509
601 Hobart,2002-05-01,5.50,601
602 Launceston and North East,2002-05-01,11.10,602
603 Tasmania - South East,2002-05-01,7.06,603
604 Tasmania - West and North West,2002-05-01,4.30,604
701 Darwin,2002-05-01,9.90,701
702 Northern Territory - Outback,2002-05-01,9.24,702
801 Australian Capital Territory,2002-05-01,13.50,801
102 Central Coast,2003-05-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2003-05-01,8.92,115
116 Sydney - Blacktown,2003-05-01,6.31,116
117 Sydney - City and Inner South,2003-05-01,7.63,117
118 Sydney - Eastern Suburbs,2003-05-01,9.23,118
119 Sydney - Inner South West,2003-05-01,8.25,119
120 Sydney - Inner West,2003-05-01,6.58,120
121 Sydney - North Sydney and Hornsby,2003-05-01,6.60,121
122 Sydney - Northern Beaches,2003-05-01,6.14,122
123 Sydney - Outer South West,2003-05-01,6.17,123
124 Sydney - Outer West and Blue Mountains,2003-05-01,8.34,124
125 Sydney - Parramatta,2003-05-01,9.32,125
126 Sydney - Ryde,2003-05-01,5.96,126
127 Sydney - South West,2003-05-01,6.63,127
128 Sydney - Sutherland,2003-05-01,5.53,128
101 Capital Region,2003-05-01,8.27,101
103 New South Wales - Central West,2003-05-01,9.60,103
104 Coffs Harbour - Grafton,2003-05-01,7.49,104
105 Far West and Orana,2003-05-01,8.37,105
106 Hunter Valley exc Newcastle,2003-05-01,9.65,106
107 Illawarra,2003-05-01,7.18,107
108 Mid North Coast,2003-05-01,9.29,108
109 Murray,2003-05-01,8.80,109
110 New England and North West,2003-05-01,8.10,110
111 Newcastle and Lake Macquarie,2003-05-01,8.31,111
112 Richmond - Tweed,2003-05-01,8.99,112
113 Riverina,2003-05-01,7.49,113
114 Southern Highlands and Shoalhaven,2003-05-01,8.29,114
206 Melbourne - Inner,2003-05-01,10.30,206
207 Melbourne - Inner East,2003-05-01,7.64,207
208 Melbourne - Inner South,2003-05-01,6.06,208
209 Melbourne - North East,2003-05-01,6.85,209
210 Melbourne - North West,2003-05-01,8.37,210
211 Melbourne - Outer East,2003-05-01,8.71,211
