Labour market region (SA4): ASGS (2011),date,percent of parttime workers,sa4_code_2011
115 Sydney - Baulkham Hills and Hawkesbury,2003-08-01,7.82,115
116 Sydney - Blacktown,2003-08-01,6.14,116
117 Sydney - City and Inner South,2003-08-01,8.01,117
118 Sydney - Eastern Suburbs,2003-08-01,8.89,118
119 Sydney - Inner South West,2003-08-01,7.99,119
120 Sydney - Inner West,2003-08-01,7.31,120
121 Sydney - North Sydney and Hornsby,2003-08-01,6.31,121
122 Sydney - Northern Beaches,2003-08-01,6.27,122
123 Sydney - Outer South West,2003-08-01,6.58,123
124 Sydney - Outer West and Blue Mountains,2003-08-01,8.86,124
125 Sydney - Parramatta,2003-08-01,9.58,125
126 Sydney - Ryde,2003-08-01,6.39,126
127 Sydney - South West,2003-08-01,6.72,127
128 Sydney - Sutherland,2003-08-01,5.06,128
101 Capital Region,2003-08-01,7.89,101
103 New South Wales - Central West,2003-08-01,8.44,103
104 Coffs Harbour - Grafton,2003-08-01,7.53,104
105 Far West and Orana,2003-08-01,8.35,105
106 Hunter Valley exc Newcastle,2003-08-01,11.09,106
107 Illawarra,2003-08-01,8.07,107
108 Mid North Coast,2003-08-01,8.93,108
109 Murray,2003-08-01,8.96,109
110 New England and North West,2003-08-01,8.23,110
111 Newcastle and Lake Macquarie,2003-08-01,7.62,111
112 Richmond - Tweed,2003-08-01,9.09,112
113 Riverina,2003-08-01,8.06,113
114 Southern Highlands and Shoalhaven,2003-08-01,8.36,114
206 Melbourne - Inner,2003-08-01,10.54,206
207 Melbourne - Inner East,2003-08-01,7.85,207
208 Melbourne - Inner South,2003-08-01,6.22,208
209 Melbourne - North East,2003-08-01,6.69,209
210 Melbourne - North West,2003-08-01,8.39,210
211 Melbourne - Outer East,2003-08-01,7.83,211
212 Melbourne - South East,2003-08-01,8.15,212
213 Melbourne - West,2003-08-01,6.50,213
214 Mornington Peninsula,2003-08-01,7.26,214
201 Ballarat,2003-08-01,7.46,201
202 Bendigo,2003-08-01,9.36,202
203 Geelong,2003-08-01,8.88,203
204 Hume,2003-08-01,10.86,204
205 Latrobe - Gippsland,2003-08-01,11.19,205
215 Victoria - North West,2003-08-01,6.19,215
216 Shepparton,2003-08-01,7.81,216
217 Warrnambool and South West,2003-08-01,8.45,217
301 Brisbane - East,2003-08-01,6.94,301
302 Brisbane - North,2003-08-01,8.82,302
303 Brisbane - South,2003-08-01,10.06,303
304 Brisbane - West,2003-08-01,8.60,304
305 Brisbane Inner City,2003-08-01,9.49,305
310 Ipswich,2003-08-01,8.95,310
311 Logan - Beaudesert,2003-08-01,10.15,311
313 Moreton Bay - North,2003-08-01,9.01,313
314 Moreton Bay - South,2003-08-01,10.12,314
306 Cairns,2003-08-01,10.26,306
307 Darling Downs - Maranoa,2003-08-01,11.00,307
308 Fitzroy,2003-08-01,9.04,308
309 Gold Coast,2003-08-01,10.75,309
312 Mackay,2003-08-01,10.32,312
315 Queensland - Outback,2003-08-01,7.12,315
316 Sunshine Coast,2003-08-01,9.44,316
317 Toowoomba,2003-08-01,10.51,317
318 Townsville,2003-08-01,9.17,318
319 Wide Bay,2003-08-01,12.18,319
401 Adelaide - Central and Hills,2003-08-01,9.66,401
402 Adelaide - North,2003-08-01,8.70,402
403 Adelaide - South,2003-08-01,10.01,403
404 Adelaide - West,2003-08-01,9.57,404
405 Barossa - Yorke - Mid North,2003-08-01,11.91,405
406 South Australia - Outback,2003-08-01,7.90,406
407 South Australia - South East,2003-08-01,9.39,407
502 Mandurah,2003-08-01,9.78,502
503 Perth - Inner,2003-08-01,10.17,503
504 Perth - North East,2003-08-01,8.28,504
505 Perth - North West,2003-08-01,10.91,505
506 Perth - South East,2003-08-01,8.85,506
507 Perth - South West,2003-08-01,8.31,507
501 Bunbury,2003-08-01,9.13,501
508 Western Australia - Outback,2003-08-01,7.61,508
509 Western Australia - Wheat Belt,2003-08-01,7.71,509
601 Hobart,2003-08-01,5.89,601
602 Launceston and North East,2003-08-01,9.26,602
603 Tasmania - South East,2003-08-01,7.91,603
604 Tasmania - West and North West,2003-08-01,6.32,604
701 Darwin,2003-08-01,7.87,701
702 Northern Territory - Outback,2003-08-01,9.88,702
801 Australian Capital Territory,2003-08-01,15.58,801
102 Central Coast,2004-08-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2004-08-01,8.57,115
116 Sydney - Blacktown,2004-08-01,6.88,116
117 Sydney - City and Inner South,2004-08-01,7.79,117
118 Sydney - Eastern Suburbs,2004-08-01,8.91,118
119 Sydney - Inner South West,2004-08-01,8.51,119
120 Sydney - Inner West,2004-08-01,8.39,120
121 Sydney - North Sydney and Hornsby,2004-08-01,6.20,121
122 Sydney - Northern Beaches,2004-08-01,7.38,122
123 Sydney - Outer South West,2004-08-01,8.46,123
124 Sydney - Outer West and Blue Mountains,2004-08-01,8.03,124
125 Sydney - Parramatta,2004-08-01,9.30,125
126 Sydney - Ryde,2004-08-01,6.66,126
127 Sydney - South West,2004-08-01,7.64,127
128 Sydney - Sutherland,2004-08-01,6.58,128
101 Capital Region,2004-08-01,7.25,101
103 New South Wales - Central West,2004-08-01,7.51,103
104 Coffs Harbour - Grafton,2004-08-01,8.90,104
105 Far West and Orana,2004-08-01,6.10,105
106 Hunter Valley exc Newcastle,2004-08-01,8.07,106
107 Illawarra,2004-08-01,12.04,107
108 Mid North Coast,2004-08-01,7.69,108
109 Murray,2004-08-01,9.18,109
110 New England and North West,2004-08-01,11.20,110
111 Newcastle and Lake Macquarie,2004-08-01,9.01,111
112 Richmond - Tweed,2004-08-01,9.37,112
113 Riverina,2004-08-01,9.67,113
114 Southern Highlands and Shoalhaven,2004-08-01,7.40,114
206 Melbourne - Inner,2004-08-01,8.84,206
207 Melbourne - Inner East,2004-08-01,8.77,207
208 Melbourne - Inner South,2004-08-01,8.42,208
209 Melbourne - North East,2004-08-01,7.37,209
210 Melbourne - North West,2004-08-01,7.21,210
211 Melbourne - Outer East,2004-08-01,7.34,211
212 Melbourne - South East,2004-08-01,8.73,212
213 Melbourne - West,2004-08-01,5.71,213
214 Mornington Peninsula,2004-08-01,7.36,214
