Labour market region (SA4): ASGS (2011),date,percent total,sa4_code_2011
216 Shepparton,2001-08-01,42.65,216
217 Warrnambool and South West,2001-08-01,37.42,217
301 Brisbane - East,2001-08-01,32.48,301
302 Brisbane - North,2001-08-01,31.16,302
303 Brisbane - South,2001-08-01,28.49,303
304 Brisbane - West,2001-08-01,21.48,304
305 Brisbane Inner City,2001-08-01,20.39,305
310 Ipswich,2001-08-01,45.33,310
311 Logan - Beaudesert,2001-08-01,46.54,311
313 Moreton Bay - North,2001-08-01,41.81,313
314 Moreton Bay - South,2001-08-01,30.10,314
306 Cairns,2001-08-01,36.16,306
307 Darling Downs - Maranoa,2001-08-01,38.19,307
308 Fitzroy,2001-08-01,40.61,308
309 Gold Coast,2001-08-01,32.84,309
312 Mackay,2001-08-01,41.86,312
315 Queensland - Outback,2001-08-01,51.68,315
316 Sunshine Coast,2001-08-01,35.63,316
317 Toowoomba,2001-08-01,39.50,317
318 Townsville,2001-08-01,37.61,318
319 Wide Bay,2001-08-01,39.64,319
401 Adelaide - Central and Hills,2001-08-01,24.24,401
402 Adelaide - North,2001-08-01,43.09,402
403 Adelaide - South,2001-08-01,34.16,403
404 Adelaide - West,2001-08-01,33.85,404
405 Barossa - Yorke - Mid North,2001-08-01,41.90,405
406 South Australia - Outback,2001-08-01,42.01,406
407 South Australia - South East,2001-08-01,40.07,407
502 Mandurah,2001-08-01,42.13,502
503 Perth - Inner,2001-08-01,17.88,503
504 Perth - North East,2001-08-01,36.16,504
505 Perth - North West,2001-08-01,32.75,505
506 Perth - South East,2001-08-01,36.18,506
507 Perth - South West,2001-08-01,36.20,507
501 Bunbury,2001-08-01,46.37,501
508 Western Australia - Outback,2001-08-01,41.67,508
509 Western Australia - Wheat Belt,2001-08-01,39.38,509
601 Hobart,2001-08-01,31.45,601
602 Launceston and North East,2001-08-01,37.75,602
603 Tasmania - South East,2001-08-01,43.99,603
604 Tasmania - West and North West,2001-08-01,42.93,604
