Labour market region (SA4): ASGS (2011),date,percent total,sa4_code_2011
501 Bunbury,2013-02-01,50.24,501
508 Western Australia - Outback,2013-02-01,47.38,508
509 Western Australia - Wheat Belt,2013-02-01,37.00,509
601 Hobart,2013-02-01,27.16,601
602 Launceston and North East,2013-02-01,35.44,602
603 Tasmania - South East,2013-02-01,44.23,603
604 Tasmania - West and North West,2013-02-01,41.30,604
701 Darwin,2013-02-01,31.76,701
702 Northern Territory - Outback,2013-02-01,35.02,702
801 Australian Capital Territory,2013-02-01,17.63,801
102 Central Coast,2014-02-01,37.43,102
115 Sydney - Baulkham Hills and Hawkesbury,2014-02-01,20.62,115
116 Sydney - Blacktown,2014-02-01,36.78,116
117 Sydney - City and Inner South,2014-02-01,16.74,117
118 Sydney - Eastern Suburbs,2014-02-01,12.44,118
119 Sydney - Inner South West,2014-02-01,27.00,119
120 Sydney - Inner West,2014-02-01,18.99,120
121 Sydney - North Sydney and Hornsby,2014-02-01,10.59,121
122 Sydney - Northern Beaches,2014-02-01,20.00,122
123 Sydney - Outer South West,2014-02-01,37.09,123
124 Sydney - Outer West and Blue Mountains,2014-02-01,33.80,124
125 Sydney - Parramatta,2014-02-01,31.09,125
126 Sydney - Ryde,2014-02-01,17.70,126
127 Sydney - South West,2014-02-01,38.41,127
128 Sydney - Sutherland,2014-02-01,22.61,128
101 Capital Region,2014-02-01,33.78,101
103 New South Wales - Central West,2014-02-01,39.41,103
104 Coffs Harbour - Grafton,2014-02-01,33.96,104
105 Far West and Orana,2014-02-01,34.25,105
106 Hunter Valley exc Newcastle,2014-02-01,43.12,106
107 Illawarra,2014-02-01,35.22,107
108 Mid North Coast,2014-02-01,36.88,108
109 Murray,2014-02-01,43.70,109
110 New England and North West,2014-02-01,41.50,110
111 Newcastle and Lake Macquarie,2014-02-01,32.42,111
112 Richmond - Tweed,2014-02-01,33.67,112
113 Riverina,2014-02-01,38.34,113
114 Southern Highlands and Shoalhaven,2014-02-01,33.72,114
206 Melbourne - Inner,2014-02-01,12.84,206
207 Melbourne - Inner East,2014-02-01,16.83,207
208 Melbourne - Inner South,2014-02-01,17.38,208
209 Melbourne - North East,2014-02-01,30.42,209
210 Melbourne - North West,2014-02-01,32.47,210
211 Melbourne - Outer East,2014-02-01,29.91,211
212 Melbourne - South East,2014-02-01,35.74,212
213 Melbourne - West,2014-02-01,36.27,213
214 Mornington Peninsula,2014-02-01,34.49,214
201 Ballarat,2014-02-01,40.10,201
202 Bendigo,2014-02-01,38.20,202
203 Geelong,2014-02-01,32.69,203
204 Hume,2014-02-01,34.41,204
205 Latrobe - Gippsland,2014-02-01,38.12,205
215 Victoria - North West,2014-02-01,42.29,215
216 Shepparton,2014-02-01,38.62,216
217 Warrnambool and South West,2014-02-01,32.82,217
301 Brisbane - East,2014-02-01,33.80,301
302 Brisbane - North,2014-02-01,25.26,302
303 Brisbane - South,2014-02-01,25.09,303
304 Brisbane - West,2014-02-01,17.02,304
305 Brisbane Inner City,2014-02-01,16.04,305
310 Ipswich,2014-02-01,37.36,310
311 Logan - Beaudesert,2014-02-01,40.91,311
313 Moreton Bay - North,2014-02-01,38.50,313
314 Moreton Bay - South,2014-02-01,29.13,314
306 Cairns,2014-02-01,37.94,306
307 Darling Downs - Maranoa,2014-02-01,42.74,307
308 Fitzroy,2014-02-01,45.05,308
309 Gold Coast,2014-02-01,32.64,309
312 Mackay,2014-02-01,51.52,312
315 Queensland - Outback,2014-02-01,44.06,315
316 Sunshine Coast,2014-02-01,35.65,316
317 Toowoomba,2014-02-01,32.00,317
318 Townsville,2014-02-01,39.30,318
319 Wide Bay,2014-02-01,38.01,319
401 Adelaide - Central and Hills,2014-02-01,19.62,401
402 Adelaide - North,2014-02-01,34.84,402
403 Adelaide - South,2014-02-01,31.00,403
404 Adelaide - West,2014-02-01,33.85,404
405 Barossa - Yorke - Mid North,2014-02-01,40.07,405
406 South Australia - Outback,2014-02-01,45.52,406
407 South Australia - South East,2014-02-01,42.57,407
502 Mandurah,2014-02-01,47.65,502
503 Perth - Inner,2014-02-01,16.55,503
504 Perth - North East,2014-02-01,33.59,504
505 Perth - North West,2014-02-01,33.53,505
506 Perth - South East,2014-02-01,33.54,506
507 Perth - South West,2014-02-01,37.02,507
501 Bunbury,2014-02-01,41.28,501
508 Western Australia - Outback,2014-02-01,48.24,508
509 Western Australia - Wheat Belt,2014-02-01,40.29,509
601 Hobart,2014-02-01,28.18,601
602 Launceston and North East,2014-02-01,35.26,602
603 Tasmania - South East,2014-02-01,39.83,603
604 Tasmania - West and North West,2014-02-01,42.48,604
701 Darwin,2014-02-01,33.51,701
702 Northern Territory - Outback,2014-02-01,31.57,702
801 Australian Capital Territory,2014-02-01,17.19,801
102 Central Coast,2015-02-01,34.87,102
115 Sydney - Baulkham Hills and Hawkesbury,2015-02-01,24.43,115
116 Sydney - Blacktown,2015-02-01,36.55,116
117 Sydney - City and Inner South,2015-02-01,13.48,117
118 Sydney - Eastern Suburbs,2015-02-01,16.17,118
119 Sydney - Inner South West,2015-02-01,28.16,119
120 Sydney - Inner West,2015-02-01,17.75,120
121 Sydney - North Sydney and Hornsby,2015-02-01,11.44,121
122 Sydney - Northern Beaches,2015-02-01,17.92,122
123 Sydney - Outer South West,2015-02-01,34.90,123
124 Sydney - Outer West and Blue Mountains,2015-02-01,35.96,124
125 Sydney - Parramatta,2015-02-01,29.75,125
126 Sydney - Ryde,2015-02-01,18.21,126
127 Sydney - South West,2015-02-01,42.91,127
128 Sydney - Sutherland,2015-02-01,22.26,128
101 Capital Region,2015-02-01,36.50,101
103 New South Wales - Central West,2015-02-01,40.51,103
104 Coffs Harbour - Grafton,2015-02-01,36.06,104
105 Far West and Orana,2015-02-01,29.14,105
106 Hunter Valley exc Newcastle,2015-02-01,47.38,106
107 Illawarra,2015-02-01,36.02,107
108 Mid North Coast,2015-02-01,31.30,108
109 Murray,2015-02-01,41.45,109
110 New England and North West,2015-02-01,48.98,110
111 Newcastle and Lake Macquarie,2015-02-01,32.65,111
112 Richmond - Tweed,2015-02-01,34.57,112
113 Riverina,2015-02-01,34.54,113
114 Southern Highlands and Shoalhaven,2015-02-01,37.27,114
206 Melbourne - Inner,2015-02-01,13.55,206
207 Melbourne - Inner East,2015-02-01,15.48,207
208 Melbourne - Inner South,2015-02-01,17.85,208
209 Melbourne - North East,2015-02-01,30.77,209
210 Melbourne - North West,2015-02-01,29.22,210
211 Melbourne - Outer East,2015-02-01,29.23,211
212 Melbourne - South East,2015-02-01,35.29,212
213 Melbourne - West,2015-02-01,33.10,213
214 Mornington Peninsula,2015-02-01,33.33,214
201 Ballarat,2015-02-01,33.01,201
202 Bendigo,2015-02-01,34.57,202
203 Geelong,2015-02-01,31.19,203
204 Hume,2015-02-01,40.35,204
205 Latrobe - Gippsland,2015-02-01,35.62,205
215 Victoria - North West,2015-02-01,35.38,215
216 Shepparton,2015-02-01,36.64,216
217 Warrnambool and South West,2015-02-01,39.52,217
301 Brisbane - East,2015-02-01,36.39,301
302 Brisbane - North,2015-02-01,22.93,302
303 Brisbane - South,2015-02-01,27.29,303
304 Brisbane - West,2015-02-01,19.08,304
305 Brisbane Inner City,2015-02-01,14.86,305
310 Ipswich,2015-02-01,39.81,310
311 Logan - Beaudesert,2015-02-01,41.39,311
313 Moreton Bay - North,2015-02-01,40.19,313
314 Moreton Bay - South,2015-02-01,29.00,314
306 Cairns,2015-02-01,35.06,306
307 Darling Downs - Maranoa,2015-02-01,46.70,307
308 Fitzroy,2015-02-01,40.37,308
309 Gold Coast,2015-02-01,31.19,309
312 Mackay,2015-02-01,50.65,312
315 Queensland - Outback,2015-02-01,37.42,315
316 Sunshine Coast,2015-02-01,33.42,316
317 Toowoomba,2015-02-01,39.60,317
318 Townsville,2015-02-01,39.97,318
319 Wide Bay,2015-02-01,33.19,319
401 Adelaide - Central and Hills,2015-02-01,20.01,401
402 Adelaide - North,2015-02-01,36.12,402
403 Adelaide - South,2015-02-01,29.74,403
404 Adelaide - West,2015-02-01,31.41,404
405 Barossa - Yorke - Mid North,2015-02-01,36.49,405
406 South Australia - Outback,2015-02-01,41.64,406
407 South Australia - South East,2015-02-01,39.06,407
502 Mandurah,2015-02-01,47.61,502
503 Perth - Inner,2015-02-01,15.15,503
504 Perth - North East,2015-02-01,35.91,504
505 Perth - North West,2015-02-01,32.80,505
506 Perth - South East,2015-02-01,33.87,506
507 Perth - South West,2015-02-01,35.25,507
501 Bunbury,2015-02-01,40.65,501
508 Western Australia - Outback,2015-02-01,51.83,508
509 Western Australia - Wheat Belt,2015-02-01,37.43,509
601 Hobart,2015-02-01,29.09,601
602 Launceston and North East,2015-02-01,35.15,602
603 Tasmania - South East,2015-02-01,39.58,603
604 Tasmania - West and North West,2015-02-01,39.36,604
701 Darwin,2015-02-01,31.57,701
702 Northern Territory - Outback,2015-02-01,31.51,702
801 Australian Capital Territory,2015-02-01,17.34,801
102 Central Coast,2016-02-01,33.34,102
115 Sydney - Baulkham Hills and Hawkesbury,2016-02-01,22.20,115
116 Sydney - Blacktown,2016-02-01,33.77,116
117 Sydney - City and Inner South,2016-02-01,13.63,117
118 Sydney - Eastern Suburbs,2016-02-01,13.20,118
119 Sydney - Inner South West,2016-02-01,29.38,119
120 Sydney - Inner West,2016-02-01,16.53,120
121 Sydney - North Sydney and Hornsby,2016-02-01,11.05,121
122 Sydney - Northern Beaches,2016-02-01,19.57,122
123 Sydney - Outer South West,2016-02-01,35.31,123
124 Sydney - Outer West and Blue Mountains,2016-02-01,33.04,124
125 Sydney - Parramatta,2016-02-01,30.10,125
126 Sydney - Ryde,2016-02-01,13.35,126
127 Sydney - South West,2016-02-01,40.65,127
128 Sydney - Sutherland,2016-02-01,25.41,128
101 Capital Region,2016-02-01,31.60,101
103 New South Wales - Central West,2016-02-01,36.57,103
104 Coffs Harbour - Grafton,2016-02-01,35.43,104
105 Far West and Orana,2016-02-01,31.84,105
106 Hunter Valley exc Newcastle,2016-02-01,43.79,106
107 Illawarra,2016-02-01,30.24,107
108 Mid North Coast,2016-02-01,31.24,108
109 Murray,2016-02-01,41.84,109
110 New England and North West,2016-02-01,43.95,110
111 Newcastle and Lake Macquarie,2016-02-01,32.70,111
112 Richmond - Tweed,2016-02-01,32.23,112
113 Riverina,2016-02-01,31.39,113
114 Southern Highlands and Shoalhaven,2016-02-01,37.31,114
206 Melbourne - Inner,2016-02-01,14.37,206
207 Melbourne - Inner East,2016-02-01,14.13,207
208 Melbourne - Inner South,2016-02-01,17.57,208
209 Melbourne - North East,2016-02-01,28.72,209
210 Melbourne - North West,2016-02-01,35.03,210
211 Melbourne - Outer East,2016-02-01,31.24,211
212 Melbourne - South East,2016-02-01,38.56,212
213 Melbourne - West,2016-02-01,33.93,213
214 Mornington Peninsula,2016-02-01,31.38,214
201 Ballarat,2016-02-01,34.11,201
202 Bendigo,2016-02-01,38.50,202
203 Geelong,2016-02-01,32.67,203
204 Hume,2016-02-01,31.01,204
205 Latrobe - Gippsland,2016-02-01,35.77,205
215 Victoria - North West,2016-02-01,38.77,215
216 Shepparton,2016-02-01,36.14,216
217 Warrnambool and South West,2016-02-01,37.30,217
301 Brisbane - East,2016-02-01,33.38,301
302 Brisbane - North,2016-02-01,24.36,302
303 Brisbane - South,2016-02-01,23.13,303
304 Brisbane - West,2016-02-01,15.05,304
305 Brisbane Inner City,2016-02-01,20.80,305
310 Ipswich,2016-02-01,38.04,310
311 Logan - Beaudesert,2016-02-01,42.55,311
313 Moreton Bay - North,2016-02-01,38.48,313
314 Moreton Bay - South,2016-02-01,28.41,314
306 Cairns,2016-02-01,36.93,306
307 Darling Downs - Maranoa,2016-02-01,40.51,307
308 Fitzroy,2016-02-01,40.72,308
309 Gold Coast,2016-02-01,31.05,309
312 Mackay,2016-02-01,49.89,312
315 Queensland - Outback,2016-02-01,39.58,315
316 Sunshine Coast,2016-02-01,31.47,316
317 Toowoomba,2016-02-01,37.40,317
318 Townsville,2016-02-01,34.67,318
319 Wide Bay,2016-02-01,36.27,319
401 Adelaide - Central and Hills,2016-02-01,20.37,401
402 Adelaide - North,2016-02-01,36.77,402
403 Adelaide - South,2016-02-01,28.81,403
404 Adelaide - West,2016-02-01,28.74,404
405 Barossa - Yorke - Mid North,2016-02-01,37.33,405
406 South Australia - Outback,2016-02-01,40.99,406
407 South Australia - South East,2016-02-01,35.25,407
502 Mandurah,2016-02-01,43.85,502
503 Perth - Inner,2016-02-01,18.21,503
504 Perth - North East,2016-02-01,38.59,504
505 Perth - North West,2016-02-01,31.25,505
506 Perth - South East,2016-02-01,35.76,506
507 Perth - South West,2016-02-01,34.12,507
501 Bunbury,2016-02-01,39.78,501
508 Western Australia - Outback,2016-02-01,52.30,508
509 Western Australia - Wheat Belt,2016-02-01,38.84,509
601 Hobart,2016-02-01,28.84,601
602 Launceston and North East,2016-02-01,36.53,602
603 Tasmania - South East,2016-02-01,41.90,603
604 Tasmania - West and North West,2016-02-01,40.71,604
701 Darwin,2016-02-01,35.14,701
702 Northern Territory - Outback,2016-02-01,30.35,702
801 Australian Capital Territory,2016-02-01,18.21,801
102 Central Coast,2000-05-01,38.18,102
115 Sydney - Baulkham Hills and Hawkesbury,2000-05-01,22.98,115
116 Sydney - Blacktown,2000-05-01,42.02,116
117 Sydney - City and Inner South,2000-05-01,24.52,117
118 Sydney - Eastern Suburbs,2000-05-01,20.06,118
119 Sydney - Inner South West,2000-05-01,37.78,119
120 Sydney - Inner West,2000-05-01,25.12,120
121 Sydney - North Sydney and Hornsby,2000-05-01,14.88,121
122 Sydney - Northern Beaches,2000-05-01,22.28,122
123 Sydney - Outer South West,2000-05-01,42.48,123
124 Sydney - Outer West and Blue Mountains,2000-05-01,36.21,124
125 Sydney - Parramatta,2000-05-01,34.59,125
126 Sydney - Ryde,2000-05-01,20.18,126
127 Sydney - South West,2000-05-01,51.95,127
128 Sydney - Sutherland,2000-05-01,28.31,128
101 Capital Region,2000-05-01,33.99,101
103 New South Wales - Central West,2000-05-01,37.91,103
104 Coffs Harbour - Grafton,2000-05-01,35.52,104
105 Far West and Orana,2000-05-01,33.69,105
106 Hunter Valley exc Newcastle,2000-05-01,48.23,106
107 Illawarra,2000-05-01,40.29,107
108 Mid North Coast,2000-05-01,42.06,108
109 Murray,2000-05-01,47.40,109
110 New England and North West,2000-05-01,32.86,110
111 Newcastle and Lake Macquarie,2000-05-01,37.34,111
112 Richmond - Tweed,2000-05-01,37.25,112
113 Riverina,2000-05-01,38.79,113
114 Southern Highlands and Shoalhaven,2000-05-01,39.06,114
206 Melbourne - Inner,2000-05-01,20.51,206
207 Melbourne - Inner East,2000-05-01,21.57,207
208 Melbourne - Inner South,2000-05-01,21.25,208
209 Melbourne - North East,2000-05-01,36.58,209
210 Melbourne - North West,2000-05-01,37.58,210
211 Melbourne - Outer East,2000-05-01,36.13,211
212 Melbourne - South East,2000-05-01,43.14,212
213 Melbourne - West,2000-05-01,43.04,213
214 Mornington Peninsula,2000-05-01,40.60,214
201 Ballarat,2000-05-01,39.13,201
202 Bendigo,2000-05-01,36.47,202
203 Geelong,2000-05-01,41.23,203
204 Hume,2000-05-01,36.30,204
205 Latrobe - Gippsland,2000-05-01,36.82,205
215 Victoria - North West,2000-05-01,36.44,215
216 Shepparton,2000-05-01,41.97,216
217 Warrnambool and South West,2000-05-01,39.37,217
301 Brisbane - East,2000-05-01,35.59,301
302 Brisbane - North,2000-05-01,32.64,302
303 Brisbane - South,2000-05-01,31.85,303
304 Brisbane - West,2000-05-01,17.75,304
305 Brisbane Inner City,2000-05-01,21.26,305
310 Ipswich,2000-05-01,44.74,310
311 Logan - Beaudesert,2000-05-01,49.21,311
313 Moreton Bay - North,2000-05-01,40.29,313
314 Moreton Bay - South,2000-05-01,34.52,314
306 Cairns,2000-05-01,39.02,306
307 Darling Downs - Maranoa,2000-05-01,36.87,307
308 Fitzroy,2000-05-01,41.96,308
309 Gold Coast,2000-05-01,36.56,309
312 Mackay,2000-05-01,43.63,312
315 Queensland - Outback,2000-05-01,42.58,315
316 Sunshine Coast,2000-05-01,39.92,316
317 Toowoomba,2000-05-01,38.04,317
318 Townsville,2000-05-01,36.98,318
319 Wide Bay,2000-05-01,43.57,319
401 Adelaide - Central and Hills,2000-05-01,25.23,401
402 Adelaide - North,2000-05-01,43.28,402
403 Adelaide - South,2000-05-01,36.48,403
404 Adelaide - West,2000-05-01,38.24,404
405 Barossa - Yorke - Mid North,2000-05-01,39.55,405
406 South Australia - Outback,2000-05-01,44.62,406
407 South Australia - South East,2000-05-01,43.80,407
502 Mandurah,2000-05-01,46.01,502
503 Perth - Inner,2000-05-01,19.07,503
504 Perth - North East,2000-05-01,37.73,504
505 Perth - North West,2000-05-01,33.26,505
506 Perth - South East,2000-05-01,37.67,506
507 Perth - South West,2000-05-01,34.78,507
501 Bunbury,2000-05-01,45.81,501
508 Western Australia - Outback,2000-05-01,45.34,508
509 Western Australia - Wheat Belt,2000-05-01,38.35,509
601 Hobart,2000-05-01,32.04,601
602 Launceston and North East,2000-05-01,40.35,602
603 Tasmania - South East,2000-05-01,41.57,603
604 Tasmania - West and North West,2000-05-01,44.13,604
701 Darwin,2000-05-01,31.00,701
702 Northern Territory - Outback,2000-05-01,40.50,702
801 Australian Capital Territory,2000-05-01,20.60,801
102 Central Coast,2001-05-01,35.15,102
115 Sydney - Baulkham Hills and Hawkesbury,2001-05-01,22.51,115
116 Sydney - Blacktown,2001-05-01,40.75,116
117 Sydney - City and Inner South,2001-05-01,24.20,117
118 Sydney - Eastern Suburbs,2001-05-01,15.49,118
119 Sydney - Inner South West,2001-05-01,36.37,119
120 Sydney - Inner West,2001-05-01,20.97,120
121 Sydney - North Sydney and Hornsby,2001-05-01,13.52,121
122 Sydney - Northern Beaches,2001-05-01,22.71,122
123 Sydney - Outer South West,2001-05-01,36.42,123
124 Sydney - Outer West and Blue Mountains,2001-05-01,40.42,124
125 Sydney - Parramatta,2001-05-01,37.35,125
126 Sydney - Ryde,2001-05-01,24.81,126
127 Sydney - South West,2001-05-01,45.20,127
128 Sydney - Sutherland,2001-05-01,25.07,128
101 Capital Region,2001-05-01,38.65,101
103 New South Wales - Central West,2001-05-01,42.05,103
104 Coffs Harbour - Grafton,2001-05-01,30.90,104
105 Far West and Orana,2001-05-01,31.64,105
106 Hunter Valley exc Newcastle,2001-05-01,40.14,106
107 Illawarra,2001-05-01,40.07,107
108 Mid North Coast,2001-05-01,35.88,108
109 Murray,2001-05-01,43.55,109
110 New England and North West,2001-05-01,37.75,110
111 Newcastle and Lake Macquarie,2001-05-01,35.17,111
112 Richmond - Tweed,2001-05-01,31.42,112
113 Riverina,2001-05-01,37.76,113
114 Southern Highlands and Shoalhaven,2001-05-01,40.58,114
206 Melbourne - Inner,2001-05-01,17.96,206
207 Melbourne - Inner East,2001-05-01,19.98,207
208 Melbourne - Inner South,2001-05-01,20.64,208
209 Melbourne - North East,2001-05-01,36.73,209
210 Melbourne - North West,2001-05-01,37.70,210
211 Melbourne - Outer East,2001-05-01,33.48,211
212 Melbourne - South East,2001-05-01,42.62,212
213 Melbourne - West,2001-05-01,43.57,213
214 Mornington Peninsula,2001-05-01,39.97,214
201 Ballarat,2001-05-01,35.45,201
202 Bendigo,2001-05-01,35.91,202
203 Geelong,2001-05-01,39.45,203
204 Hume,2001-05-01,37.68,204
205 Latrobe - Gippsland,2001-05-01,39.05,205
215 Victoria - North West,2001-05-01,35.24,215
216 Shepparton,2001-05-01,43.30,216
217 Warrnambool and South West,2001-05-01,39.05,217
301 Brisbane - East,2001-05-01,33.19,301
302 Brisbane - North,2001-05-01,31.34,302
303 Brisbane - South,2001-05-01,28.42,303
304 Brisbane - West,2001-05-01,21.33,304
305 Brisbane Inner City,2001-05-01,21.67,305
310 Ipswich,2001-05-01,46.35,310
311 Logan - Beaudesert,2001-05-01,46.77,311
313 Moreton Bay - North,2001-05-01,40.58,313
314 Moreton Bay - South,2001-05-01,30.49,314
306 Cairns,2001-05-01,36.64,306
307 Darling Downs - Maranoa,2001-05-01,36.40,307
308 Fitzroy,2001-05-01,40.55,308
309 Gold Coast,2001-05-01,33.70,309
312 Mackay,2001-05-01,41.01,312
315 Queensland - Outback,2001-05-01,50.82,315
316 Sunshine Coast,2001-05-01,36.54,316
317 Toowoomba,2001-05-01,37.83,317
318 Townsville,2001-05-01,35.98,318
319 Wide Bay,2001-05-01,40.49,319
401 Adelaide - Central and Hills,2001-05-01,24.36,401
402 Adelaide - North,2001-05-01,42.31,402
403 Adelaide - South,2001-05-01,35.35,403
404 Adelaide - West,2001-05-01,33.88,404
405 Barossa - Yorke - Mid North,2001-05-01,41.21,405
406 South Australia - Outback,2001-05-01,42.93,406
407 South Australia - South East,2001-05-01,42.91,407
502 Mandurah,2001-05-01,44.53,502
503 Perth - Inner,2001-05-01,18.29,503
504 Perth - North East,2001-05-01,35.45,504
505 Perth - North West,2001-05-01,32.22,505
506 Perth - South East,2001-05-01,35.36,506
507 Perth - South West,2001-05-01,36.11,507
501 Bunbury,2001-05-01,47.32,501
508 Western Australia - Outback,2001-05-01,41.92,508
509 Western Australia - Wheat Belt,2001-05-01,40.06,509
601 Hobart,2001-05-01,31.00,601
602 Launceston and North East,2001-05-01,38.30,602
603 Tasmania - South East,2001-05-01,43.25,603
604 Tasmania - West and North West,2001-05-01,42.37,604
701 Darwin,2001-05-01,31.33,701
702 Northern Territory - Outback,2001-05-01,45.59,702
801 Australian Capital Territory,2001-05-01,20.10,801
102 Central Coast,2002-05-01,37.80,102
115 Sydney - Baulkham Hills and Hawkesbury,2002-05-01,22.66,115
116 Sydney - Blacktown,2002-05-01,41.69,116
117 Sydney - City and Inner South,2002-05-01,20.47,117
118 Sydney - Eastern Suburbs,2002-05-01,18.70,118
119 Sydney - Inner South West,2002-05-01,36.16,119
120 Sydney - Inner West,2002-05-01,22.40,120
121 Sydney - North Sydney and Hornsby,2002-05-01,13.34,121
122 Sydney - Northern Beaches,2002-05-01,23.82,122
123 Sydney - Outer South West,2002-05-01,42.05,123
124 Sydney - Outer West and Blue Mountains,2002-05-01,36.24,124
125 Sydney - Parramatta,2002-05-01,36.58,125
126 Sydney - Ryde,2002-05-01,18.52,126
127 Sydney - South West,2002-05-01,45.07,127
128 Sydney - Sutherland,2002-05-01,25.48,128
101 Capital Region,2002-05-01,35.21,101
103 New South Wales - Central West,2002-05-01,36.24,103
104 Coffs Harbour - Grafton,2002-05-01,27.35,104
105 Far West and Orana,2002-05-01,32.13,105
106 Hunter Valley exc Newcastle,2002-05-01,43.28,106
107 Illawarra,2002-05-01,36.35,107
108 Mid North Coast,2002-05-01,42.28,108
109 Murray,2002-05-01,42.78,109
110 New England and North West,2002-05-01,35.48,110
111 Newcastle and Lake Macquarie,2002-05-01,36.38,111
112 Richmond - Tweed,2002-05-01,31.96,112
113 Riverina,2002-05-01,38.79,113
114 Southern Highlands and Shoalhaven,2002-05-01,36.54,114
206 Melbourne - Inner,2002-05-01,16.95,206
207 Melbourne - Inner East,2002-05-01,17.27,207
208 Melbourne - Inner South,2002-05-01,19.95,208
209 Melbourne - North East,2002-05-01,36.18,209
210 Melbourne - North West,2002-05-01,40.01,210
211 Melbourne - Outer East,2002-05-01,34.17,211
212 Melbourne - South East,2002-05-01,40.31,212
213 Melbourne - West,2002-05-01,41.20,213
214 Mornington Peninsula,2002-05-01,40.06,214
201 Ballarat,2002-05-01,38.71,201
202 Bendigo,2002-05-01,36.02,202
203 Geelong,2002-05-01,33.96,203
204 Hume,2002-05-01,37.52,204
205 Latrobe - Gippsland,2002-05-01,35.19,205
215 Victoria - North West,2002-05-01,33.46,215
216 Shepparton,2002-05-01,35.03,216
217 Warrnambool and South West,2002-05-01,37.71,217
301 Brisbane - East,2002-05-01,33.44,301
302 Brisbane - North,2002-05-01,33.87,302
303 Brisbane - South,2002-05-01,27.02,303
304 Brisbane - West,2002-05-01,21.08,304
305 Brisbane Inner City,2002-05-01,21.28,305
310 Ipswich,2002-05-01,47.07,310
311 Logan - Beaudesert,2002-05-01,48.48,311
313 Moreton Bay - North,2002-05-01,39.58,313
314 Moreton Bay - South,2002-05-01,31.24,314
306 Cairns,2002-05-01,36.07,306
307 Darling Downs - Maranoa,2002-05-01,41.72,307
308 Fitzroy,2002-05-01,42.50,308
309 Gold Coast,2002-05-01,33.62,309
312 Mackay,2002-05-01,44.20,312
315 Queensland - Outback,2002-05-01,47.43,315
316 Sunshine Coast,2002-05-01,37.21,316
317 Toowoomba,2002-05-01,39.99,317
318 Townsville,2002-05-01,30.24,318
319 Wide Bay,2002-05-01,40.37,319
401 Adelaide - Central and Hills,2002-05-01,23.96,401
402 Adelaide - North,2002-05-01,43.87,402
403 Adelaide - South,2002-05-01,33.50,403
404 Adelaide - West,2002-05-01,34.26,404
405 Barossa - Yorke - Mid North,2002-05-01,38.34,405
406 South Australia - Outback,2002-05-01,46.58,406
407 South Australia - South East,2002-05-01,41.13,407
502 Mandurah,2002-05-01,40.63,502
503 Perth - Inner,2002-05-01,18.00,503
504 Perth - North East,2002-05-01,35.68,504
505 Perth - North West,2002-05-01,32.88,505
506 Perth - South East,2002-05-01,35.99,506
507 Perth - South West,2002-05-01,33.83,507
501 Bunbury,2002-05-01,45.46,501
508 Western Australia - Outback,2002-05-01,44.27,508
509 Western Australia - Wheat Belt,2002-05-01,34.59,509
601 Hobart,2002-05-01,31.59,601
602 Launceston and North East,2002-05-01,37.61,602
603 Tasmania - South East,2002-05-01,47.26,603
604 Tasmania - West and North West,2002-05-01,41.72,604
701 Darwin,2002-05-01,30.40,701
702 Northern Territory - Outback,2002-05-01,42.90,702
801 Australian Capital Territory,2002-05-01,20.29,801
102 Central Coast,2003-05-01,37.04,102
115 Sydney - Baulkham Hills and Hawkesbury,2003-05-01,25.49,115
116 Sydney - Blacktown,2003-05-01,36.86,116
117 Sydney - City and Inner South,2003-05-01,23.62,117
118 Sydney - Eastern Suburbs,2003-05-01,16.10,118
119 Sydney - Inner South West,2003-05-01,35.49,119
120 Sydney - Inner West,2003-05-01,22.36,120
121 Sydney - North Sydney and Hornsby,2003-05-01,14.07,121
122 Sydney - Northern Beaches,2003-05-01,23.98,122
123 Sydney - Outer South West,2003-05-01,39.45,123
124 Sydney - Outer West and Blue Mountains,2003-05-01,35.15,124
125 Sydney - Parramatta,2003-05-01,34.93,125
126 Sydney - Ryde,2003-05-01,20.31,126
127 Sydney - South West,2003-05-01,45.26,127
128 Sydney - Sutherland,2003-05-01,27.19,128
101 Capital Region,2003-05-01,35.69,101
103 New South Wales - Central West,2003-05-01,43.80,103
104 Coffs Harbour - Grafton,2003-05-01,35.64,104
105 Far West and Orana,2003-05-01,38.68,105
106 Hunter Valley exc Newcastle,2003-05-01,45.87,106
107 Illawarra,2003-05-01,36.43,107
108 Mid North Coast,2003-05-01,42.03,108
109 Murray,2003-05-01,41.93,109
110 New England and North West,2003-05-01,36.66,110
111 Newcastle and Lake Macquarie,2003-05-01,35.43,111
112 Richmond - Tweed,2003-05-01,33.52,112
113 Riverina,2003-05-01,35.37,113
114 Southern Highlands and Shoalhaven,2003-05-01,38.61,114
206 Melbourne - Inner,2003-05-01,18.24,206
207 Melbourne - Inner East,2003-05-01,18.22,207
208 Melbourne - Inner South,2003-05-01,19.75,208
209 Melbourne - North East,2003-05-01,34.57,209
210 Melbourne - North West,2003-05-01,39.78,210
211 Melbourne - Outer East,2003-05-01,33.76,211
212 Melbourne - South East,2003-05-01,40.73,212
213 Melbourne - West,2003-05-01,40.39,213
214 Mornington Peninsula,2003-05-01,41.67,214
201 Ballarat,2003-05-01,33.94,201
202 Bendigo,2003-05-01,35.02,202
203 Geelong,2003-05-01,36.12,203
204 Hume,2003-05-01,37.42,204
