Labour market region (SA4): ASGS (2011),date,percent part-time,sa4_code_2011
124 Sydney - Outer West and Blue Mountains,2000-08-01,42.64,124
125 Sydney - Parramatta,2000-08-01,37.39,125
126 Sydney - Ryde,2000-08-01,34.89,126
127 Sydney - South West,2000-08-01,19.95,127
128 Sydney - Sutherland,2000-08-01,50.72,128
101 Capital Region,2000-08-01,28.08,101
103 New South Wales - Central West,2000-08-01,35.71,103
104 Coffs Harbour - Grafton,2000-08-01,37.73,104
105 Far West and Orana,2000-08-01,36.85,105
106 Hunter Valley exc Newcastle,2000-08-01,33.15,106
107 Illawarra,2000-08-01,44.94,107
108 Mid North Coast,2000-08-01,42.36,108
109 Murray,2000-08-01,41.38,109
110 New England and North West,2000-08-01,48.72,110
111 Newcastle and Lake Macquarie,2000-08-01,33.28,111
112 Richmond - Tweed,2000-08-01,36.42,112
113 Riverina,2000-08-01,35.87,113
114 Southern Highlands and Shoalhaven,2000-08-01,38.03,114
206 Melbourne - Inner,2000-08-01,42.64,206
207 Melbourne - Inner East,2000-08-01,20.53,207
208 Melbourne - Inner South,2000-08-01,21.62,208
209 Melbourne - North East,2000-08-01,20.83,209
210 Melbourne - North West,2000-08-01,37.07,210
211 Melbourne - Outer East,2000-08-01,36.17,211
212 Melbourne - South East,2000-08-01,35.07,212
213 Melbourne - West,2000-08-01,42.96,213
214 Mornington Peninsula,2000-08-01,44.32,214
201 Ballarat,2000-08-01,39.51,201
202 Bendigo,2000-08-01,36.65,202
203 Geelong,2000-08-01,37.36,203
204 Hume,2000-08-01,40.56,204
205 Latrobe - Gippsland,2000-08-01,36.45,205
215 Victoria - North West,2000-08-01,37.27,215
216 Shepparton,2000-08-01,36.74,216
217 Warrnambool and South West,2000-08-01,41.89,217
301 Brisbane - East,2000-08-01,40.19,301
302 Brisbane - North,2000-08-01,35.22,302
303 Brisbane - South,2000-08-01,31.83,303
304 Brisbane - West,2000-08-01,30.53,304
305 Brisbane Inner City,2000-08-01,18.48,305
310 Ipswich,2000-08-01,22.44,310
311 Logan - Beaudesert,2000-08-01,45.64,311
313 Moreton Bay - North,2000-08-01,48.98,313
314 Moreton Bay - South,2000-08-01,39.31,314
306 Cairns,2000-08-01,33.54,306
307 Darling Downs - Maranoa,2000-08-01,38.71,307
308 Fitzroy,2000-08-01,36.45,308
309 Gold Coast,2000-08-01,40.58,309
312 Mackay,2000-08-01,36.53,312
315 Queensland - Outback,2000-08-01,41.00,315
316 Sunshine Coast,2000-08-01,44.25,316
317 Toowoomba,2000-08-01,41.20,317
318 Townsville,2000-08-01,37.18,318
319 Wide Bay,2000-08-01,34.86,319
401 Adelaide - Central and Hills,2000-08-01,42.22,401
402 Adelaide - North,2000-08-01,24.80,402
403 Adelaide - South,2000-08-01,42.32,403
404 Adelaide - West,2000-08-01,36.60,404
405 Barossa - Yorke - Mid North,2000-08-01,37.16,405
406 South Australia - Outback,2000-08-01,39.63,406
407 South Australia - South East,2000-08-01,45.13,407
502 Mandurah,2000-08-01,45.47,502
503 Perth - Inner,2000-08-01,47.20,503
504 Perth - North East,2000-08-01,19.49,504
505 Perth - North West,2000-08-01,36.21,505
506 Perth - South East,2000-08-01,32.97,506
507 Perth - South West,2000-08-01,36.69,507
501 Bunbury,2000-08-01,34.86,501
508 Western Australia - Outback,2000-08-01,47.38,508
509 Western Australia - Wheat Belt,2000-08-01,46.34,509
601 Hobart,2000-08-01,38.89,601
602 Launceston and North East,2000-08-01,32.32,602
603 Tasmania - South East,2000-08-01,40.31,603
604 Tasmania - West and North West,2000-08-01,42.24,604
701 Darwin,2000-08-01,43.99,701
702 Northern Territory - Outback,2000-08-01,31.68,702
801 Australian Capital Territory,2000-08-01,41.27,801
102 Central Coast,2001-08-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2001-08-01,36.67,115
116 Sydney - Blacktown,2001-08-01,22.77,116
117 Sydney - City and Inner South,2001-08-01,41.03,117
118 Sydney - Eastern Suburbs,2001-08-01,23.59,118
119 Sydney - Inner South West,2001-08-01,16.04,119
120 Sydney - Inner West,2001-08-01,35.57,120
121 Sydney - North Sydney and Hornsby,2001-08-01,20.31,121
122 Sydney - Northern Beaches,2001-08-01,12.72,122
123 Sydney - Outer South West,2001-08-01,23.74,123
124 Sydney - Outer West and Blue Mountains,2001-08-01,35.83,124
125 Sydney - Parramatta,2001-08-01,39.39,125
126 Sydney - Ryde,2001-08-01,37.54,126
127 Sydney - South West,2001-08-01,24.05,127
128 Sydney - Sutherland,2001-08-01,44.00,128
101 Capital Region,2001-08-01,24.59,101
103 New South Wales - Central West,2001-08-01,37.53,103
104 Coffs Harbour - Grafton,2001-08-01,40.73,104
105 Far West and Orana,2001-08-01,27.03,105
106 Hunter Valley exc Newcastle,2001-08-01,33.19,106
107 Illawarra,2001-08-01,40.49,107
108 Mid North Coast,2001-08-01,38.24,108
109 Murray,2001-08-01,37.16,109
110 New England and North West,2001-08-01,42.48,110
111 Newcastle and Lake Macquarie,2001-08-01,37.52,111
112 Richmond - Tweed,2001-08-01,35.80,112
113 Riverina,2001-08-01,33.21,113
114 Southern Highlands and Shoalhaven,2001-08-01,40.01,114
206 Melbourne - Inner,2001-08-01,38.15,206
207 Melbourne - Inner East,2001-08-01,17.00,207
208 Melbourne - Inner South,2001-08-01,19.11,208
209 Melbourne - North East,2001-08-01,20.71,209
210 Melbourne - North West,2001-08-01,36.69,210
211 Melbourne - Outer East,2001-08-01,38.70,211
212 Melbourne - South East,2001-08-01,33.44,212
213 Melbourne - West,2001-08-01,42.07,213
214 Mornington Peninsula,2001-08-01,42.91,214
201 Ballarat,2001-08-01,39.48,201
202 Bendigo,2001-08-01,36.59,202
203 Geelong,2001-08-01,35.33,203
204 Hume,2001-08-01,38.69,204
205 Latrobe - Gippsland,2001-08-01,38.00,205
215 Victoria - North West,2001-08-01,37.74,215
216 Shepparton,2001-08-01,33.55,216
217 Warrnambool and South West,2001-08-01,42.65,217
301 Brisbane - East,2001-08-01,37.42,301
302 Brisbane - North,2001-08-01,32.48,302
303 Brisbane - South,2001-08-01,31.16,303
304 Brisbane - West,2001-08-01,28.49,304
305 Brisbane Inner City,2001-08-01,21.48,305
310 Ipswich,2001-08-01,20.39,310
311 Logan - Beaudesert,2001-08-01,45.33,311
313 Moreton Bay - North,2001-08-01,46.54,313
314 Moreton Bay - South,2001-08-01,41.81,314
306 Cairns,2001-08-01,30.10,306
307 Darling Downs - Maranoa,2001-08-01,36.16,307
308 Fitzroy,2001-08-01,38.19,308
309 Gold Coast,2001-08-01,40.61,309
312 Mackay,2001-08-01,32.84,312
315 Queensland - Outback,2001-08-01,41.86,315
316 Sunshine Coast,2001-08-01,51.68,316
317 Toowoomba,2001-08-01,35.63,317
318 Townsville,2001-08-01,39.50,318
319 Wide Bay,2001-08-01,37.61,319
401 Adelaide - Central and Hills,2001-08-01,39.64,401
402 Adelaide - North,2001-08-01,24.24,402
403 Adelaide - South,2001-08-01,43.09,403
404 Adelaide - West,2001-08-01,34.16,404
405 Barossa - Yorke - Mid North,2001-08-01,33.85,405
406 South Australia - Outback,2001-08-01,41.90,406
407 South Australia - South East,2001-08-01,42.01,407
502 Mandurah,2001-08-01,40.07,502
503 Perth - Inner,2001-08-01,42.13,503
504 Perth - North East,2001-08-01,17.88,504
505 Perth - North West,2001-08-01,36.16,505
506 Perth - South East,2001-08-01,32.75,506
507 Perth - South West,2001-08-01,36.18,507
501 Bunbury,2001-08-01,36.20,501
508 Western Australia - Outback,2001-08-01,46.37,508
509 Western Australia - Wheat Belt,2001-08-01,41.67,509
601 Hobart,2001-08-01,39.38,601
602 Launceston and North East,2001-08-01,31.45,602
603 Tasmania - South East,2001-08-01,37.75,603
604 Tasmania - West and North West,2001-08-01,43.99,604
701 Darwin,2001-08-01,42.93,701
702 Northern Territory - Outback,2001-08-01,30.34,702
801 Australian Capital Territory,2001-08-01,44.07,801
102 Central Coast,2002-08-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2002-08-01,36.74,115
116 Sydney - Blacktown,2002-08-01,21.70,116
117 Sydney - City and Inner South,2002-08-01,40.06,117
118 Sydney - Eastern Suburbs,2002-08-01,20.52,118
119 Sydney - Inner South West,2002-08-01,17.93,119
120 Sydney - Inner West,2002-08-01,36.12,120
121 Sydney - North Sydney and Hornsby,2002-08-01,23.24,121
122 Sydney - Northern Beaches,2002-08-01,14.40,122
123 Sydney - Outer South West,2002-08-01,23.72,123
124 Sydney - Outer West and Blue Mountains,2002-08-01,43.16,124
125 Sydney - Parramatta,2002-08-01,36.75,125
126 Sydney - Ryde,2002-08-01,36.04,126
127 Sydney - South West,2002-08-01,18.35,127
128 Sydney - Sutherland,2002-08-01,46.59,128
101 Capital Region,2002-08-01,25.97,101
103 New South Wales - Central West,2002-08-01,36.71,103
104 Coffs Harbour - Grafton,2002-08-01,39.14,104
105 Far West and Orana,2002-08-01,29.17,105
106 Hunter Valley exc Newcastle,2002-08-01,32.58,106
107 Illawarra,2002-08-01,44.23,107
108 Mid North Coast,2002-08-01,35.57,108
109 Murray,2002-08-01,42.65,109
110 New England and North West,2002-08-01,42.67,110
111 Newcastle and Lake Macquarie,2002-08-01,36.60,111
112 Richmond - Tweed,2002-08-01,36.45,112
113 Riverina,2002-08-01,30.90,113
114 Southern Highlands and Shoalhaven,2002-08-01,34.95,114
206 Melbourne - Inner,2002-08-01,36.58,206
207 Melbourne - Inner East,2002-08-01,17.50,207
208 Melbourne - Inner South,2002-08-01,17.58,208
209 Melbourne - North East,2002-08-01,19.73,209
210 Melbourne - North West,2002-08-01,36.49,210
211 Melbourne - Outer East,2002-08-01,40.78,211
212 Melbourne - South East,2002-08-01,34.50,212
213 Melbourne - West,2002-08-01,40.56,213
214 Mornington Peninsula,2002-08-01,39.99,214
201 Ballarat,2002-08-01,41.17,201
202 Bendigo,2002-08-01,37.52,202
203 Geelong,2002-08-01,36.55,203
204 Hume,2002-08-01,34.10,204
205 Latrobe - Gippsland,2002-08-01,38.29,205
215 Victoria - North West,2002-08-01,36.43,215
216 Shepparton,2002-08-01,31.66,216
217 Warrnambool and South West,2002-08-01,33.95,217
301 Brisbane - East,2002-08-01,39.17,301
302 Brisbane - North,2002-08-01,33.90,302
303 Brisbane - South,2002-08-01,34.28,303
304 Brisbane - West,2002-08-01,26.25,304
305 Brisbane Inner City,2002-08-01,20.82,305
310 Ipswich,2002-08-01,21.20,310
311 Logan - Beaudesert,2002-08-01,46.70,311
313 Moreton Bay - North,2002-08-01,47.03,313
314 Moreton Bay - South,2002-08-01,38.39,314
306 Cairns,2002-08-01,30.76,306
307 Darling Downs - Maranoa,2002-08-01,35.49,307
308 Fitzroy,2002-08-01,40.60,308
309 Gold Coast,2002-08-01,43.06,309
312 Mackay,2002-08-01,33.85,312
315 Queensland - Outback,2002-08-01,44.09,315
316 Sunshine Coast,2002-08-01,44.76,316
317 Toowoomba,2002-08-01,36.17,317
318 Townsville,2002-08-01,40.73,318
319 Wide Bay,2002-08-01,28.73,319
401 Adelaide - Central and Hills,2002-08-01,41.53,401
402 Adelaide - North,2002-08-01,23.47,402
403 Adelaide - South,2002-08-01,44.36,403
404 Adelaide - West,2002-08-01,34.04,404
405 Barossa - Yorke - Mid North,2002-08-01,34.45,405
406 South Australia - Outback,2002-08-01,38.50,406
407 South Australia - South East,2002-08-01,49.10,407
502 Mandurah,2002-08-01,42.95,502
503 Perth - Inner,2002-08-01,44.64,503
504 Perth - North East,2002-08-01,16.85,504
505 Perth - North West,2002-08-01,35.98,505
506 Perth - South East,2002-08-01,32.17,506
507 Perth - South West,2002-08-01,34.55,507
501 Bunbury,2002-08-01,33.88,501
508 Western Australia - Outback,2002-08-01,45.05,508
509 Western Australia - Wheat Belt,2002-08-01,46.02,509
601 Hobart,2002-08-01,32.97,601
602 Launceston and North East,2002-08-01,30.76,602
603 Tasmania - South East,2002-08-01,37.41,603
604 Tasmania - West and North West,2002-08-01,47.68,604
701 Darwin,2002-08-01,40.86,701
702 Northern Territory - Outback,2002-08-01,30.28,702
801 Australian Capital Territory,2002-08-01,43.48,801
102 Central Coast,2003-08-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2003-08-01,38.06,115
116 Sydney - Blacktown,2003-08-01,25.61,116
117 Sydney - City and Inner South,2003-08-01,38.95,117
118 Sydney - Eastern Suburbs,2003-08-01,23.45,118
119 Sydney - Inner South West,2003-08-01,16.24,119
120 Sydney - Inner West,2003-08-01,35.84,120
121 Sydney - North Sydney and Hornsby,2003-08-01,21.85,121
122 Sydney - Northern Beaches,2003-08-01,13.77,122
123 Sydney - Outer South West,2003-08-01,23.33,123
124 Sydney - Outer West and Blue Mountains,2003-08-01,38.40,124
125 Sydney - Parramatta,2003-08-01,33.93,125
126 Sydney - Ryde,2003-08-01,35.09,126
127 Sydney - South West,2003-08-01,20.00,127
128 Sydney - Sutherland,2003-08-01,43.46,128
101 Capital Region,2003-08-01,27.35,101
103 New South Wales - Central West,2003-08-01,34.68,103
104 Coffs Harbour - Grafton,2003-08-01,43.33,104
105 Far West and Orana,2003-08-01,37.36,105
106 Hunter Valley exc Newcastle,2003-08-01,35.90,106
107 Illawarra,2003-08-01,44.45,107
108 Mid North Coast,2003-08-01,38.33,108
109 Murray,2003-08-01,39.24,109
110 New England and North West,2003-08-01,41.75,110
111 Newcastle and Lake Macquarie,2003-08-01,35.50,111
112 Richmond - Tweed,2003-08-01,34.67,112
113 Riverina,2003-08-01,33.82,113
114 Southern Highlands and Shoalhaven,2003-08-01,37.32,114
206 Melbourne - Inner,2003-08-01,38.24,206
207 Melbourne - Inner East,2003-08-01,17.85,207
208 Melbourne - Inner South,2003-08-01,18.40,208
209 Melbourne - North East,2003-08-01,19.41,209
210 Melbourne - North West,2003-08-01,33.10,210
211 Melbourne - Outer East,2003-08-01,39.67,211
212 Melbourne - South East,2003-08-01,33.34,212
213 Melbourne - West,2003-08-01,40.92,213
214 Mornington Peninsula,2003-08-01,41.19,214
201 Ballarat,2003-08-01,40.77,201
202 Bendigo,2003-08-01,35.35,202
203 Geelong,2003-08-01,34.63,203
204 Hume,2003-08-01,37.29,204
205 Latrobe - Gippsland,2003-08-01,37.14,205
215 Victoria - North West,2003-08-01,37.14,215
216 Shepparton,2003-08-01,32.16,216
217 Warrnambool and South West,2003-08-01,40.08,217
301 Brisbane - East,2003-08-01,36.38,301
302 Brisbane - North,2003-08-01,38.38,302
303 Brisbane - South,2003-08-01,33.18,303
304 Brisbane - West,2003-08-01,29.00,304
305 Brisbane Inner City,2003-08-01,16.44,305
310 Ipswich,2003-08-01,17.46,310
311 Logan - Beaudesert,2003-08-01,45.26,311
313 Moreton Bay - North,2003-08-01,46.78,313
314 Moreton Bay - South,2003-08-01,42.59,314
306 Cairns,2003-08-01,33.96,306
307 Darling Downs - Maranoa,2003-08-01,35.66,307
308 Fitzroy,2003-08-01,34.00,308
309 Gold Coast,2003-08-01,43.06,309
312 Mackay,2003-08-01,33.10,312
315 Queensland - Outback,2003-08-01,44.10,315
316 Sunshine Coast,2003-08-01,44.68,316
317 Toowoomba,2003-08-01,35.70,317
318 Townsville,2003-08-01,39.89,318
319 Wide Bay,2003-08-01,37.45,319
401 Adelaide - Central and Hills,2003-08-01,35.92,401
402 Adelaide - North,2003-08-01,22.90,402
403 Adelaide - South,2003-08-01,41.87,403
404 Adelaide - West,2003-08-01,34.66,404
405 Barossa - Yorke - Mid North,2003-08-01,33.29,405
406 South Australia - Outback,2003-08-01,37.15,406
407 South Australia - South East,2003-08-01,45.97,407
502 Mandurah,2003-08-01,40.43,502
503 Perth - Inner,2003-08-01,45.70,503
504 Perth - North East,2003-08-01,15.32,504
505 Perth - North West,2003-08-01,34.51,505
506 Perth - South East,2003-08-01,31.93,506
507 Perth - South West,2003-08-01,34.72,507
501 Bunbury,2003-08-01,33.66,501
508 Western Australia - Outback,2003-08-01,45.57,508
509 Western Australia - Wheat Belt,2003-08-01,46.38,509
601 Hobart,2003-08-01,37.18,601
602 Launceston and North East,2003-08-01,30.55,602
603 Tasmania - South East,2003-08-01,38.33,603
604 Tasmania - West and North West,2003-08-01,44.68,604
701 Darwin,2003-08-01,43.32,701
702 Northern Territory - Outback,2003-08-01,32.17,702
801 Australian Capital Territory,2003-08-01,40.44,801
102 Central Coast,2004-08-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2004-08-01,35.86,115
116 Sydney - Blacktown,2004-08-01,25.69,116
117 Sydney - City and Inner South,2004-08-01,42.94,117
118 Sydney - Eastern Suburbs,2004-08-01,21.45,118
119 Sydney - Inner South West,2004-08-01,17.20,119
120 Sydney - Inner West,2004-08-01,36.53,120
121 Sydney - North Sydney and Hornsby,2004-08-01,21.78,121
122 Sydney - Northern Beaches,2004-08-01,14.50,122
123 Sydney - Outer South West,2004-08-01,23.76,123
124 Sydney - Outer West and Blue Mountains,2004-08-01,39.33,124
125 Sydney - Parramatta,2004-08-01,34.30,125
126 Sydney - Ryde,2004-08-01,36.92,126
127 Sydney - South West,2004-08-01,16.04,127
128 Sydney - Sutherland,2004-08-01,42.56,128
101 Capital Region,2004-08-01,28.75,101
103 New South Wales - Central West,2004-08-01,37.17,103
104 Coffs Harbour - Grafton,2004-08-01,39.92,104
105 Far West and Orana,2004-08-01,37.27,105
106 Hunter Valley exc Newcastle,2004-08-01,32.59,106
107 Illawarra,2004-08-01,42.10,107
108 Mid North Coast,2004-08-01,37.14,108
109 Murray,2004-08-01,36.21,109
110 New England and North West,2004-08-01,35.15,110
111 Newcastle and Lake Macquarie,2004-08-01,32.97,111
112 Richmond - Tweed,2004-08-01,36.09,112
113 Riverina,2004-08-01,33.43,113
114 Southern Highlands and Shoalhaven,2004-08-01,37.45,114
206 Melbourne - Inner,2004-08-01,37.70,206
207 Melbourne - Inner East,2004-08-01,18.91,207
208 Melbourne - Inner South,2004-08-01,18.03,208
209 Melbourne - North East,2004-08-01,18.74,209
210 Melbourne - North West,2004-08-01,32.42,210
211 Melbourne - Outer East,2004-08-01,42.03,211
212 Melbourne - South East,2004-08-01,36.36,212
213 Melbourne - West,2004-08-01,39.99,213
214 Mornington Peninsula,2004-08-01,40.19,214
201 Ballarat,2004-08-01,35.62,201
202 Bendigo,2004-08-01,42.57,202
203 Geelong,2004-08-01,32.17,203
204 Hume,2004-08-01,40.66,204
205 Latrobe - Gippsland,2004-08-01,38.63,205
215 Victoria - North West,2004-08-01,35.94,215
216 Shepparton,2004-08-01,33.75,216
217 Warrnambool and South West,2004-08-01,32.66,217
301 Brisbane - East,2004-08-01,41.26,301
302 Brisbane - North,2004-08-01,38.25,302
303 Brisbane - South,2004-08-01,31.34,303
304 Brisbane - West,2004-08-01,27.32,304
305 Brisbane Inner City,2004-08-01,20.37,305
310 Ipswich,2004-08-01,16.55,310
311 Logan - Beaudesert,2004-08-01,43.73,311
313 Moreton Bay - North,2004-08-01,46.41,313
314 Moreton Bay - South,2004-08-01,40.22,314
306 Cairns,2004-08-01,38.20,306
307 Darling Downs - Maranoa,2004-08-01,35.21,307
308 Fitzroy,2004-08-01,36.93,308
309 Gold Coast,2004-08-01,42.80,309
312 Mackay,2004-08-01,32.29,312
315 Queensland - Outback,2004-08-01,41.98,315
316 Sunshine Coast,2004-08-01,42.30,316
317 Toowoomba,2004-08-01,34.56,317
318 Townsville,2004-08-01,36.28,318
319 Wide Bay,2004-08-01,39.41,319
401 Adelaide - Central and Hills,2004-08-01,38.58,401
402 Adelaide - North,2004-08-01,22.10,402
403 Adelaide - South,2004-08-01,43.63,403
404 Adelaide - West,2004-08-01,32.01,404
405 Barossa - Yorke - Mid North,2004-08-01,34.10,405
406 South Australia - Outback,2004-08-01,40.39,406
407 South Australia - South East,2004-08-01,42.92,407
502 Mandurah,2004-08-01,41.97,502
503 Perth - Inner,2004-08-01,51.33,503
504 Perth - North East,2004-08-01,15.44,504
505 Perth - North West,2004-08-01,35.47,505
506 Perth - South East,2004-08-01,32.45,506
507 Perth - South West,2004-08-01,37.63,507
501 Bunbury,2004-08-01,33.30,501
508 Western Australia - Outback,2004-08-01,46.34,508
509 Western Australia - Wheat Belt,2004-08-01,42.42,509
601 Hobart,2004-08-01,42.29,601
602 Launceston and North East,2004-08-01,29.14,602
603 Tasmania - South East,2004-08-01,38.17,603
604 Tasmania - West and North West,2004-08-01,45.68,604
701 Darwin,2004-08-01,43.47,701
702 Northern Territory - Outback,2004-08-01,32.03,702
801 Australian Capital Territory,2004-08-01,40.29,801
102 Central Coast,2005-08-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2005-08-01,34.95,115
116 Sydney - Blacktown,2005-08-01,24.00,116
117 Sydney - City and Inner South,2005-08-01,39.40,117
118 Sydney - Eastern Suburbs,2005-08-01,21.60,118
119 Sydney - Inner South West,2005-08-01,18.69,119
120 Sydney - Inner West,2005-08-01,32.20,120
121 Sydney - North Sydney and Hornsby,2005-08-01,23.96,121
122 Sydney - Northern Beaches,2005-08-01,14.10,122
123 Sydney - Outer South West,2005-08-01,22.94,123
124 Sydney - Outer West and Blue Mountains,2005-08-01,35.54,124
125 Sydney - Parramatta,2005-08-01,34.60,125
126 Sydney - Ryde,2005-08-01,35.47,126
127 Sydney - South West,2005-08-01,19.01,127
128 Sydney - Sutherland,2005-08-01,44.31,128
101 Capital Region,2005-08-01,28.70,101
103 New South Wales - Central West,2005-08-01,36.28,103
104 Coffs Harbour - Grafton,2005-08-01,37.26,104
105 Far West and Orana,2005-08-01,37.37,105
106 Hunter Valley exc Newcastle,2005-08-01,35.09,106
107 Illawarra,2005-08-01,45.25,107
108 Mid North Coast,2005-08-01,37.59,108
109 Murray,2005-08-01,38.70,109
110 New England and North West,2005-08-01,43.17,110
111 Newcastle and Lake Macquarie,2005-08-01,35.94,111
112 Richmond - Tweed,2005-08-01,31.68,112
113 Riverina,2005-08-01,34.41,113
114 Southern Highlands and Shoalhaven,2005-08-01,34.79,114
206 Melbourne - Inner,2005-08-01,36.90,206
207 Melbourne - Inner East,2005-08-01,18.53,207
208 Melbourne - Inner South,2005-08-01,18.39,208
209 Melbourne - North East,2005-08-01,19.15,209
210 Melbourne - North West,2005-08-01,31.65,210
211 Melbourne - Outer East,2005-08-01,40.47,211
212 Melbourne - South East,2005-08-01,32.73,212
213 Melbourne - West,2005-08-01,39.26,213
214 Mornington Peninsula,2005-08-01,38.43,214
201 Ballarat,2005-08-01,37.75,201
202 Bendigo,2005-08-01,37.42,202
203 Geelong,2005-08-01,34.54,203
204 Hume,2005-08-01,38.16,204
205 Latrobe - Gippsland,2005-08-01,36.64,205
215 Victoria - North West,2005-08-01,39.55,215
216 Shepparton,2005-08-01,37.26,216
217 Warrnambool and South West,2005-08-01,40.38,217
301 Brisbane - East,2005-08-01,39.49,301
302 Brisbane - North,2005-08-01,35.65,302
303 Brisbane - South,2005-08-01,31.78,303
304 Brisbane - West,2005-08-01,29.28,304
305 Brisbane Inner City,2005-08-01,16.80,305
310 Ipswich,2005-08-01,18.22,310
311 Logan - Beaudesert,2005-08-01,42.95,311
313 Moreton Bay - North,2005-08-01,45.71,313
314 Moreton Bay - South,2005-08-01,41.52,314
