Labour market region (SA4): ASGS (2011),date,percent total workers,sa4_code_2011
215 Victoria - North West,2003-08-01,0.2214,215
216 Shepparton,2003-08-01,0.2633,216
217 Warrnambool and South West,2003-08-01,0.1938,217
301 Brisbane - East,2003-08-01,0.2933,301
302 Brisbane - North,2003-08-01,0.3167,302
303 Brisbane - South,2003-08-01,0.3142,303
304 Brisbane - West,2003-08-01,0.3178,304
305 Brisbane Inner City,2003-08-01,0.2457,305
310 Ipswich,2003-08-01,0.2457,310
311 Logan - Beaudesert,2003-08-01,0.2675,311
313 Moreton Bay - North,2003-08-01,0.2901,313
314 Moreton Bay - South,2003-08-01,0.3299,314
306 Cairns,2003-08-01,0.2583,306
307 Darling Downs - Maranoa,2003-08-01,0.1876,307
308 Fitzroy,2003-08-01,0.2178,308
309 Gold Coast,2003-08-01,0.3136,309
312 Mackay,2003-08-01,0.2506,312
315 Queensland - Outback,2003-08-01,0.1647,315
316 Sunshine Coast,2003-08-01,0.2547,316
317 Toowoomba,2003-08-01,0.296,317
318 Townsville,2003-08-01,0.2427,318
319 Wide Bay,2003-08-01,0.2648,319
401 Adelaide - Central and Hills,2003-08-01,0.2603,401
402 Adelaide - North,2003-08-01,0.2809,402
403 Adelaide - South,2003-08-01,0.2811,403
404 Adelaide - West,2003-08-01,0.2583,404
405 Barossa - Yorke - Mid North,2003-08-01,0.1855,405
406 South Australia - Outback,2003-08-01,0.1982,406
407 South Australia - South East,2003-08-01,0.1802,407
502 Mandurah,2003-08-01,0.2297,502
503 Perth - Inner,2003-08-01,0.2275,503
504 Perth - North East,2003-08-01,0.2796,504
505 Perth - North West,2003-08-01,0.2873,505
506 Perth - South East,2003-08-01,0.303,506
507 Perth - South West,2003-08-01,0.2778,507
501 Bunbury,2003-08-01,0.2156,501
508 Western Australia - Outback,2003-08-01,0.2057,508
509 Western Australia - Wheat Belt,2003-08-01,0.1846,509
601 Hobart,2003-08-01,0.2794,601
602 Launceston and North East,2003-08-01,0.2699,602
603 Tasmania - South East,2003-08-01,0.1837,603
604 Tasmania - West and North West,2003-08-01,0.2408,604
701 Darwin,2003-08-01,0.2702,701
702 Northern Territory - Outback,2003-08-01,0.1849,702
801 Australian Capital Territory,2003-08-01,0.293,801
102 Central Coast,2004-08-01,0.3067,102
115 Sydney - Baulkham Hills and Hawkesbury,2004-08-01,0.2955,115
116 Sydney - Blacktown,2004-08-01,0.2777,116
117 Sydney - City and Inner South,2004-08-01,0.2519,117
118 Sydney - Eastern Suburbs,2004-08-01,0.2185,118
119 Sydney - Inner South West,2004-08-01,0.2743,119
120 Sydney - Inner West,2004-08-01,0.2741,120
121 Sydney - North Sydney and Hornsby,2004-08-01,0.2422,121
122 Sydney - Northern Beaches,2004-08-01,0.261,122
123 Sydney - Outer South West,2004-08-01,0.2955,123
124 Sydney - Outer West and Blue Mountains,2004-08-01,0.285,124
125 Sydney - Parramatta,2004-08-01,0.2691,125
126 Sydney - Ryde,2004-08-01,0.2462,126
127 Sydney - South West,2004-08-01,0.3002,127
128 Sydney - Sutherland,2004-08-01,0.3077,128
101 Capital Region,2004-08-01,0.2465,101
