Labour market region (SA4): ASGS (2011),date,percent total workers,sa4_code_2011
204 Hume,2015-02-01,0.2016,204
205 Latrobe - Gippsland,2015-02-01,0.1806,205
215 Victoria - North West,2015-02-01,0.231,215
216 Shepparton,2015-02-01,0.2009,216
217 Warrnambool and South West,2015-02-01,0.1403,217
301 Brisbane - East,2015-02-01,0.25,301
302 Brisbane - North,2015-02-01,0.2756,302
303 Brisbane - South,2015-02-01,0.2495,303
304 Brisbane - West,2015-02-01,0.2178,304
305 Brisbane Inner City,2015-02-01,0.2378,305
310 Ipswich,2015-02-01,0.23,310
311 Logan - Beaudesert,2015-02-01,0.2533,311
313 Moreton Bay - North,2015-02-01,0.2547,313
314 Moreton Bay - South,2015-02-01,0.3204,314
306 Cairns,2015-02-01,0.2382,306
307 Darling Downs - Maranoa,2015-02-01,0.2131,307
308 Fitzroy,2015-02-01,0.2028,308
309 Gold Coast,2015-02-01,0.2506,309
312 Mackay,2015-02-01,0.1917,312
315 Queensland - Outback,2015-02-01,0.186,315
316 Sunshine Coast,2015-02-01,0.2501,316
317 Toowoomba,2015-02-01,0.1953,317
318 Townsville,2015-02-01,0.2519,318
319 Wide Bay,2015-02-01,0.2562,319
401 Adelaide - Central and Hills,2015-02-01,0.2146,401
402 Adelaide - North,2015-02-01,0.2509,402
403 Adelaide - South,2015-02-01,0.2494,403
404 Adelaide - West,2015-02-01,0.2436,404
405 Barossa - Yorke - Mid North,2015-02-01,0.1683,405
406 South Australia - Outback,2015-02-01,0.1388,406
407 South Australia - South East,2015-02-01,0.2057,407
502 Mandurah,2015-02-01,0.1707,502
503 Perth - Inner,2015-02-01,0.1927,503
504 Perth - North East,2015-02-01,0.2409,504
505 Perth - North West,2015-02-01,0.2399,505
506 Perth - South East,2015-02-01,0.2514,506
507 Perth - South West,2015-02-01,0.2225,507
501 Bunbury,2015-02-01,0.187,501
508 Western Australia - Outback,2015-02-01,0.1882,508
509 Western Australia - Wheat Belt,2015-02-01,0.1706,509
601 Hobart,2015-02-01,0.2549,601
602 Launceston and North East,2015-02-01,0.228,602
603 Tasmania - South East,2015-02-01,0.2167,603
604 Tasmania - West and North West,2015-02-01,0.2436,604
701 Darwin,2015-02-01,0.2365,701
702 Northern Territory - Outback,2015-02-01,0.2009,702
801 Australian Capital Territory,2015-02-01,0.262,801
102 Central Coast,2016-02-01,0.2551,102
115 Sydney - Baulkham Hills and Hawkesbury,2016-02-01,0.2545,115
116 Sydney - Blacktown,2016-02-01,0.2638,116
117 Sydney - City and Inner South,2016-02-01,0.2116,117
118 Sydney - Eastern Suburbs,2016-02-01,0.2123,118
119 Sydney - Inner South West,2016-02-01,0.2659,119
120 Sydney - Inner West,2016-02-01,0.2256,120
121 Sydney - North Sydney and Hornsby,2016-02-01,0.2017,121
122 Sydney - Northern Beaches,2016-02-01,0.2384,122
123 Sydney - Outer South West,2016-02-01,0.2723,123
124 Sydney - Outer West and Blue Mountains,2016-02-01,0.2484,124
125 Sydney - Parramatta,2016-02-01,0.263,125
126 Sydney - Ryde,2016-02-01,0.274,126
127 Sydney - South West,2016-02-01,0.2548,127
128 Sydney - Sutherland,2016-02-01,0.2682,128
101 Capital Region,2016-02-01,0.1723,101
103 New South Wales - Central West,2016-02-01,0.2111,103
104 Coffs Harbour - Grafton,2016-02-01,0.2742,104
105 Far West and Orana,2016-02-01,0.237,105
106 Hunter Valley exc Newcastle,2016-02-01,0.1918,106
107 Illawarra,2016-02-01,0.2201,107
108 Mid North Coast,2016-02-01,0.2449,108
109 Murray,2016-02-01,0.2179,109
110 New England and North West,2016-02-01,0.1755,110
111 Newcastle and Lake Macquarie,2016-02-01,0.2306,111
112 Richmond - Tweed,2016-02-01,0.2413,112
113 Riverina,2016-02-01,0.1812,113
114 Southern Highlands and Shoalhaven,2016-02-01,0.241,114
206 Melbourne - Inner,2016-02-01,0.1994,206
207 Melbourne - Inner East,2016-02-01,0.2376,207
208 Melbourne - Inner South,2016-02-01,0.238,208
209 Melbourne - North East,2016-02-01,0.2567,209
210 Melbourne - North West,2016-02-01,0.2678,210
211 Melbourne - Outer East,2016-02-01,0.2471,211
212 Melbourne - South East,2016-02-01,0.2271,212
213 Melbourne - West,2016-02-01,0.2535,213
214 Mornington Peninsula,2016-02-01,0.2764,214
201 Ballarat,2016-02-01,0.2154,201
202 Bendigo,2016-02-01,0.1977,202
203 Geelong,2016-02-01,0.2457,203
204 Hume,2016-02-01,0.2199,204
205 Latrobe - Gippsland,2016-02-01,0.2259,205
215 Victoria - North West,2016-02-01,0.1494,215
216 Shepparton,2016-02-01,0.2015,216
217 Warrnambool and South West,2016-02-01,0.1597,217
301 Brisbane - East,2016-02-01,0.2613,301
302 Brisbane - North,2016-02-01,0.2266,302
303 Brisbane - South,2016-02-01,0.2618,303
304 Brisbane - West,2016-02-01,0.2508,304
305 Brisbane Inner City,2016-02-01,0.2204,305
310 Ipswich,2016-02-01,0.2544,310
311 Logan - Beaudesert,2016-02-01,0.2613,311
313 Moreton Bay - North,2016-02-01,0.2902,313
314 Moreton Bay - South,2016-02-01,0.2702,314
306 Cairns,2016-02-01,0.1836,306
307 Darling Downs - Maranoa,2016-02-01,0.2154,307
308 Fitzroy,2016-02-01,0.1836,308
309 Gold Coast,2016-02-01,0.2687,309
312 Mackay,2016-02-01,0.155,312
315 Queensland - Outback,2016-02-01,0.2354,315
316 Sunshine Coast,2016-02-01,0.2346,316
317 Toowoomba,2016-02-01,0.207,317
318 Townsville,2016-02-01,0.2426,318
319 Wide Bay,2016-02-01,0.2005,319
401 Adelaide - Central and Hills,2016-02-01,0.2121,401
402 Adelaide - North,2016-02-01,0.2504,402
403 Adelaide - South,2016-02-01,0.2605,403
404 Adelaide - West,2016-02-01,0.2583,404
405 Barossa - Yorke - Mid North,2016-02-01,0.194,405
406 South Australia - Outback,2016-02-01,0.1649,406
407 South Australia - South East,2016-02-01,0.2526,407
502 Mandurah,2016-02-01,0.2,502
503 Perth - Inner,2016-02-01,0.1837,503
504 Perth - North East,2016-02-01,0.2227,504
505 Perth - North West,2016-02-01,0.2283,505
506 Perth - South East,2016-02-01,0.2386,506
507 Perth - South West,2016-02-01,0.2317,507
501 Bunbury,2016-02-01,0.2299,501
508 Western Australia - Outback,2016-02-01,0.1867,508
509 Western Australia - Wheat Belt,2016-02-01,0.1584,509
601 Hobart,2016-02-01,0.2494,601
602 Launceston and North East,2016-02-01,0.2262,602
603 Tasmania - South East,2016-02-01,0.1827,603
604 Tasmania - West and North West,2016-02-01,0.2151,604
701 Darwin,2016-02-01,0.2383,701
702 Northern Territory - Outback,2016-02-01,0.1931,702
801 Australian Capital Territory,2016-02-01,0.268,801
102 Central Coast,2000-05-01,0.2799,102
115 Sydney - Baulkham Hills and Hawkesbury,2000-05-01,0.2904,115
116 Sydney - Blacktown,2000-05-01,0.3216,116
117 Sydney - City and Inner South,2000-05-01,0.2483,117
118 Sydney - Eastern Suburbs,2000-05-01,0.281,118
119 Sydney - Inner South West,2000-05-01,0.2941,119
120 Sydney - Inner West,2000-05-01,0.2845,120
121 Sydney - North Sydney and Hornsby,2000-05-01,0.2546,121
122 Sydney - Northern Beaches,2000-05-01,0.3143,122
123 Sydney - Outer South West,2000-05-01,0.2972,123
124 Sydney - Outer West and Blue Mountains,2000-05-01,0.3137,124
125 Sydney - Parramatta,2000-05-01,0.2757,125
126 Sydney - Ryde,2000-05-01,0.2884,126
127 Sydney - South West,2000-05-01,0.2576,127
128 Sydney - Sutherland,2000-05-01,0.3294,128
101 Capital Region,2000-05-01,0.2326,101
103 New South Wales - Central West,2000-05-01,0.2339,103
104 Coffs Harbour - Grafton,2000-05-01,0.248,104
105 Far West and Orana,2000-05-01,0.1564,105
106 Hunter Valley exc Newcastle,2000-05-01,0.2286,106
107 Illawarra,2000-05-01,0.2393,107
108 Mid North Coast,2000-05-01,0.2196,108
109 Murray,2000-05-01,0.1915,109
110 New England and North West,2000-05-01,0.2078,110
111 Newcastle and Lake Macquarie,2000-05-01,0.305,111
112 Richmond - Tweed,2000-05-01,0.2491,112
113 Riverina,2000-05-01,0.2531,113
114 Southern Highlands and Shoalhaven,2000-05-01,0.2193,114
206 Melbourne - Inner,2000-05-01,0.2548,206
207 Melbourne - Inner East,2000-05-01,0.2746,207
208 Melbourne - Inner South,2000-05-01,0.2813,208
209 Melbourne - North East,2000-05-01,0.2594,209
210 Melbourne - North West,2000-05-01,0.2812,210
211 Melbourne - Outer East,2000-05-01,0.2852,211
212 Melbourne - South East,2000-05-01,0.2788,212
213 Melbourne - West,2000-05-01,0.2875,213
214 Mornington Peninsula,2000-05-01,0.2738,214
201 Ballarat,2000-05-01,0.2265,201
202 Bendigo,2000-05-01,0.2044,202
203 Geelong,2000-05-01,0.2272,203
204 Hume,2000-05-01,0.2672,204
205 Latrobe - Gippsland,2000-05-01,0.2223,205
215 Victoria - North West,2000-05-01,0.1883,215
216 Shepparton,2000-05-01,0.2167,216
217 Warrnambool and South West,2000-05-01,0.1924,217
301 Brisbane - East,2000-05-01,0.3362,301
302 Brisbane - North,2000-05-01,0.3205,302
303 Brisbane - South,2000-05-01,0.3174,303
304 Brisbane - West,2000-05-01,0.2861,304
305 Brisbane Inner City,2000-05-01,0.2728,305
310 Ipswich,2000-05-01,0.2778,310
311 Logan - Beaudesert,2000-05-01,0.2852,311
313 Moreton Bay - North,2000-05-01,0.3439,313
314 Moreton Bay - South,2000-05-01,0.3188,314
306 Cairns,2000-05-01,0.2446,306
307 Darling Downs - Maranoa,2000-05-01,0.2173,307
308 Fitzroy,2000-05-01,0.2275,308
309 Gold Coast,2000-05-01,0.3252,309
312 Mackay,2000-05-01,0.2493,312
315 Queensland - Outback,2000-05-01,0.1649,315
316 Sunshine Coast,2000-05-01,0.2729,316
317 Toowoomba,2000-05-01,0.258,317
318 Townsville,2000-05-01,0.2568,318
319 Wide Bay,2000-05-01,0.2024,319
401 Adelaide - Central and Hills,2000-05-01,0.2626,401
402 Adelaide - North,2000-05-01,0.2818,402
403 Adelaide - South,2000-05-01,0.271,403
404 Adelaide - West,2000-05-01,0.2655,404
405 Barossa - Yorke - Mid North,2000-05-01,0.175,405
406 South Australia - Outback,2000-05-01,0.2022,406
407 South Australia - South East,2000-05-01,0.1814,407
502 Mandurah,2000-05-01,0.2405,502
503 Perth - Inner,2000-05-01,0.2428,503
504 Perth - North East,2000-05-01,0.2859,504
505 Perth - North West,2000-05-01,0.331,505
506 Perth - South East,2000-05-01,0.29,506
507 Perth - South West,2000-05-01,0.274,507
501 Bunbury,2000-05-01,0.2389,501
508 Western Australia - Outback,2000-05-01,0.2168,508
509 Western Australia - Wheat Belt,2000-05-01,0.1741,509
601 Hobart,2000-05-01,0.2918,601
602 Launceston and North East,2000-05-01,0.2265,602
603 Tasmania - South East,2000-05-01,0.1997,603
604 Tasmania - West and North West,2000-05-01,0.2212,604
701 Darwin,2000-05-01,0.2811,701
702 Northern Territory - Outback,2000-05-01,0.2079,702
801 Australian Capital Territory,2000-05-01,0.2996,801
102 Central Coast,2001-05-01,0.3005,102
115 Sydney - Baulkham Hills and Hawkesbury,2001-05-01,0.3052,115
116 Sydney - Blacktown,2001-05-01,0.3216,116
117 Sydney - City and Inner South,2001-05-01,0.2697,117
118 Sydney - Eastern Suburbs,2001-05-01,0.2737,118
119 Sydney - Inner South West,2001-05-01,0.2999,119
120 Sydney - Inner West,2001-05-01,0.2989,120
121 Sydney - North Sydney and Hornsby,2001-05-01,0.2663,121
122 Sydney - Northern Beaches,2001-05-01,0.2957,122
123 Sydney - Outer South West,2001-05-01,0.3249,123
124 Sydney - Outer West and Blue Mountains,2001-05-01,0.2749,124
125 Sydney - Parramatta,2001-05-01,0.3066,125
126 Sydney - Ryde,2001-05-01,0.2866,126
127 Sydney - South West,2001-05-01,0.3024,127
128 Sydney - Sutherland,2001-05-01,0.331,128
101 Capital Region,2001-05-01,0.2342,101
103 New South Wales - Central West,2001-05-01,0.2406,103
104 Coffs Harbour - Grafton,2001-05-01,0.2843,104
105 Far West and Orana,2001-05-01,0.1406,105
106 Hunter Valley exc Newcastle,2001-05-01,0.2764,106
107 Illawarra,2001-05-01,0.2697,107
108 Mid North Coast,2001-05-01,0.2965,108
109 Murray,2001-05-01,0.2317,109
110 New England and North West,2001-05-01,0.2069,110
111 Newcastle and Lake Macquarie,2001-05-01,0.2808,111
112 Richmond - Tweed,2001-05-01,0.2442,112
113 Riverina,2001-05-01,0.2357,113
114 Southern Highlands and Shoalhaven,2001-05-01,0.2596,114
206 Melbourne - Inner,2001-05-01,0.2336,206
207 Melbourne - Inner East,2001-05-01,0.2587,207
208 Melbourne - Inner South,2001-05-01,0.2865,208
209 Melbourne - North East,2001-05-01,0.2753,209
210 Melbourne - North West,2001-05-01,0.3046,210
211 Melbourne - Outer East,2001-05-01,0.2984,211
212 Melbourne - South East,2001-05-01,0.2748,212
213 Melbourne - West,2001-05-01,0.258,213
214 Mornington Peninsula,2001-05-01,0.2663,214
201 Ballarat,2001-05-01,0.2354,201
202 Bendigo,2001-05-01,0.2674,202
203 Geelong,2001-05-01,0.2537,203
204 Hume,2001-05-01,0.2437,204
205 Latrobe - Gippsland,2001-05-01,0.208,205
215 Victoria - North West,2001-05-01,0.1998,215
216 Shepparton,2001-05-01,0.1799,216
217 Warrnambool and South West,2001-05-01,0.1708,217
301 Brisbane - East,2001-05-01,0.3277,301
302 Brisbane - North,2001-05-01,0.3427,302
303 Brisbane - South,2001-05-01,0.326,303
304 Brisbane - West,2001-05-01,0.2849,304
305 Brisbane Inner City,2001-05-01,0.282,305
310 Ipswich,2001-05-01,0.2504,310
311 Logan - Beaudesert,2001-05-01,0.2746,311
313 Moreton Bay - North,2001-05-01,0.3129,313
314 Moreton Bay - South,2001-05-01,0.3146,314
306 Cairns,2001-05-01,0.2498,306
307 Darling Downs - Maranoa,2001-05-01,0.198,307
308 Fitzroy,2001-05-01,0.2342,308
309 Gold Coast,2001-05-01,0.3203,309
312 Mackay,2001-05-01,0.2398,312
315 Queensland - Outback,2001-05-01,0.1752,315
316 Sunshine Coast,2001-05-01,0.2574,316
317 Toowoomba,2001-05-01,0.2867,317
318 Townsville,2001-05-01,0.2457,318
319 Wide Bay,2001-05-01,0.1966,319
401 Adelaide - Central and Hills,2001-05-01,0.2711,401
402 Adelaide - North,2001-05-01,0.2873,402
403 Adelaide - South,2001-05-01,0.2722,403
404 Adelaide - West,2001-05-01,0.2939,404
405 Barossa - Yorke - Mid North,2001-05-01,0.1646,405
406 South Australia - Outback,2001-05-01,0.1871,406
407 South Australia - South East,2001-05-01,0.1842,407
502 Mandurah,2001-05-01,0.1998,502
503 Perth - Inner,2001-05-01,0.2377,503
504 Perth - North East,2001-05-01,0.3077,504
505 Perth - North West,2001-05-01,0.3168,505
506 Perth - South East,2001-05-01,0.3145,506
507 Perth - South West,2001-05-01,0.2689,507
501 Bunbury,2001-05-01,0.2376,501
508 Western Australia - Outback,2001-05-01,0.2263,508
509 Western Australia - Wheat Belt,2001-05-01,0.1796,509
601 Hobart,2001-05-01,0.3059,601
602 Launceston and North East,2001-05-01,0.2536,602
603 Tasmania - South East,2001-05-01,0.2236,603
604 Tasmania - West and North West,2001-05-01,0.2445,604
701 Darwin,2001-05-01,0.2924,701
702 Northern Territory - Outback,2001-05-01,0.16,702
801 Australian Capital Territory,2001-05-01,0.2966,801
102 Central Coast,2002-05-01,0.2648,102
115 Sydney - Baulkham Hills and Hawkesbury,2002-05-01,0.2786,115
116 Sydney - Blacktown,2002-05-01,0.3139,116
117 Sydney - City and Inner South,2002-05-01,0.2777,117
118 Sydney - Eastern Suburbs,2002-05-01,0.2475,118
119 Sydney - Inner South West,2002-05-01,0.2845,119
120 Sydney - Inner West,2002-05-01,0.2402,120
121 Sydney - North Sydney and Hornsby,2002-05-01,0.2564,121
122 Sydney - Northern Beaches,2002-05-01,0.3015,122
123 Sydney - Outer South West,2002-05-01,0.2823,123
124 Sydney - Outer West and Blue Mountains,2002-05-01,0.3033,124
125 Sydney - Parramatta,2002-05-01,0.3068,125
126 Sydney - Ryde,2002-05-01,0.314,126
127 Sydney - South West,2002-05-01,0.2851,127
128 Sydney - Sutherland,2002-05-01,0.3036,128
101 Capital Region,2002-05-01,0.2287,101
103 New South Wales - Central West,2002-05-01,0.2328,103
104 Coffs Harbour - Grafton,2002-05-01,0.2523,104
105 Far West and Orana,2002-05-01,0.1638,105
106 Hunter Valley exc Newcastle,2002-05-01,0.2326,106
107 Illawarra,2002-05-01,0.2463,107
108 Mid North Coast,2002-05-01,0.2509,108
109 Murray,2002-05-01,0.2812,109
110 New England and North West,2002-05-01,0.1919,110
111 Newcastle and Lake Macquarie,2002-05-01,0.2779,111
112 Richmond - Tweed,2002-05-01,0.2769,112
113 Riverina,2002-05-01,0.2195,113
114 Southern Highlands and Shoalhaven,2002-05-01,0.243,114
206 Melbourne - Inner,2002-05-01,0.242,206
207 Melbourne - Inner East,2002-05-01,0.2544,207
208 Melbourne - Inner South,2002-05-01,0.269,208
209 Melbourne - North East,2002-05-01,0.2693,209
210 Melbourne - North West,2002-05-01,0.2918,210
211 Melbourne - Outer East,2002-05-01,0.2986,211
212 Melbourne - South East,2002-05-01,0.2797,212
213 Melbourne - West,2002-05-01,0.2817,213
214 Mornington Peninsula,2002-05-01,0.254,214
201 Ballarat,2002-05-01,0.2072,201
202 Bendigo,2002-05-01,0.2411,202
203 Geelong,2002-05-01,0.2564,203
204 Hume,2002-05-01,0.1944,204
205 Latrobe - Gippsland,2002-05-01,0.2255,205
215 Victoria - North West,2002-05-01,0.2147,215
216 Shepparton,2002-05-01,0.2402,216
217 Warrnambool and South West,2002-05-01,0.174,217
301 Brisbane - East,2002-05-01,0.3103,301
302 Brisbane - North,2002-05-01,0.3259,302
303 Brisbane - South,2002-05-01,0.3298,303
304 Brisbane - West,2002-05-01,0.3029,304
305 Brisbane Inner City,2002-05-01,0.247,305
310 Ipswich,2002-05-01,0.2216,310
311 Logan - Beaudesert,2002-05-01,0.2727,311
313 Moreton Bay - North,2002-05-01,0.2875,313
314 Moreton Bay - South,2002-05-01,0.3158,314
306 Cairns,2002-05-01,0.2176,306
307 Darling Downs - Maranoa,2002-05-01,0.1769,307
308 Fitzroy,2002-05-01,0.2021,308
309 Gold Coast,2002-05-01,0.3,309
312 Mackay,2002-05-01,0.2076,312
315 Queensland - Outback,2002-05-01,0.1974,315
316 Sunshine Coast,2002-05-01,0.2727,316
317 Toowoomba,2002-05-01,0.2671,317
318 Townsville,2002-05-01,0.2636,318
319 Wide Bay,2002-05-01,0.2522,319
401 Adelaide - Central and Hills,2002-05-01,0.255,401
402 Adelaide - North,2002-05-01,0.2683,402
403 Adelaide - South,2002-05-01,0.2597,403
404 Adelaide - West,2002-05-01,0.286,404
405 Barossa - Yorke - Mid North,2002-05-01,0.1805,405
406 South Australia - Outback,2002-05-01,0.1928,406
407 South Australia - South East,2002-05-01,0.188,407
502 Mandurah,2002-05-01,0.2651,502
503 Perth - Inner,2002-05-01,0.2342,503
504 Perth - North East,2002-05-01,0.2938,504
505 Perth - North West,2002-05-01,0.2959,505
506 Perth - South East,2002-05-01,0.2966,506
507 Perth - South West,2002-05-01,0.2814,507
501 Bunbury,2002-05-01,0.2526,501
508 Western Australia - Outback,2002-05-01,0.2173,508
509 Western Australia - Wheat Belt,2002-05-01,0.1792,509
601 Hobart,2002-05-01,0.2979,601
602 Launceston and North East,2002-05-01,0.2578,602
603 Tasmania - South East,2002-05-01,0.1984,603
604 Tasmania - West and North West,2002-05-01,0.2278,604
701 Darwin,2002-05-01,0.2823,701
702 Northern Territory - Outback,2002-05-01,0.1571,702
801 Australian Capital Territory,2002-05-01,0.3027,801
102 Central Coast,2003-05-01,0.293,102
115 Sydney - Baulkham Hills and Hawkesbury,2003-05-01,0.2834,115
116 Sydney - Blacktown,2003-05-01,0.3563,116
117 Sydney - City and Inner South,2003-05-01,0.2646,117
118 Sydney - Eastern Suburbs,2003-05-01,0.2282,118
119 Sydney - Inner South West,2003-05-01,0.3154,119
120 Sydney - Inner West,2003-05-01,0.2886,120
121 Sydney - North Sydney and Hornsby,2003-05-01,0.2716,121
122 Sydney - Northern Beaches,2003-05-01,0.2914,122
123 Sydney - Outer South West,2003-05-01,0.2988,123
124 Sydney - Outer West and Blue Mountains,2003-05-01,0.2957,124
125 Sydney - Parramatta,2003-05-01,0.3035,125
126 Sydney - Ryde,2003-05-01,0.2422,126
127 Sydney - South West,2003-05-01,0.2721,127
128 Sydney - Sutherland,2003-05-01,0.3075,128
101 Capital Region,2003-05-01,0.226,101
103 New South Wales - Central West,2003-05-01,0.2218,103
104 Coffs Harbour - Grafton,2003-05-01,0.2984,104
105 Far West and Orana,2003-05-01,0.1881,105
106 Hunter Valley exc Newcastle,2003-05-01,0.2528,106
107 Illawarra,2003-05-01,0.2506,107
108 Mid North Coast,2003-05-01,0.2403,108
109 Murray,2003-05-01,0.2715,109
110 New England and North West,2003-05-01,0.2382,110
111 Newcastle and Lake Macquarie,2003-05-01,0.2952,111
112 Richmond - Tweed,2003-05-01,0.2553,112
113 Riverina,2003-05-01,0.2306,113
114 Southern Highlands and Shoalhaven,2003-05-01,0.2304,114
206 Melbourne - Inner,2003-05-01,0.2289,206
207 Melbourne - Inner East,2003-05-01,0.2801,207
208 Melbourne - Inner South,2003-05-01,0.2624,208
209 Melbourne - North East,2003-05-01,0.28,209
210 Melbourne - North West,2003-05-01,0.3157,210
211 Melbourne - Outer East,2003-05-01,0.3044,211
212 Melbourne - South East,2003-05-01,0.2655,212
213 Melbourne - West,2003-05-01,0.2828,213
214 Mornington Peninsula,2003-05-01,0.2504,214
201 Ballarat,2003-05-01,0.238,201
202 Bendigo,2003-05-01,0.2688,202
203 Geelong,2003-05-01,0.2268,203
204 Hume,2003-05-01,0.2021,204
205 Latrobe - Gippsland,2003-05-01,0.2395,205
215 Victoria - North West,2003-05-01,0.2351,215
216 Shepparton,2003-05-01,0.2472,216
217 Warrnambool and South West,2003-05-01,0.1798,217
301 Brisbane - East,2003-05-01,0.2975,301
302 Brisbane - North,2003-05-01,0.3142,302
303 Brisbane - South,2003-05-01,0.3083,303
304 Brisbane - West,2003-05-01,0.3173,304
305 Brisbane Inner City,2003-05-01,0.2332,305
310 Ipswich,2003-05-01,0.2553,310
311 Logan - Beaudesert,2003-05-01,0.2742,311
313 Moreton Bay - North,2003-05-01,0.2807,313
314 Moreton Bay - South,2003-05-01,0.3422,314
306 Cairns,2003-05-01,0.268,306
307 Darling Downs - Maranoa,2003-05-01,0.1893,307
308 Fitzroy,2003-05-01,0.2066,308
309 Gold Coast,2003-05-01,0.3172,309
312 Mackay,2003-05-01,0.2581,312
315 Queensland - Outback,2003-05-01,0.1759,315
316 Sunshine Coast,2003-05-01,0.2584,316
317 Toowoomba,2003-05-01,0.2871,317
318 Townsville,2003-05-01,0.2291,318
319 Wide Bay,2003-05-01,0.2566,319
401 Adelaide - Central and Hills,2003-05-01,0.2557,401
402 Adelaide - North,2003-05-01,0.283,402
403 Adelaide - South,2003-05-01,0.2842,403
404 Adelaide - West,2003-05-01,0.2611,404
405 Barossa - Yorke - Mid North,2003-05-01,0.1894,405
406 South Australia - Outback,2003-05-01,0.1831,406
407 South Australia - South East,2003-05-01,0.1738,407
502 Mandurah,2003-05-01,0.2161,502
503 Perth - Inner,2003-05-01,0.229,503
504 Perth - North East,2003-05-01,0.2792,504
505 Perth - North West,2003-05-01,0.2935,505
506 Perth - South East,2003-05-01,0.3067,506
507 Perth - South West,2003-05-01,0.2672,507
501 Bunbury,2003-05-01,0.2258,501
508 Western Australia - Outback,2003-05-01,0.2091,508
509 Western Australia - Wheat Belt,2003-05-01,0.1886,509
601 Hobart,2003-05-01,0.2818,601
602 Launceston and North East,2003-05-01,0.2714,602
603 Tasmania - South East,2003-05-01,0.1816,603
604 Tasmania - West and North West,2003-05-01,0.2375,604
701 Darwin,2003-05-01,0.2823,701
702 Northern Territory - Outback,2003-05-01,0.1826,702
801 Australian Capital Territory,2003-05-01,0.2901,801
102 Central Coast,2004-05-01,0.3107,102
115 Sydney - Baulkham Hills and Hawkesbury,2004-05-01,0.297,115
116 Sydney - Blacktown,2004-05-01,0.284,116
117 Sydney - City and Inner South,2004-05-01,0.2629,117
118 Sydney - Eastern Suburbs,2004-05-01,0.2283,118
119 Sydney - Inner South West,2004-05-01,0.2887,119
120 Sydney - Inner West,2004-05-01,0.2738,120
121 Sydney - North Sydney and Hornsby,2004-05-01,0.2409,121
122 Sydney - Northern Beaches,2004-05-01,0.2652,122
123 Sydney - Outer South West,2004-05-01,0.293,123
124 Sydney - Outer West and Blue Mountains,2004-05-01,0.2911,124
125 Sydney - Parramatta,2004-05-01,0.2803,125
126 Sydney - Ryde,2004-05-01,0.2655,126
127 Sydney - South West,2004-05-01,0.3144,127
128 Sydney - Sutherland,2004-05-01,0.2915,128
101 Capital Region,2004-05-01,0.2416,101
103 New South Wales - Central West,2004-05-01,0.2023,103
104 Coffs Harbour - Grafton,2004-05-01,0.2874,104
105 Far West and Orana,2004-05-01,0.2046,105
106 Hunter Valley exc Newcastle,2004-05-01,0.2495,106
107 Illawarra,2004-05-01,0.2358,107
108 Mid North Coast,2004-05-01,0.2324,108
109 Murray,2004-05-01,0.2388,109
110 New England and North West,2004-05-01,0.2277,110
111 Newcastle and Lake Macquarie,2004-05-01,0.2693,111
112 Richmond - Tweed,2004-05-01,0.2295,112
113 Riverina,2004-05-01,0.1953,113
114 Southern Highlands and Shoalhaven,2004-05-01,0.2688,114
206 Melbourne - Inner,2004-05-01,0.2244,206
207 Melbourne - Inner East,2004-05-01,0.2704,207
208 Melbourne - Inner South,2004-05-01,0.2561,208
209 Melbourne - North East,2004-05-01,0.2938,209
210 Melbourne - North West,2004-05-01,0.2834,210
211 Melbourne - Outer East,2004-05-01,0.2845,211
212 Melbourne - South East,2004-05-01,0.2793,212
213 Melbourne - West,2004-05-01,0.2804,213
214 Mornington Peninsula,2004-05-01,0.285,214
201 Ballarat,2004-05-01,0.208,201
202 Bendigo,2004-05-01,0.2682,202
203 Geelong,2004-05-01,0.227,203
204 Hume,2004-05-01,0.202,204
205 Latrobe - Gippsland,2004-05-01,0.2534,205
215 Victoria - North West,2004-05-01,0.1993,215
216 Shepparton,2004-05-01,0.2383,216
217 Warrnambool and South West,2004-05-01,0.2163,217
301 Brisbane - East,2004-05-01,0.3012,301
302 Brisbane - North,2004-05-01,0.3438,302
303 Brisbane - South,2004-05-01,0.3,303
304 Brisbane - West,2004-05-01,0.2943,304
305 Brisbane Inner City,2004-05-01,0.2812,305
310 Ipswich,2004-05-01,0.2579,310
311 Logan - Beaudesert,2004-05-01,0.2674,311
313 Moreton Bay - North,2004-05-01,0.267,313
314 Moreton Bay - South,2004-05-01,0.3045,314
306 Cairns,2004-05-01,0.2419,306
307 Darling Downs - Maranoa,2004-05-01,0.1568,307
308 Fitzroy,2004-05-01,0.2405,308
309 Gold Coast,2004-05-01,0.312,309
312 Mackay,2004-05-01,0.2278,312
315 Queensland - Outback,2004-05-01,0.1515,315
316 Sunshine Coast,2004-05-01,0.2769,316
317 Toowoomba,2004-05-01,0.319,317
318 Townsville,2004-05-01,0.2722,318
319 Wide Bay,2004-05-01,0.2307,319
401 Adelaide - Central and Hills,2004-05-01,0.2687,401
402 Adelaide - North,2004-05-01,0.2702,402
403 Adelaide - South,2004-05-01,0.2748,403
404 Adelaide - West,2004-05-01,0.2938,404
405 Barossa - Yorke - Mid North,2004-05-01,0.1831,405
406 South Australia - Outback,2004-05-01,0.1985,406
407 South Australia - South East,2004-05-01,0.1703,407
502 Mandurah,2004-05-01,0.2147,502
503 Perth - Inner,2004-05-01,0.2445,503
504 Perth - North East,2004-05-01,0.2841,504
