Labour market region (SA4): ASGS (2011),date,percent parttime,sa4_code_2011
205 Latrobe - Gippsland,1999-08-01,0.2155,205
215 Victoria - North West,1999-08-01,0.2242,215
216 Shepparton,1999-08-01,0.2001,216
217 Warrnambool and South West,1999-08-01,0.212,217
301 Brisbane - East,1999-08-01,0.1955,301
302 Brisbane - North,1999-08-01,0.2981,302
303 Brisbane - South,1999-08-01,0.3034,303
304 Brisbane - West,1999-08-01,0.3194,304
305 Brisbane Inner City,1999-08-01,0.2931,305
310 Ipswich,1999-08-01,0.2888,310
311 Logan - Beaudesert,1999-08-01,0.2562,311
313 Moreton Bay - North,1999-08-01,0.2985,313
314 Moreton Bay - South,1999-08-01,0.2933,314
306 Cairns,1999-08-01,0.3034,306
307 Darling Downs - Maranoa,1999-08-01,0.2598,307
308 Fitzroy,1999-08-01,0.2012,308
309 Gold Coast,1999-08-01,0.1973,309
312 Mackay,1999-08-01,0.3157,312
315 Queensland - Outback,1999-08-01,0.2448,315
316 Sunshine Coast,1999-08-01,0.1399,316
317 Toowoomba,1999-08-01,0.2619,317
318 Townsville,1999-08-01,0.2654,318
319 Wide Bay,1999-08-01,0.2282,319
401 Adelaide - Central and Hills,1999-08-01,0.2085,401
402 Adelaide - North,1999-08-01,0.2435,402
403 Adelaide - South,1999-08-01,0.2803,403
404 Adelaide - West,1999-08-01,0.2913,404
405 Barossa - Yorke - Mid North,1999-08-01,0.2728,405
406 South Australia - Outback,1999-08-01,0.1588,406
407 South Australia - South East,1999-08-01,0.1846,407
502 Mandurah,1999-08-01,0.1672,502
503 Perth - Inner,1999-08-01,0.2419,503
504 Perth - North East,1999-08-01,0.2527,504
505 Perth - North West,1999-08-01,0.2996,505
506 Perth - South East,1999-08-01,0.3112,506
507 Perth - South West,1999-08-01,0.3108,507
501 Bunbury,1999-08-01,0.2821,501
508 Western Australia - Outback,1999-08-01,0.2207,508
509 Western Australia - Wheat Belt,1999-08-01,0.2311,509
601 Hobart,1999-08-01,0.1877,601
602 Launceston and North East,1999-08-01,0.318,602
603 Tasmania - South East,1999-08-01,0.2415,603
604 Tasmania - West and North West,1999-08-01,0.1982,604
701 Darwin,1999-08-01,0.2182,701
702 Northern Territory - Outback,1999-08-01,0.2763,702
801 Australian Capital Territory,1999-08-01,0.2301,801
102 Central Coast,2000-08-01,1,102
115 Sydney - Baulkham Hills and Hawkesbury,2000-08-01,0.2794,115
116 Sydney - Blacktown,2000-08-01,0.2965,116
117 Sydney - City and Inner South,2000-08-01,0.3219,117
118 Sydney - Eastern Suburbs,2000-08-01,0.2643,118
119 Sydney - Inner South West,2000-08-01,0.2789,119
120 Sydney - Inner West,2000-08-01,0.2951,120
121 Sydney - North Sydney and Hornsby,2000-08-01,0.2898,121
122 Sydney - Northern Beaches,2000-08-01,0.2518,122
123 Sydney - Outer South West,2000-08-01,0.3192,123
124 Sydney - Outer West and Blue Mountains,2000-08-01,0.3076,124
125 Sydney - Parramatta,2000-08-01,0.3076,125
126 Sydney - Ryde,2000-08-01,0.2888,126
127 Sydney - South West,2000-08-01,0.2747,127
128 Sydney - Sutherland,2000-08-01,0.2711,128
101 Capital Region,2000-08-01,0.3227,101
103 New South Wales - Central West,2000-08-01,0.2264,103
104 Coffs Harbour - Grafton,2000-08-01,0.2439,104
105 Far West and Orana,2000-08-01,0.2459,105
106 Hunter Valley exc Newcastle,2000-08-01,0.1474,106
107 Illawarra,2000-08-01,0.2458,107
108 Mid North Coast,2000-08-01,0.2486,108
109 Murray,2000-08-01,0.2467,109
110 New England and North West,2000-08-01,0.1942,110
111 Newcastle and Lake Macquarie,2000-08-01,0.2144,111
112 Richmond - Tweed,2000-08-01,0.3097,112
113 Riverina,2000-08-01,0.2516,113
114 Southern Highlands and Shoalhaven,2000-08-01,0.2432,114
206 Melbourne - Inner,2000-08-01,0.2083,206
207 Melbourne - Inner East,2000-08-01,0.2502,207
208 Melbourne - Inner South,2000-08-01,0.2832,208
209 Melbourne - North East,2000-08-01,0.2767,209
210 Melbourne - North West,2000-08-01,0.2483,210
211 Melbourne - Outer East,2000-08-01,0.2867,211
212 Melbourne - South East,2000-08-01,0.2941,212
213 Melbourne - West,2000-08-01,0.2766,213
214 Mornington Peninsula,2000-08-01,0.2671,214
201 Ballarat,2000-08-01,0.2842,201
202 Bendigo,2000-08-01,0.2274,202
203 Geelong,2000-08-01,0.2048,203
204 Hume,2000-08-01,0.2381,204
205 Latrobe - Gippsland,2000-08-01,0.2672,205
215 Victoria - North West,2000-08-01,0.2026,215
216 Shepparton,2000-08-01,0.1882,216
217 Warrnambool and South West,2000-08-01,0.2109,217
301 Brisbane - East,2000-08-01,0.1894,301
302 Brisbane - North,2000-08-01,0.3351,302
303 Brisbane - South,2000-08-01,0.3245,303
304 Brisbane - West,2000-08-01,0.3197,304
305 Brisbane Inner City,2000-08-01,0.2853,305
310 Ipswich,2000-08-01,0.2815,310
311 Logan - Beaudesert,2000-08-01,0.2688,311
313 Moreton Bay - North,2000-08-01,0.2818,313
314 Moreton Bay - South,2000-08-01,0.3615,314
306 Cairns,2000-08-01,0.3412,306
307 Darling Downs - Maranoa,2000-08-01,0.2441,307
308 Fitzroy,2000-08-01,0.2115,308
309 Gold Coast,2000-08-01,0.2412,309
312 Mackay,2000-08-01,0.3124,312
315 Queensland - Outback,2000-08-01,0.245,315
316 Sunshine Coast,2000-08-01,0.1734,316
317 Toowoomba,2000-08-01,0.266,317
318 Townsville,2000-08-01,0.2626,318
319 Wide Bay,2000-08-01,0.2621,319
401 Adelaide - Central and Hills,2000-08-01,0.1991,401
402 Adelaide - North,2000-08-01,0.2677,402
403 Adelaide - South,2000-08-01,0.2841,403
404 Adelaide - West,2000-08-01,0.2594,404
405 Barossa - Yorke - Mid North,2000-08-01,0.2717,405
406 South Australia - Outback,2000-08-01,0.1762,406
407 South Australia - South East,2000-08-01,0.2021,407
502 Mandurah,2000-08-01,0.1742,502
503 Perth - Inner,2000-08-01,0.2398,503
504 Perth - North East,2000-08-01,0.239,504
505 Perth - North West,2000-08-01,0.2877,505
506 Perth - South East,2000-08-01,0.3318,506
507 Perth - South West,2000-08-01,0.2957,507
501 Bunbury,2000-08-01,0.2738,501
508 Western Australia - Outback,2000-08-01,0.2313,508
509 Western Australia - Wheat Belt,2000-08-01,0.216,509
601 Hobart,2000-08-01,0.1742,601
602 Launceston and North East,2000-08-01,0.2918,602
603 Tasmania - South East,2000-08-01,0.2216,603
604 Tasmania - West and North West,2000-08-01,0.1952,604
701 Darwin,2000-08-01,0.2275,701
702 Northern Territory - Outback,2000-08-01,0.2886,702
801 Australian Capital Territory,2000-08-01,0.1889,801
102 Central Coast,2001-08-01,1,102
115 Sydney - Baulkham Hills and Hawkesbury,2001-08-01,0.2947,115
116 Sydney - Blacktown,2001-08-01,0.2954,116
117 Sydney - City and Inner South,2001-08-01,0.322,117
118 Sydney - Eastern Suburbs,2001-08-01,0.2708,118
119 Sydney - Inner South West,2001-08-01,0.2612,119
120 Sydney - Inner West,2001-08-01,0.3013,120
121 Sydney - North Sydney and Hornsby,2001-08-01,0.2848,121
122 Sydney - Northern Beaches,2001-08-01,0.2673,122
123 Sydney - Outer South West,2001-08-01,0.2926,123
124 Sydney - Outer West and Blue Mountains,2001-08-01,0.3121,124
125 Sydney - Parramatta,2001-08-01,0.2732,125
126 Sydney - Ryde,2001-08-01,0.3028,126
127 Sydney - South West,2001-08-01,0.2884,127
128 Sydney - Sutherland,2001-08-01,0.3058,128
101 Capital Region,2001-08-01,0.3284,101
103 New South Wales - Central West,2001-08-01,0.2479,103
104 Coffs Harbour - Grafton,2001-08-01,0.239,104
105 Far West and Orana,2001-08-01,0.2884,105
106 Hunter Valley exc Newcastle,2001-08-01,0.1446,106
107 Illawarra,2001-08-01,0.2712,107
108 Mid North Coast,2001-08-01,0.2627,108
109 Murray,2001-08-01,0.2873,109
110 New England and North West,2001-08-01,0.2491,110
111 Newcastle and Lake Macquarie,2001-08-01,0.2067,111
112 Richmond - Tweed,2001-08-01,0.2825,112
113 Riverina,2001-08-01,0.2462,113
114 Southern Highlands and Shoalhaven,2001-08-01,0.2301,114
206 Melbourne - Inner,2001-08-01,0.2785,206
207 Melbourne - Inner East,2001-08-01,0.2308,207
208 Melbourne - Inner South,2001-08-01,0.2455,208
209 Melbourne - North East,2001-08-01,0.29,209
210 Melbourne - North West,2001-08-01,0.2846,210
211 Melbourne - Outer East,2001-08-01,0.3041,211
212 Melbourne - South East,2001-08-01,0.2983,212
213 Melbourne - West,2001-08-01,0.2791,213
214 Mornington Peninsula,2001-08-01,0.2692,214
201 Ballarat,2001-08-01,0.2537,201
202 Bendigo,2001-08-01,0.2254,202
203 Geelong,2001-08-01,0.2733,203
204 Hume,2001-08-01,0.2562,204
205 Latrobe - Gippsland,2001-08-01,0.2304,205
215 Victoria - North West,2001-08-01,0.2228,215
216 Shepparton,2001-08-01,0.2006,216
217 Warrnambool and South West,2001-08-01,0.1959,217
301 Brisbane - East,2001-08-01,0.167,301
302 Brisbane - North,2001-08-01,0.3326,302
303 Brisbane - South,2001-08-01,0.3426,303
304 Brisbane - West,2001-08-01,0.3248,304
305 Brisbane Inner City,2001-08-01,0.2918,305
310 Ipswich,2001-08-01,0.2686,310
311 Logan - Beaudesert,2001-08-01,0.251,311
313 Moreton Bay - North,2001-08-01,0.2759,313
314 Moreton Bay - South,2001-08-01,0.2973,314
306 Cairns,2001-08-01,0.3157,306
307 Darling Downs - Maranoa,2001-08-01,0.2405,307
308 Fitzroy,2001-08-01,0.1813,308
309 Gold Coast,2001-08-01,0.2176,309
312 Mackay,2001-08-01,0.3294,312
315 Queensland - Outback,2001-08-01,0.2305,315
316 Sunshine Coast,2001-08-01,0.1721,316
317 Toowoomba,2001-08-01,0.2645,317
318 Townsville,2001-08-01,0.276,318
319 Wide Bay,2001-08-01,0.2428,319
401 Adelaide - Central and Hills,2001-08-01,0.2121,401
402 Adelaide - North,2001-08-01,0.2608,402
403 Adelaide - South,2001-08-01,0.2806,403
404 Adelaide - West,2001-08-01,0.2765,404
405 Barossa - Yorke - Mid North,2001-08-01,0.2997,405
406 South Australia - Outback,2001-08-01,0.1651,406
407 South Australia - South East,2001-08-01,0.1873,407
502 Mandurah,2001-08-01,0.1976,502
503 Perth - Inner,2001-08-01,0.1932,503
504 Perth - North East,2001-08-01,0.2358,504
505 Perth - North West,2001-08-01,0.2954,505
506 Perth - South East,2001-08-01,0.3054,506
507 Perth - South West,2001-08-01,0.3073,507
501 Bunbury,2001-08-01,0.2676,501
508 Western Australia - Outback,2001-08-01,0.2426,508
509 Western Australia - Wheat Belt,2001-08-01,0.2143,509
601 Hobart,2001-08-01,0.177,601
602 Launceston and North East,2001-08-01,0.2947,602
603 Tasmania - South East,2001-08-01,0.2616,603
604 Tasmania - West and North West,2001-08-01,0.2234,604
701 Darwin,2001-08-01,0.2382,701
702 Northern Territory - Outback,2001-08-01,0.2912,702
801 Australian Capital Territory,2001-08-01,0.1569,801
102 Central Coast,2002-08-01,1,102
115 Sydney - Baulkham Hills and Hawkesbury,2002-08-01,0.2682,115
116 Sydney - Blacktown,2002-08-01,0.2862,116
117 Sydney - City and Inner South,2002-08-01,0.33,117
118 Sydney - Eastern Suburbs,2002-08-01,0.2663,118
119 Sydney - Inner South West,2002-08-01,0.248,119
120 Sydney - Inner West,2002-08-01,0.2862,120
121 Sydney - North Sydney and Hornsby,2002-08-01,0.2432,121
122 Sydney - Northern Beaches,2002-08-01,0.2546,122
123 Sydney - Outer South West,2002-08-01,0.2896,123
124 Sydney - Outer West and Blue Mountains,2002-08-01,0.293,124
125 Sydney - Parramatta,2002-08-01,0.309,125
126 Sydney - Ryde,2002-08-01,0.3064,126
127 Sydney - South West,2002-08-01,0.3105,127
128 Sydney - Sutherland,2002-08-01,0.2665,128
101 Capital Region,2002-08-01,0.3007,101
103 New South Wales - Central West,2002-08-01,0.2235,103
104 Coffs Harbour - Grafton,2002-08-01,0.2274,104
105 Far West and Orana,2002-08-01,0.2478,105
106 Hunter Valley exc Newcastle,2002-08-01,0.161,106
107 Illawarra,2002-08-01,0.2323,107
108 Mid North Coast,2002-08-01,0.2559,108
109 Murray,2002-08-01,0.2413,109
110 New England and North West,2002-08-01,0.2816,110
111 Newcastle and Lake Macquarie,2002-08-01,0.1827,111
112 Richmond - Tweed,2002-08-01,0.277,112
113 Riverina,2002-08-01,0.2752,113
114 Southern Highlands and Shoalhaven,2002-08-01,0.2184,114
206 Melbourne - Inner,2002-08-01,0.2402,206
207 Melbourne - Inner East,2002-08-01,0.2444,207
208 Melbourne - Inner South,2002-08-01,0.2666,208
209 Melbourne - North East,2002-08-01,0.2671,209
210 Melbourne - North West,2002-08-01,0.262,210
211 Melbourne - Outer East,2002-08-01,0.2949,211
212 Melbourne - South East,2002-08-01,0.2984,212
213 Melbourne - West,2002-08-01,0.2747,213
214 Mornington Peninsula,2002-08-01,0.2856,214
201 Ballarat,2002-08-01,0.2533,201
202 Bendigo,2002-08-01,0.2181,202
203 Geelong,2002-08-01,0.25,203
204 Hume,2002-08-01,0.244,204
205 Latrobe - Gippsland,2002-08-01,0.1926,205
215 Victoria - North West,2002-08-01,0.2202,215
216 Shepparton,2002-08-01,0.2355,216
217 Warrnambool and South West,2002-08-01,0.2299,217
301 Brisbane - East,2002-08-01,0.1736,301
302 Brisbane - North,2002-08-01,0.2985,302
303 Brisbane - South,2002-08-01,0.3273,303
304 Brisbane - West,2002-08-01,0.3233,304
305 Brisbane Inner City,2002-08-01,0.3122,305
310 Ipswich,2002-08-01,0.2442,310
311 Logan - Beaudesert,2002-08-01,0.2262,311
313 Moreton Bay - North,2002-08-01,0.2733,313
314 Moreton Bay - South,2002-08-01,0.2755,314
306 Cairns,2002-08-01,0.321,306
307 Darling Downs - Maranoa,2002-08-01,0.2253,307
308 Fitzroy,2002-08-01,0.1879,308
309 Gold Coast,2002-08-01,0.202,309
312 Mackay,2002-08-01,0.3007,312
315 Queensland - Outback,2002-08-01,0.2178,315
316 Sunshine Coast,2002-08-01,0.1996,316
317 Toowoomba,2002-08-01,0.2674,317
318 Townsville,2002-08-01,0.2763,318
319 Wide Bay,2002-08-01,0.2543,319
401 Adelaide - Central and Hills,2002-08-01,0.2381,401
402 Adelaide - North,2002-08-01,0.2594,402
403 Adelaide - South,2002-08-01,0.2703,403
404 Adelaide - West,2002-08-01,0.2631,404
405 Barossa - Yorke - Mid North,2002-08-01,0.2792,405
406 South Australia - Outback,2002-08-01,0.1794,406
407 South Australia - South East,2002-08-01,0.1803,407
502 Mandurah,2002-08-01,0.1749,502
503 Perth - Inner,2002-08-01,0.2489,503
504 Perth - North East,2002-08-01,0.2336,504
505 Perth - North West,2002-08-01,0.2945,505
506 Perth - South East,2002-08-01,0.3008,506
507 Perth - South West,2002-08-01,0.302,507
501 Bunbury,2002-08-01,0.2754,501
508 Western Australia - Outback,2002-08-01,0.2505,508
509 Western Australia - Wheat Belt,2002-08-01,0.2282,509
601 Hobart,2002-08-01,0.1794,601
602 Launceston and North East,2002-08-01,0.3048,602
603 Tasmania - South East,2002-08-01,0.2641,603
604 Tasmania - West and North West,2002-08-01,0.194,604
701 Darwin,2002-08-01,0.2323,701
702 Northern Territory - Outback,2002-08-01,0.279,702
801 Australian Capital Territory,2002-08-01,0.1579,801
102 Central Coast,2003-08-01,1,102
115 Sydney - Baulkham Hills and Hawkesbury,2003-08-01,0.3069,115
116 Sydney - Blacktown,2003-08-01,0.2844,116
117 Sydney - City and Inner South,2003-08-01,0.331,117
118 Sydney - Eastern Suburbs,2003-08-01,0.2784,118
119 Sydney - Inner South West,2003-08-01,0.2311,119
120 Sydney - Inner West,2003-08-01,0.3113,120
121 Sydney - North Sydney and Hornsby,2003-08-01,0.2951,121
122 Sydney - Northern Beaches,2003-08-01,0.2708,122
123 Sydney - Outer South West,2003-08-01,0.3005,123
124 Sydney - Outer West and Blue Mountains,2003-08-01,0.2952,124
125 Sydney - Parramatta,2003-08-01,0.2916,125
126 Sydney - Ryde,2003-08-01,0.3047,126
127 Sydney - South West,2003-08-01,0.2461,127
128 Sydney - Sutherland,2003-08-01,0.2919,128
101 Capital Region,2003-08-01,0.307,101
103 New South Wales - Central West,2003-08-01,0.2262,103
104 Coffs Harbour - Grafton,2003-08-01,0.2233,104
105 Far West and Orana,2003-08-01,0.3077,105
106 Hunter Valley exc Newcastle,2003-08-01,0.1969,106
107 Illawarra,2003-08-01,0.2502,107
108 Mid North Coast,2003-08-01,0.2375,108
109 Murray,2003-08-01,0.2458,109
110 New England and North West,2003-08-01,0.2664,110
111 Newcastle and Lake Macquarie,2003-08-01,0.2532,111
112 Richmond - Tweed,2003-08-01,0.2832,112
113 Riverina,2003-08-01,0.259,113
114 Southern Highlands and Shoalhaven,2003-08-01,0.2386,114
206 Melbourne - Inner,2003-08-01,0.2399,206
207 Melbourne - Inner East,2003-08-01,0.2198,207
208 Melbourne - Inner South,2003-08-01,0.2731,208
209 Melbourne - North East,2003-08-01,0.2604,209
210 Melbourne - North West,2003-08-01,0.2926,210
211 Melbourne - Outer East,2003-08-01,0.3149,211
212 Melbourne - South East,2003-08-01,0.3068,212
213 Melbourne - West,2003-08-01,0.266,213
214 Mornington Peninsula,2003-08-01,0.2746,214
201 Ballarat,2003-08-01,0.2572,201
202 Bendigo,2003-08-01,0.2439,202
203 Geelong,2003-08-01,0.2611,203
204 Hume,2003-08-01,0.2328,204
205 Latrobe - Gippsland,2003-08-01,0.2112,205
215 Victoria - North West,2003-08-01,0.2513,215
216 Shepparton,2003-08-01,0.2214,216
217 Warrnambool and South West,2003-08-01,0.2633,217
301 Brisbane - East,2003-08-01,0.1938,301
302 Brisbane - North,2003-08-01,0.2933,302
303 Brisbane - South,2003-08-01,0.3167,303
304 Brisbane - West,2003-08-01,0.3142,304
305 Brisbane Inner City,2003-08-01,0.3178,305
310 Ipswich,2003-08-01,0.2457,310
311 Logan - Beaudesert,2003-08-01,0.2457,311
313 Moreton Bay - North,2003-08-01,0.2675,313
314 Moreton Bay - South,2003-08-01,0.2901,314
306 Cairns,2003-08-01,0.3299,306
307 Darling Downs - Maranoa,2003-08-01,0.2583,307
308 Fitzroy,2003-08-01,0.1876,308
309 Gold Coast,2003-08-01,0.2178,309
312 Mackay,2003-08-01,0.3136,312
315 Queensland - Outback,2003-08-01,0.2506,315
316 Sunshine Coast,2003-08-01,0.1647,316
317 Toowoomba,2003-08-01,0.2547,317
318 Townsville,2003-08-01,0.296,318
319 Wide Bay,2003-08-01,0.2427,319
401 Adelaide - Central and Hills,2003-08-01,0.2648,401
402 Adelaide - North,2003-08-01,0.2603,402
403 Adelaide - South,2003-08-01,0.2809,403
404 Adelaide - West,2003-08-01,0.2811,404
405 Barossa - Yorke - Mid North,2003-08-01,0.2583,405
406 South Australia - Outback,2003-08-01,0.1855,406
407 South Australia - South East,2003-08-01,0.1982,407
502 Mandurah,2003-08-01,0.1802,502
503 Perth - Inner,2003-08-01,0.2297,503
504 Perth - North East,2003-08-01,0.2275,504
505 Perth - North West,2003-08-01,0.2796,505
506 Perth - South East,2003-08-01,0.2873,506
507 Perth - South West,2003-08-01,0.303,507
501 Bunbury,2003-08-01,0.2778,501
508 Western Australia - Outback,2003-08-01,0.2156,508
509 Western Australia - Wheat Belt,2003-08-01,0.2057,509
601 Hobart,2003-08-01,0.1846,601
602 Launceston and North East,2003-08-01,0.2794,602
603 Tasmania - South East,2003-08-01,0.2699,603
604 Tasmania - West and North West,2003-08-01,0.1837,604
701 Darwin,2003-08-01,0.2408,701
702 Northern Territory - Outback,2003-08-01,0.2702,702
801 Australian Capital Territory,2003-08-01,0.1849,801
102 Central Coast,2004-08-01,1,102
115 Sydney - Baulkham Hills and Hawkesbury,2004-08-01,0.3067,115
116 Sydney - Blacktown,2004-08-01,0.2955,116
117 Sydney - City and Inner South,2004-08-01,0.2777,117
118 Sydney - Eastern Suburbs,2004-08-01,0.2519,118
119 Sydney - Inner South West,2004-08-01,0.2185,119
120 Sydney - Inner West,2004-08-01,0.2743,120
121 Sydney - North Sydney and Hornsby,2004-08-01,0.2741,121
122 Sydney - Northern Beaches,2004-08-01,0.2422,122
123 Sydney - Outer South West,2004-08-01,0.261,123
124 Sydney - Outer West and Blue Mountains,2004-08-01,0.2955,124
125 Sydney - Parramatta,2004-08-01,0.285,125
126 Sydney - Ryde,2004-08-01,0.2691,126
127 Sydney - South West,2004-08-01,0.2462,127
128 Sydney - Sutherland,2004-08-01,0.3002,128
101 Capital Region,2004-08-01,0.3077,101
103 New South Wales - Central West,2004-08-01,0.2465,103
104 Coffs Harbour - Grafton,2004-08-01,0.1959,104
105 Far West and Orana,2004-08-01,0.2952,105
106 Hunter Valley exc Newcastle,2004-08-01,0.2104,106
107 Illawarra,2004-08-01,0.2504,107
108 Mid North Coast,2004-08-01,0.2359,108
109 Murray,2004-08-01,0.2311,109
110 New England and North West,2004-08-01,0.2203,110
111 Newcastle and Lake Macquarie,2004-08-01,0.2248,111
112 Richmond - Tweed,2004-08-01,0.2683,112
113 Riverina,2004-08-01,0.2258,113
114 Southern Highlands and Shoalhaven,2004-08-01,0.1848,114
206 Melbourne - Inner,2004-08-01,0.2592,206
207 Melbourne - Inner East,2004-08-01,0.2232,207
208 Melbourne - Inner South,2004-08-01,0.272,208
209 Melbourne - North East,2004-08-01,0.251,209
210 Melbourne - North West,2004-08-01,0.2872,210
211 Melbourne - Outer East,2004-08-01,0.2807,211
212 Melbourne - South East,2004-08-01,0.2721,212
213 Melbourne - West,2004-08-01,0.2773,213
214 Mornington Peninsula,2004-08-01,0.2825,214
201 Ballarat,2004-08-01,0.289,201
202 Bendigo,2004-08-01,0.1983,202
203 Geelong,2004-08-01,0.2779,203
204 Hume,2004-08-01,0.2114,204
205 Latrobe - Gippsland,2004-08-01,0.1869,205
215 Victoria - North West,2004-08-01,0.2404,215
216 Shepparton,2004-08-01,0.1925,216
217 Warrnambool and South West,2004-08-01,0.2363,217
301 Brisbane - East,2004-08-01,0.21,301
302 Brisbane - North,2004-08-01,0.3107,302
303 Brisbane - South,2004-08-01,0.3314,303
304 Brisbane - West,2004-08-01,0.294,304
305 Brisbane Inner City,2004-08-01,0.2771,305
310 Ipswich,2004-08-01,0.2704,310
311 Logan - Beaudesert,2004-08-01,0.2662,311
313 Moreton Bay - North,2004-08-01,0.2788,313
314 Moreton Bay - South,2004-08-01,0.2582,314
306 Cairns,2004-08-01,0.2995,306
307 Darling Downs - Maranoa,2004-08-01,0.2588,307
308 Fitzroy,2004-08-01,0.1527,308
309 Gold Coast,2004-08-01,0.2474,309
312 Mackay,2004-08-01,0.3065,312
315 Queensland - Outback,2004-08-01,0.2328,315
316 Sunshine Coast,2004-08-01,0.1578,316
317 Toowoomba,2004-08-01,0.2882,317
318 Townsville,2004-08-01,0.2949,318
319 Wide Bay,2004-08-01,0.2785,319
401 Adelaide - Central and Hills,2004-08-01,0.2304,401
402 Adelaide - North,2004-08-01,0.262,402
403 Adelaide - South,2004-08-01,0.2707,403
404 Adelaide - West,2004-08-01,0.2716,404
405 Barossa - Yorke - Mid North,2004-08-01,0.3096,405
406 South Australia - Outback,2004-08-01,0.199,406
407 South Australia - South East,2004-08-01,0.2011,407
502 Mandurah,2004-08-01,0.1644,502
503 Perth - Inner,2004-08-01,0.2068,503
504 Perth - North East,2004-08-01,0.2494,504
505 Perth - North West,2004-08-01,0.289,505
506 Perth - South East,2004-08-01,0.2807,506
507 Perth - South West,2004-08-01,0.2676,507
501 Bunbury,2004-08-01,0.2791,501
508 Western Australia - Outback,2004-08-01,0.1861,508
509 Western Australia - Wheat Belt,2004-08-01,0.2065,509
601 Hobart,2004-08-01,0.1697,601
602 Launceston and North East,2004-08-01,0.2675,602
603 Tasmania - South East,2004-08-01,0.2523,603
604 Tasmania - West and North West,2004-08-01,0.1694,604
701 Darwin,2004-08-01,0.2145,701
702 Northern Territory - Outback,2004-08-01,0.2629,702
801 Australian Capital Territory,2004-08-01,0.2017,801
102 Central Coast,2005-08-01,1,102
115 Sydney - Baulkham Hills and Hawkesbury,2005-08-01,0.2835,115
116 Sydney - Blacktown,2005-08-01,0.2976,116
117 Sydney - City and Inner South,2005-08-01,0.293,117
118 Sydney - Eastern Suburbs,2005-08-01,0.2798,118
119 Sydney - Inner South West,2005-08-01,0.2218,119
120 Sydney - Inner West,2005-08-01,0.3097,120
121 Sydney - North Sydney and Hornsby,2005-08-01,0.2398,121
122 Sydney - Northern Beaches,2005-08-01,0.2712,122
123 Sydney - Outer South West,2005-08-01,0.2408,123
124 Sydney - Outer West and Blue Mountains,2005-08-01,0.2804,124
125 Sydney - Parramatta,2005-08-01,0.2794,125
126 Sydney - Ryde,2005-08-01,0.2802,126
127 Sydney - South West,2005-08-01,0.2806,127
128 Sydney - Sutherland,2005-08-01,0.2639,128
101 Capital Region,2005-08-01,0.3051,101
103 New South Wales - Central West,2005-08-01,0.256,103
104 Coffs Harbour - Grafton,2005-08-01,0.2623,104
105 Far West and Orana,2005-08-01,0.2958,105
106 Hunter Valley exc Newcastle,2005-08-01,0.1997,106
107 Illawarra,2005-08-01,0.2673,107
108 Mid North Coast,2005-08-01,0.224,108
109 Murray,2005-08-01,0.2447,109
110 New England and North West,2005-08-01,0.2248,110
111 Newcastle and Lake Macquarie,2005-08-01,0.235,111
112 Richmond - Tweed,2005-08-01,0.2528,112
113 Riverina,2005-08-01,0.244,113
114 Southern Highlands and Shoalhaven,2005-08-01,0.1989,114
206 Melbourne - Inner,2005-08-01,0.2583,206
207 Melbourne - Inner East,2005-08-01,0.2279,207
208 Melbourne - Inner South,2005-08-01,0.2635,208
