Labour market region (SA4): ASGS (2011),Date,Percent of Total Workers,sa4_code_2011
204 Hume,1/8/13,30.28,204
205 Latrobe - Gippsland,1/8/13,29.03,205
215 Victoria - North West,1/8/13,31.16,215
216 Shepparton,1/8/13,29.81,216
217 Warrnambool and South West,1/8/13,36.01,217
301 Brisbane - East,1/8/13,30.84,301
302 Brisbane - North,1/8/13,34.94,302
303 Brisbane - South,1/8/13,38.64,303
304 Brisbane - West,1/8/13,51.54,304
305 Brisbane Inner City,1/8/13,52.85,305
310 Ipswich,1/8/13,25.69,310
311 Logan - Beaudesert,1/8/13,21.26,311
313 Moreton Bay - North,1/8/13,21.28,313
314 Moreton Bay - South,1/8/13,32.35,314
306 Cairns,1/8/13,27.13,306
307 Darling Downs - Maranoa,1/8/13,31.42,307
308 Fitzroy,1/8/13,22.18,308
309 Gold Coast,1/8/13,30.69,309
312 Mackay,1/8/13,24.29,312
315 Queensland - Outback,1/8/13,26.85,315
316 Sunshine Coast,1/8/13,31.84,316
317 Toowoomba,1/8/13,30.56,317
318 Townsville,1/8/13,26.53,318
319 Wide Bay,1/8/13,25.49,319
401 Adelaide - Central and Hills,1/8/13,48.95,401
402 Adelaide - North,1/8/13,27.18,402
403 Adelaide - South,1/8/13,32.85,403
404 Adelaide - West,1/8/13,27.68,404
405 Barossa - Yorke - Mid North,1/8/13,33.45,405
406 South Australia - Outback,1/8/13,32.11,406
407 South Australia - South East,1/8/13,26.89,407
502 Mandurah,1/8/13,27.29,502
503 Perth - Inner,1/8/13,55.49,503
504 Perth - North East,1/8/13,28.09,504
505 Perth - North West,1/8/13,32.51,505
506 Perth - South East,1/8/13,31.06,506
507 Perth - South West,1/8/13,31.02,507
501 Bunbury,1/8/13,24.05,501
508 Western Australia - Outback,1/8/13,26.94,508
509 Western Australia - Wheat Belt,1/8/13,35.75,509
601 Hobart,1/8/13,34.49,601
602 Launceston and North East,1/8/13,32.3,602
603 Tasmania - South East,1/8/13,25.1,603
604 Tasmania - West and North West,1/8/13,28.76,604
701 Darwin,1/8/13,32.31,701
702 Northern Territory - Outback,1/8/13,32.52,702
801 Australian Capital Territory,1/8/13,48.18,801
102 Central Coast,1/8/14,30.61,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/14,43.56,115
116 Sydney - Blacktown,1/8/14,26.18,116
117 Sydney - City and Inner South,1/8/14,54.65,117
118 Sydney - Eastern Suburbs,1/8/14,55.4,118
119 Sydney - Inner South West,1/8/14,35.86,119
120 Sydney - Inner West,1/8/14,50.65,120
121 Sydney - North Sydney and Hornsby,1/8/14,57.18,121
122 Sydney - Northern Beaches,1/8/14,52.12,122
123 Sydney - Outer South West,1/8/14,24.9,123
124 Sydney - Outer West and Blue Mountains,1/8/14,28.92,124
125 Sydney - Parramatta,1/8/14,37.6,125
126 Sydney - Ryde,1/8/14,48.91,126
127 Sydney - South West,1/8/14,25.18,127
128 Sydney - Sutherland,1/8/14,38.38,128
101 Capital Region,1/8/14,27.15,101
103 New South Wales - Central West,1/8/14,33.42,103
104 Coffs Harbour - Grafton,1/8/14,32.4,104
105 Far West and Orana,1/8/14,34.54,105
106 Hunter Valley exc Newcastle,1/8/14,23.11,106
107 Illawarra,1/8/14,33.29,107
108 Mid North Coast,1/8/14,30.82,108
109 Murray,1/8/14,28.18,109
110 New England and North West,1/8/14,22.43,110
111 Newcastle and Lake Macquarie,1/8/14,31.24,111
112 Richmond - Tweed,1/8/14,30.17,112
113 Riverina,1/8/14,37.03,113
114 Southern Highlands and Shoalhaven,1/8/14,27.44,114
206 Melbourne - Inner,1/8/14,56.78,206
207 Melbourne - Inner East,1/8/14,52.5,207
208 Melbourne - Inner South,1/8/14,47.58,208
209 Melbourne - North East,1/8/14,33.11,209
210 Melbourne - North West,1/8/14,31.3,210
211 Melbourne - Outer East,1/8/14,34.5,211
212 Melbourne - South East,1/8/14,29.51,212
213 Melbourne - West,1/8/14,29.25,213
214 Mornington Peninsula,1/8/14,33.33,214
201 Ballarat,1/8/14,37.52,201
202 Bendigo,1/8/14,29.32,202
203 Geelong,1/8/14,34.84,203
204 Hume,1/8/14,37.85,204
205 Latrobe - Gippsland,1/8/14,32.64,205
215 Victoria - North West,1/8/14,27.08,215
216 Shepparton,1/8/14,38.57,216
217 Warrnambool and South West,1/8/14,41.06,217
301 Brisbane - East,1/8/14,29.23,301
302 Brisbane - North,1/8/14,36.86,302
303 Brisbane - South,1/8/14,37.73,303
304 Brisbane - West,1/8/14,54.07,304
305 Brisbane Inner City,1/8/14,53.1,305
310 Ipswich,1/8/14,25.01,310
311 Logan - Beaudesert,1/8/14,22.55,311
313 Moreton Bay - North,1/8/14,22.14,313
314 Moreton Bay - South,1/8/14,31.51,314
306 Cairns,1/8/14,23.26,306
307 Darling Downs - Maranoa,1/8/14,26.04,307
308 Fitzroy,1/8/14,30.09,308
309 Gold Coast,1/8/14,29.33,309
312 Mackay,1/8/14,19.73,312
315 Queensland - Outback,1/8/14,32.02,315
316 Sunshine Coast,1/8/14,28.6,316
317 Toowoomba,1/8/14,29.02,317
318 Townsville,1/8/14,23.11,318
319 Wide Bay,1/8/14,31.66,319
401 Adelaide - Central and Hills,1/8/14,49.43,401
402 Adelaide - North,1/8/14,26.47,402
403 Adelaide - South,1/8/14,31.73,403
404 Adelaide - West,1/8/14,30.88,404
405 Barossa - Yorke - Mid North,1/8/14,32.14,405
406 South Australia - Outback,1/8/14,28.53,406
407 South Australia - South East,1/8/14,27.77,407
502 Mandurah,1/8/14,24.46,502
503 Perth - Inner,1/8/14,55.08,503
504 Perth - North East,1/8/14,29.6,504
505 Perth - North West,1/8/14,33.46,505
506 Perth - South East,1/8/14,31.66,506
507 Perth - South West,1/8/14,32.86,507
501 Bunbury,1/8/14,29.45,501
508 Western Australia - Outback,1/8/14,22.69,508
509 Western Australia - Wheat Belt,1/8/14,30.87,509
601 Hobart,1/8/14,33.64,601
602 Launceston and North East,1/8/14,30.92,602
603 Tasmania - South East,1/8/14,30.41,603
604 Tasmania - West and North West,1/8/14,24.93,604
701 Darwin,1/8/14,32.23,701
702 Northern Territory - Outback,1/8/14,33.6,702
801 Australian Capital Territory,1/8/14,46.73,801
102 Central Coast,1/8/15,30.21,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/15,41.73,115
116 Sydney - Blacktown,1/8/15,27.51,116
117 Sydney - City and Inner South,1/8/15,54.71,117
118 Sydney - Eastern Suburbs,1/8/15,58.2,118
119 Sydney - Inner South West,1/8/15,33.11,119
120 Sydney - Inner West,1/8/15,51.13,120
121 Sydney - North Sydney and Hornsby,1/8/15,60.16,121
122 Sydney - Northern Beaches,1/8/15,47.87,122
123 Sydney - Outer South West,1/8/15,28.13,123
124 Sydney - Outer West and Blue Mountains,1/8/15,32.17,124
125 Sydney - Parramatta,1/8/15,33.74,125
126 Sydney - Ryde,1/8/15,52.57,126
127 Sydney - South West,1/8/15,24,127
128 Sydney - Sutherland,1/8/15,36.08,128
101 Capital Region,1/8/15,33.86,101
103 New South Wales - Central West,1/8/15,30.8,103
104 Coffs Harbour - Grafton,1/8/15,26.18,104
105 Far West and Orana,1/8/15,31.75,105
106 Hunter Valley exc Newcastle,1/8/15,24.63,106
107 Illawarra,1/8/15,31.3,107
108 Mid North Coast,1/8/15,28.88,108
109 Murray,1/8/15,25.9,109
110 New England and North West,1/8/15,22.77,110
111 Newcastle and Lake Macquarie,1/8/15,34.94,111
112 Richmond - Tweed,1/8/15,32.6,112
113 Riverina,1/8/15,38.58,113
114 Southern Highlands and Shoalhaven,1/8/15,25.74,114
206 Melbourne - Inner,1/8/15,57.21,206
207 Melbourne - Inner East,1/8/15,53.95,207
208 Melbourne - Inner South,1/8/15,49.58,208
209 Melbourne - North East,1/8/15,33.67,209
210 Melbourne - North West,1/8/15,32.3,210
211 Melbourne - Outer East,1/8/15,34.64,211
212 Melbourne - South East,1/8/15,29.14,212
213 Melbourne - West,1/8/15,32.38,213
214 Mornington Peninsula,1/8/15,28.15,214
201 Ballarat,1/8/15,39.72,201
202 Bendigo,1/8/15,35.92,202
203 Geelong,1/8/15,33.63,203
204 Hume,1/8/15,31.84,204
205 Latrobe - Gippsland,1/8/15,32.54,205
215 Victoria - North West,1/8/15,33.59,215
216 Shepparton,1/8/15,36.01,216
217 Warrnambool and South West,1/8/15,32,217
301 Brisbane - East,1/8/15,32.95,301
302 Brisbane - North,1/8/15,39.94,302
303 Brisbane - South,1/8/15,40.09,303
304 Brisbane - West,1/8/15,49.69,304
305 Brisbane Inner City,1/8/15,51.15,305
310 Ipswich,1/8/15,25.73,310
311 Logan - Beaudesert,1/8/15,22.89,311
313 Moreton Bay - North,1/8/15,21.98,313
314 Moreton Bay - South,1/8/15,31.2,314
306 Cairns,1/8/15,33.11,306
307 Darling Downs - Maranoa,1/8/15,22.9,307
308 Fitzroy,1/8/15,32.28,308
309 Gold Coast,1/8/15,31.68,309
312 Mackay,1/8/15,22.07,312
315 Queensland - Outback,1/8/15,28.66,315
316 Sunshine Coast,1/8/15,30.83,316
317 Toowoomba,1/8/15,29.7,317
318 Townsville,1/8/15,24.97,318
319 Wide Bay,1/8/15,30.09,319
401 Adelaide - Central and Hills,1/8/15,48.21,401
402 Adelaide - North,1/8/15,25.09,402
403 Adelaide - South,1/8/15,34.98,403
404 Adelaide - West,1/8/15,33.06,404
405 Barossa - Yorke - Mid North,1/8/15,34.96,405
406 South Australia - Outback,1/8/15,40.26,406
407 South Australia - South East,1/8/15,31.29,407
502 Mandurah,1/8/15,25.98,502
503 Perth - Inner,1/8/15,55.93,503
504 Perth - North East,1/8/15,30.05,504
505 Perth - North West,1/8/15,34.54,505
506 Perth - South East,1/8/15,31.33,506
507 Perth - South West,1/8/15,32.29,507
501 Bunbury,1/8/15,31.15,501
508 Western Australia - Outback,1/8/15,22.16,508
509 Western Australia - Wheat Belt,1/8/15,30.24,509
601 Hobart,1/8/15,33.73,601
602 Launceston and North East,1/8/15,30.45,602
603 Tasmania - South East,1/8/15,30,603
604 Tasmania - West and North West,1/8/15,24.75,604
701 Darwin,1/8/15,31.25,701
702 Northern Territory - Outback,1/8/15,32.91,702
801 Australian Capital Territory,1/8/15,46.61,801
102 Central Coast,1/8/16,33.67,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/16,48.79,115
116 Sydney - Blacktown,1/8/16,30.92,116
117 Sydney - City and Inner South,1/8/16,57.27,117
118 Sydney - Eastern Suburbs,1/8/16,58.71,118
119 Sydney - Inner South West,1/8/16,33.97,119
120 Sydney - Inner West,1/8/16,50.77,120
121 Sydney - North Sydney and Hornsby,1/8/16,62.22,121
122 Sydney - Northern Beaches,1/8/16,48.87,122
123 Sydney - Outer South West,1/8/16,26.94,123
124 Sydney - Outer West and Blue Mountains,1/8/16,29.67,124
125 Sydney - Parramatta,1/8/16,36.29,125
126 Sydney - Ryde,1/8/16,52.76,126
127 Sydney - South West,1/8/16,26.6,127
128 Sydney - Sutherland,1/8/16,40.77,128
101 Capital Region,1/8/16,30.05,101
103 New South Wales - Central West,1/8/16,28.58,103
104 Coffs Harbour - Grafton,1/8/16,23.6,104
105 Far West and Orana,1/8/16,29.58,105
106 Hunter Valley exc Newcastle,1/8/16,23.63,106
107 Illawarra,1/8/16,35.4,107
108 Mid North Coast,1/8/16,35.09,108
109 Murray,1/8/16,24.04,109
110 New England and North West,1/8/16,30.37,110
111 Newcastle and Lake Macquarie,1/8/16,31.19,111
112 Richmond - Tweed,1/8/16,29.62,112
113 Riverina,1/8/16,39.32,113
114 Southern Highlands and Shoalhaven,1/8/16,23.52,114
206 Melbourne - Inner,1/8/16,55.62,206
207 Melbourne - Inner East,1/8/16,52.72,207
208 Melbourne - Inner South,1/8/16,52.28,208
209 Melbourne - North East,1/8/16,34.38,209
210 Melbourne - North West,1/8/16,24.63,210
211 Melbourne - Outer East,1/8/16,34.13,211
212 Melbourne - South East,1/8/16,28.19,212
213 Melbourne - West,1/8/16,29.83,213
214 Mornington Peninsula,1/8/16,30.78,214
201 Ballarat,1/8/16,35.32,201
202 Bendigo,1/8/16,28.91,202
203 Geelong,1/8/16,32.6,203
204 Hume,1/8/16,31.99,204
205 Latrobe - Gippsland,1/8/16,27.01,205
215 Victoria - North West,1/8/16,34.81,215
216 Shepparton,1/8/16,36.12,216
217 Warrnambool and South West,1/8/16,42.23,217
301 Brisbane - East,1/8/16,31.03,301
302 Brisbane - North,1/8/16,41.61,302
303 Brisbane - South,1/8/16,41.72,303
304 Brisbane - West,1/8/16,46.94,304
305 Brisbane Inner City,1/8/16,50.44,305
310 Ipswich,1/8/16,26.36,310
311 Logan - Beaudesert,1/8/16,25.08,311
313 Moreton Bay - North,1/8/16,21.42,313
314 Moreton Bay - South,1/8/16,29.02,314
306 Cairns,1/8/16,30.28,306
307 Darling Downs - Maranoa,1/8/16,24.04,307
308 Fitzroy,1/8/16,31.35,308
309 Gold Coast,1/8/16,30.59,309
312 Mackay,1/8/16,26.42,312
315 Queensland - Outback,1/8/16,25.67,315
316 Sunshine Coast,1/8/16,32.96,316
317 Toowoomba,1/8/16,31.05,317
318 Townsville,1/8/16,29.9,318
319 Wide Bay,1/8/16,29.23,319
401 Adelaide - Central and Hills,1/8/16,49.15,401
402 Adelaide - North,1/8/16,26.13,402
403 Adelaide - South,1/8/16,31.62,403
404 Adelaide - West,1/8/16,35.71,404
405 Barossa - Yorke - Mid North,1/8/16,32.8,405
406 South Australia - Outback,1/8/16,24.36,406
407 South Australia - South East,1/8/16,27.57,407
502 Mandurah,1/8/16,22.05,502
503 Perth - Inner,1/8/16,57.74,503
504 Perth - North East,1/8/16,29.24,504
505 Perth - North West,1/8/16,35.98,505
506 Perth - South East,1/8/16,29.39,506
507 Perth - South West,1/8/16,33.05,507
501 Bunbury,1/8/16,26.55,501
508 Western Australia - Outback,1/8/16,23.42,508
509 Western Australia - Wheat Belt,1/8/16,31.97,509
601 Hobart,1/8/16,33.64,601
602 Launceston and North East,1/8/16,30.02,602
603 Tasmania - South East,1/8/16,31.22,603
604 Tasmania - West and North West,1/8/16,26.16,604
701 Darwin,1/8/16,30.91,701
702 Northern Territory - Outback,1/8/16,33.71,702
801 Australian Capital Territory,1/8/16,46.43,801
102 Central Coast,1/2/00,24.35,102
115 Sydney - Baulkham Hills and Hawkesbury,1/2/00,42.48,115
116 Sydney - Blacktown,1/2/00,17.94,116
117 Sydney - City and Inner South,1/2/00,39.31,117
118 Sydney - Eastern Suburbs,1/2/00,44.4,118
119 Sydney - Inner South West,1/2/00,24.47,119
120 Sydney - Inner West,1/2/00,41.36,120
121 Sydney - North Sydney and Hornsby,1/2/00,53.63,121
122 Sydney - Northern Beaches,1/2/00,39.26,122
123 Sydney - Outer South West,1/2/00,22.28,123
124 Sydney - Outer West and Blue Mountains,1/2/00,23.38,124
125 Sydney - Parramatta,1/2/00,30.18,125
126 Sydney - Ryde,1/2/00,41.61,126
127 Sydney - South West,1/2/00,17.35,127
128 Sydney - Sutherland,1/2/00,28.65,128
101 Capital Region,1/2/00,35.39,101
103 New South Wales - Central West,1/2/00,31.18,103
104 Coffs Harbour - Grafton,1/2/00,32.35,104
105 Far West and Orana,1/2/00,42.71,105
106 Hunter Valley exc Newcastle,1/2/00,21.13,106
107 Illawarra,1/2/00,30.39,107
108 Mid North Coast,1/2/00,28.84,108
109 Murray,1/2/00,28.29,109
110 New England and North West,1/2/00,38.05,110
111 Newcastle and Lake Macquarie,1/2/00,25.45,111
112 Richmond - Tweed,1/2/00,30.13,112
113 Riverina,1/2/00,29.89,113
114 Southern Highlands and Shoalhaven,1/2/00,32.44,114
206 Melbourne - Inner,1/2/00,46.25,206
207 Melbourne - Inner East,1/2/00,45.4,207
208 Melbourne - Inner South,1/2/00,41.8,208
209 Melbourne - North East,1/2/00,29.01,209
210 Melbourne - North West,1/2/00,23.32,210
211 Melbourne - Outer East,1/2/00,27.87,211
212 Melbourne - South East,1/2/00,22.92,212
213 Melbourne - West,1/2/00,21.51,213
214 Mornington Peninsula,1/2/00,22.03,214
201 Ballarat,1/2/00,28.1,201
202 Bendigo,1/2/00,33.51,202
203 Geelong,1/2/00,26.61,203
204 Hume,1/2/00,29.92,204
205 Latrobe - Gippsland,1/2/00,30.39,205
215 Victoria - North West,1/2/00,38.1,215
216 Shepparton,1/2/00,30.75,216
217 Warrnambool and South West,1/2/00,33.12,217
301 Brisbane - East,1/2/00,24.5,301
302 Brisbane - North,1/2/00,23.53,302
303 Brisbane - South,1/2/00,27.26,303
304 Brisbane - West,1/2/00,42.8,304
305 Brisbane Inner City,1/2/00,42.13,305
310 Ipswich,1/2/00,18.99,310
311 Logan - Beaudesert,1/2/00,14.61,311
313 Moreton Bay - North,1/2/00,18.53,313
314 Moreton Bay - South,1/2/00,28.44,314
306 Cairns,1/2/00,26.07,306
307 Darling Downs - Maranoa,1/2/00,34.95,307
308 Fitzroy,1/2/00,27.91,308
309 Gold Coast,1/2/00,21.5,309
312 Mackay,1/2/00,22.64,312
315 Queensland - Outback,1/2/00,36.47,315
316 Sunshine Coast,1/2/00,23.26,316
317 Toowoomba,1/2/00,25.16,317
318 Townsville,1/2/00,28.72,318
319 Wide Bay,1/2/00,27.56,319
401 Adelaide - Central and Hills,1/2/00,41.23,401
402 Adelaide - North,1/2/00,19.31,402
403 Adelaide - South,1/2/00,27.68,403
404 Adelaide - West,1/2/00,26.13,404
405 Barossa - Yorke - Mid North,1/2/00,38.6,405
406 South Australia - Outback,1/2/00,26.25,406
407 South Australia - South East,1/2/00,31.82,407
502 Mandurah,1/2/00,18.27,502
503 Perth - Inner,1/2/00,46.89,503
504 Perth - North East,1/2/00,24.16,504
505 Perth - North West,1/2/00,26.19,505
506 Perth - South East,1/2/00,24.36,506
507 Perth - South West,1/2/00,28.49,507
501 Bunbury,1/2/00,27.02,501
508 Western Australia - Outback,1/2/00,27.19,508
509 Western Australia - Wheat Belt,1/2/00,37.92,509
601 Hobart,1/2/00,27.95,601
602 Launceston and North East,1/2/00,27.78,602
603 Tasmania - South East,1/2/00,29.5,603
604 Tasmania - West and North West,1/2/00,25.44,604
701 Darwin,1/2/00,30.57,701
702 Northern Territory - Outback,1/2/00,26.3,702
801 Australian Capital Territory,1/2/00,40.28,801
102 Central Coast,1/2/01,26.8,102
115 Sydney - Baulkham Hills and Hawkesbury,1/2/01,39.72,115
116 Sydney - Blacktown,1/2/01,18.91,116
117 Sydney - City and Inner South,1/2/01,38.76,117
118 Sydney - Eastern Suburbs,1/2/01,48.17,118
119 Sydney - Inner South West,1/2/01,25.51,119
120 Sydney - Inner West,1/2/01,42.01,120
121 Sydney - North Sydney and Hornsby,1/2/01,52.69,121
122 Sydney - Northern Beaches,1/2/01,39.68,122
123 Sydney - Outer South West,1/2/01,20.1,123
124 Sydney - Outer West and Blue Mountains,1/2/01,23.63,124
125 Sydney - Parramatta,1/2/01,25.99,125
126 Sydney - Ryde,1/2/01,43.46,126
127 Sydney - South West,1/2/01,17.09,127
128 Sydney - Sutherland,1/2/01,33.35,128
101 Capital Region,1/2/01,31.08,101
103 New South Wales - Central West,1/2/01,25.88,103
104 Coffs Harbour - Grafton,1/2/01,28.57,104
105 Far West and Orana,1/2/01,45.62,105
106 Hunter Valley exc Newcastle,1/2/01,23.87,106
107 Illawarra,1/2/01,25.67,107
108 Mid North Coast,1/2/01,24.42,108
109 Murray,1/2/01,25.87,109
110 New England and North West,1/2/01,36.4,110
111 Newcastle and Lake Macquarie,1/2/01,25.96,111
112 Richmond - Tweed,1/2/01,32.76,112
113 Riverina,1/2/01,31.41,113
114 Southern Highlands and Shoalhaven,1/2/01,29,114
206 Melbourne - Inner,1/2/01,48.71,206
207 Melbourne - Inner East,1/2/01,45.8,207
208 Melbourne - Inner South,1/2/01,44.83,208
209 Melbourne - North East,1/2/01,26.9,209
210 Melbourne - North West,1/2/01,27,210
211 Melbourne - Outer East,1/2/01,29.15,211
212 Melbourne - South East,1/2/01,23.98,212
213 Melbourne - West,1/2/01,22.67,213
214 Mornington Peninsula,1/2/01,24.95,214
201 Ballarat,1/2/01,34.83,201
202 Bendigo,1/2/01,29.9,202
203 Geelong,1/2/01,26.59,203
204 Hume,1/2/01,27.65,204
205 Latrobe - Gippsland,1/2/01,33.53,205
215 Victoria - North West,1/2/01,38.44,215
216 Shepparton,1/2/01,30.63,216
217 Warrnambool and South West,1/2/01,35.24,217
301 Brisbane - East,1/2/01,25.21,301
302 Brisbane - North,1/2/01,24.39,302
303 Brisbane - South,1/2/01,32.07,303
304 Brisbane - West,1/2/01,42.51,304
305 Brisbane Inner City,1/2/01,41.17,305
310 Ipswich,1/2/01,18.5,310
311 Logan - Beaudesert,1/2/01,17.16,311
313 Moreton Bay - North,1/2/01,16.99,313
314 Moreton Bay - South,1/2/01,27.46,314
306 Cairns,1/2/01,27.42,306
307 Darling Downs - Maranoa,1/2/01,37.42,307
308 Fitzroy,1/2/01,27.07,308
309 Gold Coast,1/2/01,23.04,309
312 Mackay,1/2/01,25.91,312
315 Queensland - Outback,1/2/01,26.76,315
316 Sunshine Coast,1/2/01,25.39,316
317 Toowoomba,1/2/01,27.21,317
318 Townsville,1/2/01,30.88,318
319 Wide Bay,1/2/01,31.49,319
401 Adelaide - Central and Hills,1/2/01,41.19,401
402 Adelaide - North,1/2/01,19.8,402
403 Adelaide - South,1/2/01,28.96,403
404 Adelaide - West,1/2/01,26.49,404
405 Barossa - Yorke - Mid North,1/2/01,33.58,405
406 South Australia - Outback,1/2/01,28.95,406
407 South Australia - South East,1/2/01,29.88,407
502 Mandurah,1/2/01,22.8,502
503 Perth - Inner,1/2/01,48.19,503
504 Perth - North East,1/2/01,22.94,504
505 Perth - North West,1/2/01,26.14,505
506 Perth - South East,1/2/01,25.57,506
507 Perth - South West,1/2/01,28.85,507
501 Bunbury,1/2/01,21.98,501
508 Western Australia - Outback,1/2/01,25.85,508
509 Western Australia - Wheat Belt,1/2/01,35.29,509
601 Hobart,1/2/01,28.78,601
602 Launceston and North East,1/2/01,27.78,602
603 Tasmania - South East,1/2/01,29.56,603
604 Tasmania - West and North West,1/2/01,25.03,604
701 Darwin,1/2/01,29.55,701
702 Northern Territory - Outback,1/2/01,27.63,702
801 Australian Capital Territory,1/2/01,41.44,801
102 Central Coast,1/2/02,24.71,102
115 Sydney - Baulkham Hills and Hawkesbury,1/2/02,42.74,115
116 Sydney - Blacktown,1/2/02,19.5,116
117 Sydney - City and Inner South,1/2/02,41.71,117
118 Sydney - Eastern Suburbs,1/2/02,48.72,118
119 Sydney - Inner South West,1/2/02,27.1,119
120 Sydney - Inner West,1/2/02,45.68,120
121 Sydney - North Sydney and Hornsby,1/2/02,55.57,121
122 Sydney - Northern Beaches,1/2/02,37.8,122
123 Sydney - Outer South West,1/2/02,22.41,123
124 Sydney - Outer West and Blue Mountains,1/2/02,25.27,124
125 Sydney - Parramatta,1/2/02,27.6,125
126 Sydney - Ryde,1/2/02,42.16,126
127 Sydney - South West,1/2/02,19.34,127
128 Sydney - Sutherland,1/2/02,32.91,128
101 Capital Region,1/2/02,31.47,101
103 New South Wales - Central West,1/2/02,32.45,103
104 Coffs Harbour - Grafton,1/2/02,39.34,104
105 Far West and Orana,1/2/02,44.86,105
106 Hunter Valley exc Newcastle,1/2/02,23.8,106
107 Illawarra,1/2/02,30.91,107
108 Mid North Coast,1/2/02,22.89,108
109 Murray,1/2/02,20.12,109
110 New England and North West,1/2/02,34.77,110
111 Newcastle and Lake Macquarie,1/2/02,26.14,111
112 Richmond - Tweed,1/2/02,29.75,112
113 Riverina,1/2/02,29.95,113
114 Southern Highlands and Shoalhaven,1/2/02,27.44,114
206 Melbourne - Inner,1/2/02,51.52,206
207 Melbourne - Inner East,1/2/02,50.74,207
208 Melbourne - Inner South,1/2/02,45.26,208
209 Melbourne - North East,1/2/02,28.6,209
210 Melbourne - North West,1/2/02,23.1,210
211 Melbourne - Outer East,1/2/02,29.33,211
212 Melbourne - South East,1/2/02,24.83,212
213 Melbourne - West,1/2/02,23.46,213
214 Mornington Peninsula,1/2/02,28.14,214
201 Ballarat,1/2/02,31.85,201
202 Bendigo,1/2/02,29.57,202
203 Geelong,1/2/02,31.87,203
204 Hume,1/2/02,29.09,204
205 Latrobe - Gippsland,1/2/02,35.06,205
215 Victoria - North West,1/2/02,37.94,215
216 Shepparton,1/2/02,34.05,216
217 Warrnambool and South West,1/2/02,37.42,217
301 Brisbane - East,1/2/02,28.08,301
302 Brisbane - North,1/2/02,26.29,302
303 Brisbane - South,1/2/02,30.73,303
304 Brisbane - West,1/2/02,40.8,304
305 Brisbane Inner City,1/2/02,43.28,305
310 Ipswich,1/2/02,22.81,310
311 Logan - Beaudesert,1/2/02,16.35,311
313 Moreton Bay - North,1/2/02,19.26,313
314 Moreton Bay - South,1/2/02,26.94,314
306 Cairns,1/2/02,31.56,306
307 Darling Downs - Maranoa,1/2/02,34.55,307
308 Fitzroy,1/2/02,30.48,308
309 Gold Coast,1/2/02,26.24,309
312 Mackay,1/2/02,28.26,312
315 Queensland - Outback,1/2/02,21.53,315
316 Sunshine Coast,1/2/02,26.09,316
317 Toowoomba,1/2/02,23.12,317
318 Townsville,1/2/02,30.36,318
319 Wide Bay,1/2/02,26.93,319
401 Adelaide - Central and Hills,1/2/02,42.76,401
402 Adelaide - North,1/2/02,21.01,402
403 Adelaide - South,1/2/02,30.59,403
404 Adelaide - West,1/2/02,28.07,404
405 Barossa - Yorke - Mid North,1/2/02,34.64,405
406 South Australia - Outback,1/2/02,27.2,406
407 South Australia - South East,1/2/02,32.93,407
502 Mandurah,1/2/02,25.99,502
503 Perth - Inner,1/2/02,52.15,503
504 Perth - North East,1/2/02,24.85,504
505 Perth - North West,1/2/02,28.35,505
506 Perth - South East,1/2/02,24.99,506
507 Perth - South West,1/2/02,27.71,507
501 Bunbury,1/2/02,19.88,501
508 Western Australia - Outback,1/2/02,26.16,508
509 Western Australia - Wheat Belt,1/2/02,40.99,509
601 Hobart,1/2/02,28.56,601
602 Launceston and North East,1/2/02,30,602
603 Tasmania - South East,1/2/02,30.06,603
604 Tasmania - West and North West,1/2/02,24.05,604
701 Darwin,1/2/02,32.09,701
702 Northern Territory - Outback,1/2/02,28.61,702
801 Australian Capital Territory,1/2/02,41.88,801
102 Central Coast,1/2/03,25.9,102
115 Sydney - Baulkham Hills and Hawkesbury,1/2/03,40.77,115
116 Sydney - Blacktown,1/2/03,19.91,116
117 Sydney - City and Inner South,1/2/03,42.31,117
118 Sydney - Eastern Suburbs,1/2/03,52.2,118
119 Sydney - Inner South West,1/2/03,27.56,119
120 Sydney - Inner West,1/2/03,42.66,120
121 Sydney - North Sydney and Hornsby,1/2/03,52.77,121
122 Sydney - Northern Beaches,1/2/03,40.01,122
123 Sydney - Outer South West,1/2/03,20.43,123
124 Sydney - Outer West and Blue Mountains,1/2/03,25.39,124
125 Sydney - Parramatta,1/2/03,29.13,125
126 Sydney - Ryde,1/2/03,47.85,126
127 Sydney - South West,1/2/03,20.5,127
128 Sydney - Sutherland,1/2/03,34.51,128
101 Capital Region,1/2/03,30.37,101
103 New South Wales - Central West,1/2/03,25.85,103
104 Coffs Harbour - Grafton,1/2/03,29.76,104
105 Far West and Orana,1/2/03,35.75,105
106 Hunter Valley exc Newcastle,1/2/03,22.83,106
107 Illawarra,1/2/03,29.29,107
108 Mid North Coast,1/2/03,24.16,108
109 Murray,1/2/03,22.39,109
110 New England and North West,1/2/03,33.79,110
111 Newcastle and Lake Macquarie,1/2/03,24.99,111
112 Richmond - Tweed,1/2/03,33.37,112
113 Riverina,1/2/03,35.77,113
114 Southern Highlands and Shoalhaven,1/2/03,29.63,114
206 Melbourne - Inner,1/2/03,51.15,206
207 Melbourne - Inner East,1/2/03,47.36,207
