Labour market region (SA4): ASGS (2011),Date,Percent of part time workers,sa4_code_2011
302 Brisbane - North,1/2/15,30.69,302
303 Brisbane - South,1/2/15,38.04,303
304 Brisbane - West,1/2/15,38.01,304
305 Brisbane Inner City,1/2/15,52.3,305
310 Ipswich,1/2/15,52.14,310
311 Logan - Beaudesert,1/2/15,25.81,311
313 Moreton Bay - North,1/2/15,23.43,313
314 Moreton Bay - South,1/2/15,22.77,314
306 Cairns,1/2/15,29.56,306
307 Darling Downs - Maranoa,1/2/15,27.54,307
308 Fitzroy,1/2/15,22.84,308
309 Gold Coast,1/2/15,30,309
312 Mackay,1/2/15,31.39,312
315 Queensland - Outback,1/2/15,20.56,315
316 Sunshine Coast,1/2/15,30.94,316
317 Toowoomba,1/2/15,29.97,317
318 Townsville,1/2/15,28.54,318
319 Wide Bay,1/2/15,22.61,319
401 Adelaide - Central and Hills,1/2/15,29.66,401
402 Adelaide - North,1/2/15,48.78,402
403 Adelaide - South,1/2/15,25.98,403
404 Adelaide - West,1/2/15,33.12,404
405 Barossa - Yorke - Mid North,1/2/15,31.68,405
406 South Australia - Outback,1/2/15,35.71,406
407 South Australia - South East,1/2/15,36.27,407
502 Mandurah,1/2/15,30.18,502
503 Perth - Inner,1/2/15,26.41,503
504 Perth - North East,1/2/15,57.58,504
505 Perth - North West,1/2/15,29.09,505
506 Perth - South East,1/2/15,34.26,506
507 Perth - South West,1/2/15,31.68,507
501 Bunbury,1/2/15,33.22,501
508 Western Australia - Outback,1/2/15,31.81,508
509 Western Australia - Wheat Belt,1/2/15,21.76,509
601 Hobart,1/2/15,31.72,601
602 Launceston and North East,1/2/15,33.6,602
603 Tasmania - South East,1/2/15,31.68,603
604 Tasmania - West and North West,1/2/15,29.07,604
701 Darwin,1/2/15,25.84,701
702 Northern Territory - Outback,1/2/15,32.77,702
801 Australian Capital Territory,1/2/15,34.01,801
102 Central Coast,1/2/16,100,102
115 Sydney - Baulkham Hills and Hawkesbury,1/2/16,30.54,115
116 Sydney - Blacktown,1/2/16,44.81,116
117 Sydney - City and Inner South,1/2/16,29.85,117
118 Sydney - Eastern Suburbs,1/2/16,55.68,118
119 Sydney - Inner South West,1/2/16,59.12,119
120 Sydney - Inner West,1/2/16,34.01,120
121 Sydney - North Sydney and Hornsby,1/2/16,52.17,121
122 Sydney - Northern Beaches,1/2/16,61.98,122
123 Sydney - Outer South West,1/2/16,46.03,123
124 Sydney - Outer West and Blue Mountains,1/2/16,28.3,124
125 Sydney - Parramatta,1/2/16,32,125
126 Sydney - Ryde,1/2/16,34.97,126
127 Sydney - South West,1/2/16,52.69,127
128 Sydney - Sutherland,1/2/16,25.6,128
101 Capital Region,1/2/16,36.3,101
103 New South Wales - Central West,1/2/16,33.93,103
104 Coffs Harbour - Grafton,1/2/16,30.36,104
105 Far West and Orana,1/2/16,24.32,105
106 Hunter Valley exc Newcastle,1/2/16,27.79,106
107 Illawarra,1/2/16,24.62,107
108 Mid North Coast,1/2/16,35.06,108
109 Murray,1/2/16,30.95,109
110 New England and North West,1/2/16,24.88,110
111 Newcastle and Lake Macquarie,1/2/16,28.61,111
112 Richmond - Tweed,1/2/16,33.59,112
113 Riverina,1/2/16,29.62,113
114 Southern Highlands and Shoalhaven,1/2/16,41.15,114
206 Melbourne - Inner,1/2/16,25.16,206
207 Melbourne - Inner East,1/2/16,56.75,207
208 Melbourne - Inner South,1/2/16,52.74,208
209 Melbourne - North East,1/2/16,51.74,209
210 Melbourne - North West,1/2/16,34.78,210
211 Melbourne - Outer East,1/2/16,26.8,211
212 Melbourne - South East,1/2/16,33.97,212
213 Melbourne - West,1/2/16,27.86,213
214 Mornington Peninsula,1/2/16,30.64,214
201 Ballarat,1/2/16,28.58,201
202 Bendigo,1/2/16,36.92,202
203 Geelong,1/2/16,32.11,203
204 Hume,1/2/16,32.37,204
205 Latrobe - Gippsland,1/2/16,36.42,205
215 Victoria - North West,1/2/16,30.72,215
216 Shepparton,1/2/16,32.47,216
217 Warrnambool and South West,1/2/16,36.27,217
301 Brisbane - East,1/2/16,36.68,301
302 Brisbane - North,1/2/16,32.27,302
303 Brisbane - South,1/2/16,42.36,303
304 Brisbane - West,1/2/16,41.36,304
305 Brisbane Inner City,1/2/16,49.01,305
310 Ipswich,1/2/16,49.97,310
311 Logan - Beaudesert,1/2/16,24.87,311
313 Moreton Bay - North,1/2/16,22.32,313
314 Moreton Bay - South,1/2/16,21.58,314
306 Cairns,1/2/16,31.8,306
307 Darling Downs - Maranoa,1/2/16,33.07,307
308 Fitzroy,1/2/16,25.8,308
309 Gold Coast,1/2/16,31.84,309
312 Mackay,1/2/16,30.23,312
315 Queensland - Outback,1/2/16,25.16,315
316 Sunshine Coast,1/2/16,26.98,316
317 Toowoomba,1/2/16,32.3,317
318 Townsville,1/2/16,30.42,318
319 Wide Bay,1/2/16,28.24,319
401 Adelaide - Central and Hills,1/2/16,30.51,401
402 Adelaide - North,1/2/16,49.47,402
403 Adelaide - South,1/2/16,25.79,403
404 Adelaide - West,1/2/16,32.86,404
405 Barossa - Yorke - Mid North,1/2/16,34.69,405
406 South Australia - Outback,1/2/16,34.65,406
407 South Australia - South East,1/2/16,32.17,407
502 Mandurah,1/2/16,30.29,502
503 Perth - Inner,1/2/16,26.1,503
504 Perth - North East,1/2/16,55.88,504
505 Perth - North West,1/2/16,30.06,505
506 Perth - South East,1/2/16,34.46,506
507 Perth - South West,1/2/16,30.71,507
501 Bunbury,1/2/16,32.9,501
508 Western Australia - Outback,1/2/16,27.47,508
509 Western Australia - Wheat Belt,1/2/16,22.75,509
601 Hobart,1/2/16,32.63,601
602 Launceston and North East,1/2/16,33.85,602
603 Tasmania - South East,1/2/16,29.16,603
604 Tasmania - West and North West,1/2/16,31.48,604
701 Darwin,1/2/16,25.53,701
702 Northern Territory - Outback,1/2/16,30.69,702
801 Australian Capital Territory,1/2/16,33.7,801
102 Central Coast,1/5/00,100,102
115 Sydney - Baulkham Hills and Hawkesbury,1/5/00,25,115
116 Sydney - Blacktown,1/5/00,41.06,116
117 Sydney - City and Inner South,1/5/00,17.66,117
118 Sydney - Eastern Suburbs,1/5/00,40.63,118
119 Sydney - Inner South West,1/5/00,44.01,119
120 Sydney - Inner West,1/5/00,25.26,120
121 Sydney - North Sydney and Hornsby,1/5/00,41.06,121
122 Sydney - Northern Beaches,1/5/00,54.18,122
123 Sydney - Outer South West,1/5/00,39.53,123
124 Sydney - Outer West and Blue Mountains,1/5/00,21.79,124
125 Sydney - Parramatta,1/5/00,23.95,125
126 Sydney - Ryde,1/5/00,29.8,126
127 Sydney - South West,1/5/00,44.63,127
128 Sydney - Sutherland,1/5/00,16.51,128
101 Capital Region,1/5/00,29.53,101
103 New South Wales - Central West,1/5/00,34.73,103
104 Coffs Harbour - Grafton,1/5/00,31.64,104
105 Far West and Orana,1/5/00,32.71,105
106 Hunter Valley exc Newcastle,1/5/00,44.2,106
107 Illawarra,1/5/00,21.24,107
108 Mid North Coast,1/5/00,29.8,108
109 Murray,1/5/00,25.89,109
110 New England and North West,1/5/00,28.05,110
111 Newcastle and Lake Macquarie,1/5/00,37.44,111
112 Richmond - Tweed,1/5/00,24.03,112
113 Riverina,1/5/00,29.16,113
114 Southern Highlands and Shoalhaven,1/5/00,30.33,114
206 Melbourne - Inner,1/5/00,31.95,206
207 Melbourne - Inner East,1/5/00,46.24,207
208 Melbourne - Inner South,1/5/00,44.28,208
209 Melbourne - North East,1/5/00,42.77,209
210 Melbourne - North West,1/5/00,29.68,210
211 Melbourne - Outer East,1/5/00,24.93,211
212 Melbourne - South East,1/5/00,28.28,212
213 Melbourne - West,1/5/00,23.16,213
214 Mornington Peninsula,1/5/00,21.81,214
201 Ballarat,1/5/00,23.77,201
202 Bendigo,1/5/00,31.27,202
203 Geelong,1/5/00,33.59,203
204 Hume,1/5/00,26.74,204
205 Latrobe - Gippsland,1/5/00,28.88,205
215 Victoria - North West,1/5/00,31.43,215
216 Shepparton,1/5/00,39.66,216
217 Warrnambool and South West,1/5/00,28.47,217
301 Brisbane - East,1/5/00,33.52,301
302 Brisbane - North,1/5/00,22.89,302
303 Brisbane - South,1/5/00,24.28,303
304 Brisbane - West,1/5/00,28.39,304
305 Brisbane Inner City,1/5/00,43.35,305
310 Ipswich,1/5/00,42.85,310
311 Logan - Beaudesert,1/5/00,18.4,311
313 Moreton Bay - North,1/5/00,14.42,313
314 Moreton Bay - South,1/5/00,17.4,314
306 Cairns,1/5/00,27.05,306
307 Darling Downs - Maranoa,1/5/00,26.88,307
308 Fitzroy,1/5/00,36.55,308
309 Gold Coast,1/5/00,28.16,309
312 Mackay,1/5/00,20.96,312
315 Queensland - Outback,1/5/00,23.95,315
316 Sunshine Coast,1/5/00,35.43,316
317 Toowoomba,1/5/00,22.15,317
318 Townsville,1/5/00,26.17,318
319 Wide Bay,1/5/00,28.93,319
401 Adelaide - Central and Hills,1/5/00,27.79,401
402 Adelaide - North,1/5/00,40.81,402
403 Adelaide - South,1/5/00,19.65,403
404 Adelaide - West,1/5/00,27.57,404
405 Barossa - Yorke - Mid North,1/5/00,26.26,405
406 South Australia - Outback,1/5/00,37.17,406
407 South Australia - South East,1/5/00,25.51,407
502 Mandurah,1/5/00,30.29,502
503 Perth - Inner,1/5/00,18.93,503
504 Perth - North East,1/5/00,47.4,504
505 Perth - North West,1/5/00,24.08,505
506 Perth - South East,1/5/00,25.54,506
507 Perth - South West,1/5/00,25.44,507
501 Bunbury,1/5/00,29.59,501
508 Western Australia - Outback,1/5/00,24.78,508
509 Western Australia - Wheat Belt,1/5/00,26.04,509
601 Hobart,1/5/00,37.83,601
602 Launceston and North East,1/5/00,28.67,602
603 Tasmania - South East,1/5/00,28.32,603
604 Tasmania - West and North West,1/5/00,32.56,604
701 Darwin,1/5/00,25.22,701
702 Northern Territory - Outback,1/5/00,31.02,702
801 Australian Capital Territory,1/5/00,27.68,801
102 Central Coast,1/5/01,100,102
115 Sydney - Baulkham Hills and Hawkesbury,1/5/01,26.35,115
116 Sydney - Blacktown,1/5/01,40.4,116
117 Sydney - City and Inner South,1/5/01,19.29,117
118 Sydney - Eastern Suburbs,1/5/01,38.28,118
119 Sydney - Inner South West,1/5/01,49.7,119
120 Sydney - Inner West,1/5/01,25.72,120
121 Sydney - North Sydney and Hornsby,1/5/01,42.73,121
122 Sydney - Northern Beaches,1/5/01,52.78,122
123 Sydney - Outer South West,1/5/01,39.48,123
124 Sydney - Outer West and Blue Mountains,1/5/01,21.52,124
125 Sydney - Parramatta,1/5/01,23.81,125
126 Sydney - Ryde,1/5/01,26.54,126
127 Sydney - South West,1/5/01,41.2,127
128 Sydney - Sutherland,1/5/01,17.79,128
101 Capital Region,1/5/01,33.76,101
103 New South Wales - Central West,1/5/01,29.82,103
104 Coffs Harbour - Grafton,1/5/01,25.32,104
105 Far West and Orana,1/5/01,30.89,105
106 Hunter Valley exc Newcastle,1/5/01,46.61,106
107 Illawarra,1/5/01,24.12,107
108 Mid North Coast,1/5/01,26.38,108
109 Murray,1/5/01,24.39,109
110 New England and North West,1/5/01,25.58,110
111 Newcastle and Lake Macquarie,1/5/01,34.7,111
112 Richmond - Tweed,1/5/01,26.25,112
113 Riverina,1/5/01,34.98,113
114 Southern Highlands and Shoalhaven,1/5/01,31.12,114
206 Melbourne - Inner,1/5/01,27.54,206
207 Melbourne - Inner East,1/5/01,50.1,207
208 Melbourne - Inner South,1/5/01,47.89,208
209 Melbourne - North East,1/5/01,44.31,209
210 Melbourne - North West,1/5/01,26.7,210
211 Melbourne - Outer East,1/5/01,25.32,211
212 Melbourne - South East,1/5/01,29.11,212
213 Melbourne - West,1/5/01,24.33,213
214 Mornington Peninsula,1/5/01,22.97,214
201 Ballarat,1/5/01,25.13,201
202 Bendigo,1/5/01,33.45,202
203 Geelong,1/5/01,28.1,203
204 Hume,1/5/01,28.43,204
205 Latrobe - Gippsland,1/5/01,27.86,205
215 Victoria - North West,1/5/01,32.73,215
216 Shepparton,1/5/01,37.06,216
217 Warrnambool and South West,1/5/01,32.46,217
301 Brisbane - East,1/5/01,35.72,301
302 Brisbane - North,1/5/01,27.14,302
303 Brisbane - South,1/5/01,25.56,303
304 Brisbane - West,1/5/01,32.37,304
305 Brisbane Inner City,1/5/01,42.12,305
310 Ipswich,1/5/01,41.44,310
311 Logan - Beaudesert,1/5/01,19.92,311
313 Moreton Bay - North,1/5/01,17.98,313
314 Moreton Bay - South,1/5/01,17.13,314
306 Cairns,1/5/01,28.19,306
307 Darling Downs - Maranoa,1/5/01,28.28,307
308 Fitzroy,1/5/01,38.07,308
309 Gold Coast,1/5/01,28.56,309
312 Mackay,1/5/01,24.35,312
315 Queensland - Outback,1/5/01,26.89,315
316 Sunshine Coast,1/5/01,24.15,316
317 Toowoomba,1/5/01,27.42,317
318 Townsville,1/5/01,23.97,318
319 Wide Bay,1/5/01,29.24,319
401 Adelaide - Central and Hills,1/5/01,31.07,401
402 Adelaide - North,1/5/01,41.73,402
403 Adelaide - South,1/5/01,20.13,403
404 Adelaide - West,1/5/01,29.03,404
405 Barossa - Yorke - Mid North,1/5/01,27.33,405
406 South Australia - Outback,1/5/01,32.88,406
407 South Australia - South East,1/5/01,30.58,407
502 Mandurah,1/5/01,31.36,502
503 Perth - Inner,1/5/01,26.41,503
504 Perth - North East,1/5/01,48.98,504
505 Perth - North West,1/5/01,22.92,505
506 Perth - South East,1/5/01,26.54,506
507 Perth - South West,1/5/01,24.54,507
501 Bunbury,1/5/01,27.6,501
508 Western Australia - Outback,1/5/01,20.84,508
509 Western Australia - Wheat Belt,1/5/01,27.63,509
601 Hobart,1/5/01,35.97,601
602 Launceston and North East,1/5/01,28.85,602
603 Tasmania - South East,1/5/01,27.96,603
604 Tasmania - West and North West,1/5/01,28.87,604
701 Darwin,1/5/01,24.54,701
702 Northern Territory - Outback,1/5/01,29.54,702
801 Australian Capital Territory,1/5/01,28.21,801
102 Central Coast,1/5/02,100,102
115 Sydney - Baulkham Hills and Hawkesbury,1/5/02,25.72,115
116 Sydney - Blacktown,1/5/02,42.85,116
117 Sydney - City and Inner South,1/5/02,19.48,117
118 Sydney - Eastern Suburbs,1/5/02,42.08,118
119 Sydney - Inner South West,1/5/02,47.57,119
120 Sydney - Inner West,1/5/02,27.7,120
121 Sydney - North Sydney and Hornsby,1/5/02,46.11,121
122 Sydney - Northern Beaches,1/5/02,55.3,122
123 Sydney - Outer South West,1/5/02,38.2,123
124 Sydney - Outer West and Blue Mountains,1/5/02,20.51,124
125 Sydney - Parramatta,1/5/02,25.55,125
126 Sydney - Ryde,1/5/02,27.63,126
127 Sydney - South West,1/5/02,43.76,127
128 Sydney - Sutherland,1/5/02,19.45,128
101 Capital Region,1/5/02,34.3,101
103 New South Wales - Central West,1/5/02,31.08,103
104 Coffs Harbour - Grafton,1/5/02,32.42,104
105 Far West and Orana,1/5/02,39.46,105
106 Hunter Valley exc Newcastle,1/5/02,43.65,106
107 Illawarra,1/5/02,24.72,107
108 Mid North Coast,1/5/02,30.71,108
109 Murray,1/5/02,23.35,109
110 New England and North West,1/5/02,20.03,110
111 Newcastle and Lake Macquarie,1/5/02,36.89,111
112 Richmond - Tweed,1/5/02,26.21,112
113 Riverina,1/5/02,29.92,113
114 Southern Highlands and Shoalhaven,1/5/02,31.53,114
206 Melbourne - Inner,1/5/02,29.61,206
207 Melbourne - Inner East,1/5/02,51.35,207
208 Melbourne - Inner South,1/5/02,49.63,208
209 Melbourne - North East,1/5/02,46.61,209
210 Melbourne - North West,1/5/02,29.08,210
211 Melbourne - Outer East,1/5/02,22.98,211
212 Melbourne - South East,1/5/02,28.86,212
213 Melbourne - West,1/5/02,25.11,213
214 Mornington Peninsula,1/5/02,23.8,214
201 Ballarat,1/5/02,27.27,201
202 Bendigo,1/5/02,31.02,202
203 Geelong,1/5/02,30.8,203
204 Hume,1/5/02,31.96,204
205 Latrobe - Gippsland,1/5/02,30.43,205
215 Victoria - North West,1/5/02,35.03,215
216 Shepparton,1/5/02,37.97,216
217 Warrnambool and South West,1/5/02,35.05,217
301 Brisbane - East,1/5/02,36.52,301
302 Brisbane - North,1/5/02,27.53,302
303 Brisbane - South,1/5/02,25.57,303
304 Brisbane - West,1/5/02,31.04,304
305 Brisbane Inner City,1/5/02,40.31,305
310 Ipswich,1/5/02,44.69,310
311 Logan - Beaudesert,1/5/02,22.94,311
313 Moreton Bay - North,1/5/02,16.83,313
314 Moreton Bay - South,1/5/02,20.19,314
306 Cairns,1/5/02,27.38,306
307 Darling Downs - Maranoa,1/5/02,31.85,307
308 Fitzroy,1/5/02,33.13,308
309 Gold Coast,1/5/02,29.61,309
312 Mackay,1/5/02,26.06,312
315 Queensland - Outback,1/5/02,27.53,315
316 Sunshine Coast,1/5/02,22.47,316
317 Toowoomba,1/5/02,25.59,317
318 Townsville,1/5/02,24.55,318
319 Wide Bay,1/5/02,34.07,319
401 Adelaide - Central and Hills,1/5/02,25.49,401
402 Adelaide - North,1/5/02,42.12,402
403 Adelaide - South,1/5/02,20.18,403
404 Adelaide - West,1/5/02,30.48,404
405 Barossa - Yorke - Mid North,1/5/02,27.48,405
406 South Australia - Outback,1/5/02,36.39,406
407 South Australia - South East,1/5/02,24.51,407
502 Mandurah,1/5/02,32.72,502
503 Perth - Inner,1/5/02,22.64,503
504 Perth - North East,1/5/02,52.45,504
505 Perth - North West,1/5/02,24.91,505
506 Perth - South East,1/5/02,29.09,506
507 Perth - South West,1/5/02,26.19,507
501 Bunbury,1/5/02,28.98,501
508 Western Australia - Outback,1/5/02,21.6,508
509 Western Australia - Wheat Belt,1/5/02,23.9,509
601 Hobart,1/5/02,41.99,601
602 Launceston and North East,1/5/02,27.52,602
603 Tasmania - South East,1/5/02,29.55,603
604 Tasmania - West and North West,1/5/02,28.59,604
701 Darwin,1/5/02,25.6,701
702 Northern Territory - Outback,1/5/02,32.14,702
801 Australian Capital Territory,1/5/02,27.89,801
102 Central Coast,1/5/03,100,102
115 Sydney - Baulkham Hills and Hawkesbury,1/5/03,24.75,115
116 Sydney - Blacktown,1/5/03,39.87,116
117 Sydney - City and Inner South,1/5/03,19.88,117
118 Sydney - Eastern Suburbs,1/5/03,40.69,118
119 Sydney - Inner South West,1/5/03,52.83,119
120 Sydney - Inner West,1/5/03,26.39,120
121 Sydney - North Sydney and Hornsby,1/5/03,42.17,121
122 Sydney - Northern Beaches,1/5/03,52.64,122
123 Sydney - Outer South West,1/5/03,40.71,123
124 Sydney - Outer West and Blue Mountains,1/5/03,22.33,124
125 Sydney - Parramatta,1/5/03,25.95,125
126 Sydney - Ryde,1/5/03,28.76,126
127 Sydney - South West,1/5/03,48.84,127
128 Sydney - Sutherland,1/5/03,22.01,128
101 Capital Region,1/5/03,33.79,101
103 New South Wales - Central West,1/5/03,32.11,103
104 Coffs Harbour - Grafton,1/5/03,26.52,104
105 Far West and Orana,1/5/03,26.14,105
106 Hunter Valley exc Newcastle,1/5/03,32.86,106
107 Illawarra,1/5/03,21.66,107
108 Mid North Coast,1/5/03,29.22,108
109 Murray,1/5/03,25.15,109
110 New England and North West,1/5/03,22.82,110
111 Newcastle and Lake Macquarie,1/5/03,31.21,111
112 Richmond - Tweed,1/5/03,26.07,112
113 Riverina,1/5/03,33.45,113
114 Southern Highlands and Shoalhaven,1/5/03,33.28,114
206 Melbourne - Inner,1/5/03,28.05,206
207 Melbourne - Inner East,1/5/03,51.24,207
208 Melbourne - Inner South,1/5/03,47.71,208
209 Melbourne - North East,1/5/03,47.16,209
210 Melbourne - North West,1/5/03,29.06,210
211 Melbourne - Outer East,1/5/03,19.94,211
212 Melbourne - South East,1/5/03,27.74,212
213 Melbourne - West,1/5/03,25.93,213
214 Mornington Peninsula,1/5/03,23.94,214
201 Ballarat,1/5/03,25.9,201
202 Bendigo,1/5/03,32.46,202
203 Geelong,1/5/03,29.72,203
204 Hume,1/5/03,30.7,204
205 Latrobe - Gippsland,1/5/03,31.28,205
215 Victoria - North West,1/5/03,30.92,215
216 Shepparton,1/5/03,38.22,216
217 Warrnambool and South West,1/5/03,28.61,217
301 Brisbane - East,1/5/03,37.29,301
302 Brisbane - North,1/5/03,25.74,302
303 Brisbane - South,1/5/03,25.71,303
304 Brisbane - West,1/5/03,32.38,304
305 Brisbane Inner City,1/5/03,42.13,305
310 Ipswich,1/5/03,49.83,310
311 Logan - Beaudesert,1/5/03,20.27,311
313 Moreton Bay - North,1/5/03,17.8,313
314 Moreton Bay - South,1/5/03,19.8,314
306 Cairns,1/5/03,25.09,306
307 Darling Downs - Maranoa,1/5/03,27.6,307
308 Fitzroy,1/5/03,37.02,308
309 Gold Coast,1/5/03,25.42,309
312 Mackay,1/5/03,25.05,312
315 Queensland - Outback,1/5/03,23.6,315
316 Sunshine Coast,1/5/03,29.47,316
317 Toowoomba,1/5/03,28.33,317
318 Townsville,1/5/03,20.41,318
319 Wide Bay,1/5/03,28.8,319
401 Adelaide - Central and Hills,1/5/03,28.99,401
402 Adelaide - North,1/5/03,43.31,402
403 Adelaide - South,1/5/03,19.43,403
404 Adelaide - West,1/5/03,27.7,404
405 Barossa - Yorke - Mid North,1/5/03,28.4,405
406 South Australia - Outback,1/5/03,34.25,406
407 South Australia - South East,1/5/03,23.86,407
502 Mandurah,1/5/03,31.68,502
503 Perth - Inner,1/5/03,21.34,503
504 Perth - North East,1/5/03,53.59,504
505 Perth - North West,1/5/03,26.78,505
506 Perth - South East,1/5/03,29.59,506
507 Perth - South West,1/5/03,27.15,507
501 Bunbury,1/5/03,29.77,501
508 Western Australia - Outback,1/5/03,25.51,508
509 Western Australia - Wheat Belt,1/5/03,22.67,509
601 Hobart,1/5/03,39.47,601
602 Launceston and North East,1/5/03,31.12,602
603 Tasmania - South East,1/5/03,27.25,603
604 Tasmania - West and North West,1/5/03,31.78,604
701 Darwin,1/5/03,25.16,701
702 Northern Territory - Outback,1/5/03,30.81,702
801 Australian Capital Territory,1/5/03,25.91,801
102 Central Coast,1/5/04,100,102
115 Sydney - Baulkham Hills and Hawkesbury,1/5/04,23.76,115
116 Sydney - Blacktown,1/5/04,39.19,116
117 Sydney - City and Inner South,1/5/04,21.02,117
118 Sydney - Eastern Suburbs,1/5/04,43.33,118
119 Sydney - Inner South West,1/5/04,52.35,119
120 Sydney - Inner West,1/5/04,26.51,120
121 Sydney - North Sydney and Hornsby,1/5/04,44.93,121
122 Sydney - Northern Beaches,1/5/04,54.31,122
123 Sydney - Outer South West,1/5/04,40.89,123
124 Sydney - Outer West and Blue Mountains,1/5/04,22.23,124
125 Sydney - Parramatta,1/5/04,28.14,125
126 Sydney - Ryde,1/5/04,29.32,126
127 Sydney - South West,1/5/04,50.15,127
128 Sydney - Sutherland,1/5/04,20.44,128
101 Capital Region,1/5/04,35.05,101
103 New South Wales - Central West,1/5/04,30.94,103
104 Coffs Harbour - Grafton,1/5/04,30.51,104
105 Far West and Orana,1/5/04,26.28,105
106 Hunter Valley exc Newcastle,1/5/04,38.15,106
107 Illawarra,1/5/04,22.94,107
108 Mid North Coast,1/5/04,29.87,108
109 Murray,1/5/04,31.74,109
110 New England and North West,1/5/04,30.61,110
111 Newcastle and Lake Macquarie,1/5/04,35.79,111
112 Richmond - Tweed,1/5/04,28.12,112
113 Riverina,1/5/04,33.74,113
114 Southern Highlands and Shoalhaven,1/5/04,36,114
206 Melbourne - Inner,1/5/04,25.96,206
207 Melbourne - Inner East,1/5/04,50.65,207
208 Melbourne - Inner South,1/5/04,47.17,208
209 Melbourne - North East,1/5/04,48.71,209
210 Melbourne - North West,1/5/04,31,210
211 Melbourne - Outer East,1/5/04,22.91,211
212 Melbourne - South East,1/5/04,27.5,212
213 Melbourne - West,1/5/04,26.07,213
214 Mornington Peninsula,1/5/04,24.48,214
201 Ballarat,1/5/04,26.92,201
202 Bendigo,1/5/04,26.36,202
203 Geelong,1/5/04,30.84,203
204 Hume,1/5/04,27.9,204
205 Latrobe - Gippsland,1/5/04,33,205
215 Victoria - North West,1/5/04,31.07,215
216 Shepparton,1/5/04,39.4,216
217 Warrnambool and South West,1/5/04,31.02,217
301 Brisbane - East,1/5/04,33.52,301
302 Brisbane - North,1/5/04,22.41,302
303 Brisbane - South,1/5/04,25.24,303
304 Brisbane - West,1/5/04,33.53,304
305 Brisbane Inner City,1/5/04,42.77,305
310 Ipswich,1/5/04,46.28,310
311 Logan - Beaudesert,1/5/04,20.15,311
313 Moreton Bay - North,1/5/04,16.32,313
314 Moreton Bay - South,1/5/04,22.51,314
306 Cairns,1/5/04,22.3,306
307 Darling Downs - Maranoa,1/5/04,28.93,307
308 Fitzroy,1/5/04,40.66,308
309 Gold Coast,1/5/04,21.54,309
312 Mackay,1/5/04,25.06,312
315 Queensland - Outback,1/5/04,25.28,315
316 Sunshine Coast,1/5/04,28.16,316
317 Toowoomba,1/5/04,28.9,317
318 Townsville,1/5/04,25.44,318
319 Wide Bay,1/5/04,23.4,319
401 Adelaide - Central and Hills,1/5/04,29.55,401
402 Adelaide - North,1/5/04,43.02,402
403 Adelaide - South,1/5/04,19.64,403
404 Adelaide - West,1/5/04,29.26,404
405 Barossa - Yorke - Mid North,1/5/04,28.14,405
406 South Australia - Outback,1/5/04,34.35,406
407 South Australia - South East,1/5/04,28.33,407
502 Mandurah,1/5/04,33.54,502
503 Perth - Inner,1/5/04,18.68,503
504 Perth - North East,1/5/04,53.03,504
505 Perth - North West,1/5/04,25.73,505
506 Perth - South East,1/5/04,31.26,506
507 Perth - South West,1/5/04,25.86,507
501 Bunbury,1/5/04,29.65,501
508 Western Australia - Outback,1/5/04,27.54,508
509 Western Australia - Wheat Belt,1/5/04,28.41,509
601 Hobart,1/5/04,36.12,601
602 Launceston and North East,1/5/04,32.21,602
603 Tasmania - South East,1/5/04,25.95,603
604 Tasmania - West and North West,1/5/04,30.47,604
701 Darwin,1/5/04,25.45,701
702 Northern Territory - Outback,1/5/04,32.05,702
801 Australian Capital Territory,1/5/04,25.1,801
102 Central Coast,1/5/05,100,102
115 Sydney - Baulkham Hills and Hawkesbury,1/5/05,26.35,115
116 Sydney - Blacktown,1/5/05,39.56,116
117 Sydney - City and Inner South,1/5/05,24.13,117
118 Sydney - Eastern Suburbs,1/5/05,42.81,118
119 Sydney - Inner South West,1/5/05,50.72,119
120 Sydney - Inner West,1/5/05,30.22,120
121 Sydney - North Sydney and Hornsby,1/5/05,44.9,121
122 Sydney - Northern Beaches,1/5/05,52.74,122
123 Sydney - Outer South West,1/5/05,43.86,123
124 Sydney - Outer West and Blue Mountains,1/5/05,26.35,124
125 Sydney - Parramatta,1/5/05,26.66,125
126 Sydney - Ryde,1/5/05,30.36,126
127 Sydney - South West,1/5/05,46.6,127
128 Sydney - Sutherland,1/5/05,22.63,128
101 Capital Region,1/5/05,31.57,101
103 New South Wales - Central West,1/5/05,30,103
104 Coffs Harbour - Grafton,1/5/05,29.19,104
105 Far West and Orana,1/5/05,26.81,105
106 Hunter Valley exc Newcastle,1/5/05,36.94,106
107 Illawarra,1/5/05,18.94,107
108 Mid North Coast,1/5/05,30.72,108
109 Murray,1/5/05,29.05,109
110 New England and North West,1/5/05,27.47,110
111 Newcastle and Lake Macquarie,1/5/05,32.89,111
112 Richmond - Tweed,1/5/05,33.13,112
113 Riverina,1/5/05,32.86,113
114 Southern Highlands and Shoalhaven,1/5/05,36.22,114
206 Melbourne - Inner,1/5/05,29.87,206
207 Melbourne - Inner East,1/5/05,48.52,207
208 Melbourne - Inner South,1/5/05,47.39,208
209 Melbourne - North East,1/5/05,47.49,209
210 Melbourne - North West,1/5/05,31.96,210
211 Melbourne - Outer East,1/5/05,21.84,211
212 Melbourne - South East,1/5/05,30.63,212
213 Melbourne - West,1/5/05,27.37,213
214 Mornington Peninsula,1/5/05,25.99,214
