Labour market region (SA4): ASGS (2011),Date,Percent of part time workers,sa4_code_2011
211 Melbourne - Outer East,1/8/01,24.25,211
212 Melbourne - South East,1/8/01,28.96,212
213 Melbourne - West,1/8/01,24.19,213
214 Mornington Peninsula,1/8/01,22.81,214
201 Ballarat,1/8/01,27.03,201
202 Bendigo,1/8/01,32.6,202
203 Geelong,1/8/01,27.4,203
204 Hume,1/8/01,28.98,204
205 Latrobe - Gippsland,1/8/01,28.21,205
215 Victoria - North West,1/8/01,32.81,215
216 Shepparton,1/8/01,37.77,216
217 Warrnambool and South West,1/8/01,32.45,217
301 Brisbane - East,1/8/01,36.89,301
302 Brisbane - North,1/8/01,27.9,302
303 Brisbane - South,1/8/01,26.77,303
304 Brisbane - West,1/8/01,31.76,304
305 Brisbane Inner City,1/8/01,41.3,305
310 Ipswich,1/8/01,43.43,310
311 Logan - Beaudesert,1/8/01,20.51,311
313 Moreton Bay - North,1/8/01,17.84,313
314 Moreton Bay - South,1/8/01,17.3,314
306 Cairns,1/8/01,27.85,306
307 Darling Downs - Maranoa,1/8/01,30.15,307
308 Fitzroy,1/8/01,38.16,308
309 Gold Coast,1/8/01,30.09,309
312 Mackay,1/8/01,24.61,312
315 Queensland - Outback,1/8/01,26.71,315
316 Sunshine Coast,1/8/01,23.84,316
317 Toowoomba,1/8/01,27.63,317
318 Townsville,1/8/01,22.86,318
319 Wide Bay,1/8/01,28.37,319
401 Adelaide - Central and Hills,1/8/01,29.96,401
402 Adelaide - North,1/8/01,42.64,402
403 Adelaide - South,1/8/01,20.16,403
404 Adelaide - West,1/8/01,29.69,404
405 Barossa - Yorke - Mid North,1/8/01,26.85,405
406 South Australia - Outback,1/8/01,32.33,406
407 South Australia - South East,1/8/01,31.7,407
502 Mandurah,1/8/01,32.8,502
503 Perth - Inner,1/8/01,29.51,503
504 Perth - North East,1/8/01,50,504
505 Perth - North West,1/8/01,23.05,505
506 Perth - South East,1/8/01,27.34,506
507 Perth - South West,1/8/01,24.09,507
501 Bunbury,1/8/01,27.53,501
508 Western Australia - Outback,1/8/01,20.6,508
509 Western Australia - Wheat Belt,1/8/01,28.52,509
601 Hobart,1/8/01,37.09,601
602 Launceston and North East,1/8/01,29.32,602
603 Tasmania - South East,1/8/01,28.43,603
604 Tasmania - West and North West,1/8/01,28.74,604
701 Darwin,1/8/01,24.29,701
